Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
1,10:56:13,9,shade,old-_epi,2,265.5,0,1.99,0.106,351,2.51,2.36,30.56,6,1.42,1,2.84,29.8,30.56,29.95,400.95,396.47,16.911,20.596,39.83,48.51,400,1499,43,99.23,5.36,-0.17,1,-0.22,2.74,1,0,0.16,111115,OK
2,11:00:15,9,shade,old-_epi,2,536,0,-0.164,0.104,98.1,2.46,2.36,30.6,6,1.42,1,2.84,29.82,30.6,29.95,99.49,99.37,17.025,20.635,40.07,48.56,400,1499,47,99.23,4.28,-0.176,0.8,-0.22,2.74,1,0,0.16,111115,OK
3,11:02:25,9,shade,old-_epi,2,666,0,-0.471,0.102,56.9,2.44,2.37,30.64,6,1.42,1,2.84,29.83,30.64,29.95,50.96,51.47,17.079,20.665,40.17,48.61,400,1500,48,99.23,3.81,-0.182,0.8,-0.22,2.74,1,0,0.16,111115,OK
4,11:04:35,9,shade,old-_epi,2,796,0,-0.0325,0.101,95.5,2.43,2.38,30.7,6,1.42,1,2.84,29.84,30.7,29.95,99.17,98.86,17.116,20.686,40.23,48.62,400,1500,43,99.23,4.26,-0.183,0.8,-0.22,2.74,1,0,0.16,111115,OK
5,11:06:44,9,shade,old-_epi,2,924.5,0,0.394,0.101,137,2.42,2.38,30.7,6,1.42,1,2.84,29.84,30.7,29.95,150.64,149.51,17.146,20.705,40.3,48.66,400,1500,21,99.23,4.63,-0.176,0.8,-0.22,2.74,1,0,0.16,111115,OK
6,11:08:54,9,shade,old-_epi,2,1055,0,1.06,0.101,222,2.41,2.38,30.69,6,1.42,1,2.84,29.85,30.69,29.95,250.99,248.51,17.159,20.698,40.32,48.64,400,1500,26,99.24,5.08,-0.174,0.8,-0.22,2.74,1,0,0.16,111115,OK
7,11:11:04,9,shade,old-_epi,2,1185,0,1.65,0.0999,307,2.4,2.38,30.71,6,1.42,1,2.84,29.85,30.71,29.95,350.32,346.61,17.174,20.694,40.35,48.62,400,1500,49,99.24,5.33,-0.177,1,-0.22,2.74,1,0,0.16,111115,OK
8,11:13:14,9,shade,old-_epi,2,1315,0,2.67,0.099,480,2.38,2.39,30.75,6,1.42,1,2.84,29.86,30.75,29.95,550.53,544.58,17.2,20.702,40.39,48.61,400,1499,43,99.24,5.35,-0.174,1,-0.22,2.74,1,0,0.16,111115,OK
9,11:15:24,9,shade,old-_epi,2,1445,0,3.42,0.0986,658,2.37,2.39,30.74,6,1.42,1,2.84,29.85,30.74,29.95,750.32,742.55,17.211,20.696,40.43,48.62,400.1,1499,39,99.24,4.74,-0.168,0.5,-0.22,2.74,1,0,0.16,111115,OK
10,11:17:38,9,shade,old-_epi,2,1579,0,4.24,0.0979,882,2.36,2.39,30.74,6,1.42,1,2.84,29.86,30.74,29.95,1000.35,990.48,17.227,20.691,40.45,48.58,400,1499,39,99.24,3.1,-0.17,0.8,-0.22,2.74,1,0,0.16,111115,OK
11,11:19:48,9,shade,old-_epi,2,1709,0,4.7,0.0969,1.11E+03,2.34,2.4,30.76,6,1.42,1,2.84,29.86,30.76,29.95,1249.64,1238.24,17.248,20.687,40.5,48.58,400,1499,31,99.24,1.03,-0.169,0.8,-0.22,2.74,1,0,0.16,111115,OK
12,11:21:58,9,shade,old-_epi,2,1839,0,5.27,0.0964,1.34E+03,2.32,2.39,30.73,6,1.42,1,2.84,29.84,30.73,29.95,1499.52,1486.45,17.259,20.669,40.58,48.6,400,1500,44,99.24,-2.01,-0.168,0.8,-0.22,2.74,1,0,0.16,111115,OK
13,11:24:08,9,shade,old-_epi,2,1969,0,5.59,0.0962,1.57E+03,2.31,2.39,30.72,6,1.42,1,2.84,29.84,30.72,29.95,1749.51,1735.1,17.293,20.69,40.66,48.64,400,1499,34,99.25,-5.47,-0.166,0.8,-0.22,2.74,1,0,0.16,111115,OK
14,11:26:18,9,shade,old-_epi,2,2099,0,5.79,0.096,1.81E+03,2.31,2.38,30.72,6,1.42,1,2.84,29.84,30.72,29.95,1999.45,1983.9,17.304,20.694,40.68,48.65,400.1,1499,40,99.24,-9.43,-0.16,0.8,-0.22,2.74,1,0,0.16,111115,OK
15,11:28:28,9,shade,old-_epi,2,2229,0,6.25,0.095,2.04E+03,2.29,2.4,30.76,6,1.42,1,2.84,29.86,30.76,29.95,2249.49,2232.43,17.32,20.691,40.68,48.6,400,1500,46,99.25,-13.9,-0.167,0.8,-0.22,2.74,1,0,0.16,111115,OK
