Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
14,14:42:33,33,shade,mature,4,3465.5,0,2.51,0.0208,186,0.631,2.91,33.21,6,1.42,1,2.84,30.79,33.21,30.12,399.04,394.90,21.329,22.255,47.26,49.32,399.9,2001,9,98.76,-3.12,-0.0809,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
15,14:45:55,33,shade,mature,4,3686.0,0,-0.157,0.0244,105,0.716,2.81,33.14,6,1.42,1,2.84,30.78,33.14,30.12,99.00,99.13,22.019,23.067,48.82,51.15,399.9,2000,8,98.76,1.35,-0.0979,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
16,14:47:54,33,shade,mature,4,3804.5,0,-0.597,0.0275,86.2,0.793,2.77,33.12,6,1.42,1,2.84,30.77,33.12,30.12,53.58,54.42,22.288,23.450,49.44,52.02,400.0,2000,7,98.76,1.71,-0.0916,0.5,-0.22,2.74,1.00,0.00,0.16,111135,OK
17,14:49:53,33,shade,mature,4,3924.0,0,0.0438,0.0317,93.3,0.89,2.7,33.00,6,1.42,1,2.84,30.76,33.00,30.13,100.14,99.94,22.529,23.832,49.99,52.88,400.0,2000,7,98.76,1.32,-0.106,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
18,14:51:52,33,shade,mature,4,4042.5,0,0.641,0.0362,115,1.04,2.76,33.04,6,1.42,1,2.84,30.77,33.04,30.13,150.46,149.27,21.849,23.368,48.47,51.84,400.0,1999,7,98.76,0.811,-0.106,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
19,14:53:53,33,shade,mature,4,4163.5,0,1.97,0.0428,164,1.17,2.64,32.88,6,1.42,1,2.84,30.77,32.88,30.12,251.28,247.89,22.314,24.033,49.50,53.31,399.9,2000,7,98.75,-0.531,-0.115,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
20,14:55:52,33,shade,mature,4,4283.0,0,3.47,0.0481,215,1.31,2.62,32.97,6,1.42,1,2.84,30.76,32.97,30.12,349.71,343.84,22.607,24.517,50.17,54.41,400.2,2001,7,98.75,-2.22,-0.122,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
21,14:57:51,33,shade,mature,4,4401.5,0,5.74,0.0531,346,1.41,2.57,32.91,6,1.42,1,2.84,30.75,32.91,30.12,550.35,540.60,22.841,24.899,50.71,55.28,400.1,2001,7,98.75,-6.14,-0.132,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
22,14:59:57,33,shade,mature,4,4528.0,0,7.89,0.0563,483,1.47,2.52,32.86,6,1.42,1,2.84,30.74,32.86,30.12,750.23,736.77,23.046,25.191,51.20,55.96,400.0,2000,7,98.75,-10.6,-0.135,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
23,15:01:56,33,shade,mature,4,4646.5,0,9.73,0.0569,671,1.47,2.5,32.84,6,1.42,1,2.84,30.73,32.84,30.12,1000.70,983.93,23.211,25.359,51.58,56.36,400.0,2000,7,98.74,-16.9,-0.136,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
24,15:03:55,33,shade,mature,4,4765.5,0,10.5,0.0561,884,1.44,2.49,32.83,6,1.42,1,2.84,30.73,32.83,30.12,1251.20,1232.77,23.374,25.481,51.96,56.64,400.0,2001,7,98.74,-23.5,-0.135,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
25,15:05:55,33,shade,mature,4,4885.5,0,11.1,0.0554,1.1E+03,1.4,2.45,32.72,6,1.42,1,2.84,30.72,32.72,30.13,1499.66,1479.97,23.510,25.557,52.27,56.82,400.0,2000,7,98.74,-30.6,-0.14,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
26,15:07:55,33,shade,mature,4,5005.5,0,11.1,0.0534,1.33E+03,1.36,2.47,32.81,6,1.42,1,2.84,30.72,32.81,30.12,1750.27,1730.01,23.636,25.627,52.56,56.99,399.8,2001,8,98.74,-38,-0.135,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
27,15:09:55,33,shade,mature,4,5126.0,0,11.5,0.0514,1.54E+03,1.31,2.47,32.85,6,1.42,1,2.84,30.73,32.85,30.13,2000.75,1979.60,23.779,25.698,52.87,57.13,400.0,2000,8,98.74,-45.9,-0.137,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
