Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
51,15:51:54,tower_tachi,more_shade,old,aci4,9857.0,0,-0.951,0.055,75.2,2.07,3.65,32.76,6,1.42,1,2.84,30.67,32.76,29.94,49.64,50.91,10.481,13.545,23.26,30.06,400.1,1499,17,98.28,5.72,-0.0639,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
52,15:53:53,tower_tachi,more_shade,old,aci4,9975.0,0,0.229,0.0608,88.6,2.26,3.61,32.69,6,1.42,1,2.84,30.66,32.69,29.94,101.19,100.51,10.476,13.815,23.26,30.68,400.1,1500,17,98.28,6.12,-0.0707,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
53,15:55:53,tower_tachi,more_shade,old,aci4,10095.5,0,1.43,0.0657,105,2.41,3.56,32.61,6,1.42,1,2.84,30.65,32.61,29.94,150.57,147.90,10.469,14.026,23.26,31.16,400.1,1500,16,98.28,6.58,-0.0758,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
54,15:57:54,tower_tachi,more_shade,old,aci4,10216.0,0,3.58,0.0682,146,2.49,3.56,32.65,6,1.42,1,2.84,30.69,32.65,29.93,250.09,243.81,10.480,14.165,23.24,31.41,400.1,1500,16,98.27,7.54,-0.0745,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
55,15:59:54,tower_tachi,more_shade,old,aci4,10336.5,0,5.8,0.0643,178,2.38,3.6,32.73,6,1.42,1,2.84,30.67,32.73,29.94,350.97,341.06,10.489,14.005,23.28,31.09,400.1,1499,16,98.27,7.89,-0.0708,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
56,16:02:22,tower_tachi,more_shade,old,aci4,10484.5,0,8.75,0.0514,236,1.97,3.7,32.88,6,1.42,1,2.84,30.66,32.88,29.94,551.08,536.38,10.475,13.382,23.26,29.72,400.1,1499,15,98.27,8.4,-0.0542,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
57,16:04:31,tower_tachi,more_shade,old,aci4,10613.0,0,10.9,0.0418,279,1.63,3.77,32.94,6,1.42,1,2.84,30.64,32.94,29.94,750.82,732.74,10.450,12.866,23.23,28.61,400.1,1500,15,98.27,8.02,-0.0375,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
58,16:06:49,tower_tachi,more_shade,old,aci4,10751.0,0,12.7,0.0349,347,1.37,3.8,32.88,6,1.42,1,2.84,30.59,32.88,29.93,999.59,978.54,10.414,12.448,23.22,27.76,400.1,1501,15,98.26,7.01,-0.0297,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
59,16:08:56,tower_tachi,more_shade,old,aci4,10878.0,0,14.3,0.0307,418,1.22,3.82,32.88,6,1.42,1,2.84,30.61,32.88,29.94,1250.33,1226.58,10.389,12.192,23.14,27.16,400.1,1501,15,98.26,5.11,-0.0194,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
60,16:10:58,tower_tachi,more_shade,old,aci4,11000.0,0,15.7,0.0269,474,1.08,3.85,32.93,6,1.42,1,2.84,30.64,32.93,29.94,1499.84,1473.98,10.400,12.002,23.12,26.68,400.1,1500,14,98.26,2.49,-0.0112,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
61,16:13:28,tower_tachi,more_shade,old,aci4,11150.0,0,15.7,0.0224,526,0.909,3.89,32.97,6,1.42,1,2.84,30.62,32.97,29.94,1750.68,1724.82,10.437,11.784,23.23,26.23,400.1,1501,14,98.26,-0.897,-0.00777,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
62,16:15:29,tower_tachi,more_shade,old,aci4,11271.0,0,16.5,0.0205,596,0.831,3.89,32.94,6,1.42,1,2.84,30.59,32.94,29.94,2000.08,1972.92,10.448,11.681,23.30,26.05,400.1,1500,14,98.26,-4.59,-0.00447,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
63,16:17:39,tower_tachi,more_shade,old,aci4,11401.0,0,16.7,0.0186,683,0.757,3.89,32.90,6,1.42,1,2.84,30.59,32.90,29.94,2249.42,2221.80,10.445,11.567,23.28,25.78,400.1,1500,11,98.26,-9.2,-0.00304,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
