Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
57,13:19:27,500,shade,mature,10,12788.5,0,4.33,0.0084,1.11E+03,0.212,2.42,31.46,6,1.42,1,2.84,30.4,31.46,30.13,2001.51,1994.38,22.034,22.345,50.06,50.76,400,1501,6,99.05,-49.2,0.17,0.5,-0.22,2.74,1,0,0.16,111115,OK
58,13:22:39,500,shade,mature,10,12995,0,5.35,0.00848,916,0.223,2.52,31.89,6,1.42,1,2.84,30.41,31.89,30.13,1999.84,1991.14,22.084,22.412,50.14,50.88,400,1999,10,99.04,-49.1,0.164,0.8,-0.22,2.74,1,0,0.16,111115,OK
59,13:25:06,500,shade,mature,10,13142,0,4.72,0.00788,969,0.205,2.49,31.76,6,1.42,1,2.84,30.43,31.76,30.13,1999.13,1991.43,22.158,22.458,50.24,50.92,400,1751,9,99.03,-49,0.167,1,-0.22,2.74,1,0,0.16,111115,OK
60,13:27:43,500,shade,mature,10,13299,0,4.66,0.00763,952,0.193,2.43,31.58,6,1.42,1,2.84,30.44,31.58,30.13,1999.03,1991.46,22.27,22.553,50.47,51.11,400.1,1499,7,99.03,-49.1,0.171,1,-0.22,2.74,1,0,0.16,111115,OK
61,13:30:10,500,shade,mature,10,13445.5,0,4.31,0.00728,984,0.181,2.39,31.46,6,1.42,1,2.84,30.47,31.46,30.13,1999.6,1992.6,22.392,22.658,50.67,51.27,399.8,1250,4,99.02,-49,0.153,0.5,-0.22,2.74,1,0,0.16,111115,OK
62,13:32:37,500,shade,mature,10,13592.5,0,4.21,0.00747,1.03E+03,0.179,2.3,31.15,6,1.42,1,2.84,30.43,31.15,30.13,1998.94,1992.08,22.482,22.744,50.98,51.57,400,1000,4,99.02,-49.2,0.156,0.5,-0.22,2.74,1,0,0.16,111115,OK
63,13:35:04,500,shade,mature,10,13739.5,0,4.57,0.00675,854,0.158,2.25,31,6,1.42,1,2.84,30.44,31,30.13,2001.6,1994.26,22.6,22.832,51.23,51.76,400,800,2,99.02,-49,0.154,0.8,-0.22,2.74,1,0,0.16,111115,OK
64,13:37:31,500,shade,mature,10,13886.5,0,4.42,0.00683,904,0.152,2.13,30.53,6,1.42,1,2.84,30.36,30.53,30.13,1999.89,1992.8,22.646,22.869,51.54,52.05,400,501,1,99.02,-49.1,0.153,0.5,-0.22,2.74,1,0,0.16,111115,OK
65,13:40:16,500,shade,mature,10,14051.5,0,4.15,0.00665,944,0.141,2.03,30.11,6,1.42,1,2.84,30.27,30.11,30.13,1999.76,1993.12,22.587,22.794,51.67,52.14,400,301,2,99,-49.6,0.15,0.5,-0.22,2.74,1,0,0.16,111115,OK
66,13:42:43,500,shade,mature,10,14198.5,0,3.65,0.00651,1.04E+03,0.135,1.98,29.88,6,1.42,1,2.84,30.22,29.88,30.13,1999.73,1993.85,22.5,22.697,51.61,52.06,400.1,199,3,99,-49.7,0.146,0.5,-0.22,2.74,1,0,0.16,111115,OK
67,13:45:10,500,shade,mature,10,14345.5,0,2.96,0.00604,1.16E+03,0.123,1.95,29.7,6,1.42,1,2.84,30.19,29.7,30.13,2000.32,1995.51,22.441,22.62,51.59,52,400,100,4,98.99,-50.1,0.147,1,-0.22,2.74,1,0,0.16,111115,OK
68,13:47:37,500,shade,mature,10,14492.5,0,2.28,0.00537,1.26E+03,0.108,1.93,29.62,6,1.42,1,2.84,30.17,29.62,30.13,2000.42,1996.68,22.406,22.565,51.55,51.91,400,50,6,98.99,-50.3,0.144,0.5,-0.22,2.74,1,0,0.16,111115,OK
