Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
86,13:51:55,9,shade,mature,14,16295.5,0,8.01,0.012,852,0.348,2.77,32.13,6,1.42,1,2.84,30.60,32.13,30.12,1998.63,1985.58,20.044,20.556,45.01,46.16,400.0,2001,4,99,-44.3,0.0438,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
87,13:53:30,9,shade,mature,14,16390.5,0,8.25,0.0115,769,0.324,2.71,31.92,6,1.42,1,2.84,30.58,31.92,30.12,1999.98,1986.64,20.149,20.625,45.29,46.36,399.7,1750,3,99,-44.3,0.0438,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
88,13:55:01,9,shade,mature,14,16481.5,0,8.31,0.0109,700,0.299,2.64,31.66,6,1.42,1,2.84,30.56,31.66,30.12,1999.62,1986.26,20.247,20.686,45.57,46.56,399.9,1501,3,98.99,-44.3,0.0438,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
89,13:56:32,9,shade,mature,14,16573.0,0,8.26,0.0101,624,0.27,2.56,31.38,6,1.42,1,2.84,30.52,31.38,30.12,1999.83,1986.64,20.332,20.729,45.84,46.74,400.0,1252,3,98.99,-44.3,0.0438,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
90,13:59:05,9,shade,mature,14,16722.0,0,7.9,0.0121,881,0.307,2.44,30.98,6,1.42,1,2.84,30.48,30.98,30.13,2000.54,1987.78,20.430,20.881,46.18,47.19,400.0,1862,4,98.98,-44.3,0.0438,0.2,-0.22,2.74,1.00,0.00,0.16,111115,OK
91,13:59:31,9,shade,mature,14,16750.5,0,8.29,0.0127,876,0.34,2.57,31.52,6,1.42,1,2.84,30.49,31.52,30.13,2000.51,1987.06,20.447,20.947,46.20,47.33,399.9,1750,4,98.98,-44.3,0.0438,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
92,14:01:03,9,shade,mature,14,16844.0,0,8.34,0.0126,867,0.332,2.52,31.35,6,1.42,1,2.84,30.48,31.35,30.13,2000.36,1986.85,20.519,21.007,46.38,47.48,400.0,1501,5,98.98,-44.3,0.0438,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
93,14:02:34,9,shade,mature,14,16935.0,0,8.46,0.0126,852,0.324,2.47,31.15,6,1.42,1,2.84,30.47,31.15,30.13,2000.60,1986.93,20.573,21.050,46.52,47.60,400.0,1251,4,98.98,-44.3,0.0438,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
94,14:04:10,9,shade,mature,14,17031.0,0,8.16,0.0126,891,0.316,2.41,30.94,6,1.42,1,2.84,30.45,30.94,30.13,2000.38,1987.20,20.630,21.094,46.70,47.75,399.9,1000,4,98.98,-44.3,0.0438,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
95,14:05:41,9,shade,mature,14,17122.0,0,7.89,0.0123,903,0.302,2.36,30.75,6,1.42,1,2.84,30.43,30.75,30.13,2000.38,1987.64,20.674,21.118,46.85,47.85,400.0,800,4,98.97,-44.3,0.0438,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
96,14:07:12,9,shade,mature,14,17213.0,0,7.19,0.0115,931,0.274,2.29,30.47,6,1.42,1,2.84,30.41,30.47,30.13,2000.54,1988.92,20.714,21.117,47.00,47.91,399.6,500,5,98.97,-44.3,0.0438,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
98,14:10:44,9,shade,mature,14,17424.0,0,5.89,0.00723,637,0.166,2.21,30.13,6,1.42,1,2.84,30.36,30.13,30.13,2000.77,1991.44,20.802,21.047,47.32,47.88,399.9,200,6,98.95,-45.6,-0.0401,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
99,14:12:41,9,shade,mature,14,17541.0,0,4.57,0.0063,779,0.144,2.19,30.05,6,1.42,1,2.84,30.36,30.05,30.13,2001.24,1993.95,20.836,21.047,47.41,47.89,399.9,99,6,98.95,-45.9,-0.0377,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
100,14:14:38,9,shade,mature,14,17658.5,0,3.22,0.0054,986,0.123,2.18,29.99,6,1.42,1,2.84,30.35,29.99,30.13,2001.31,1996.11,20.878,21.058,47.52,47.93,400.0,49,6,98.94,-46.1,-0.0407,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
