Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
86,13:50:08,9,shade,young,15,16209.0,0,11.1,0.145,1.79E+03,2.82,1.94,32.73,6,1.42,1,2.84,30.43,32.73,29.94,2000.30,1975.28,26.581,30.680,60.16,69.44,400.1,1999,3,98.85,-5.26,-0.36,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
87,13:51:44,9,shade,young,15,16305.0,0,10.8,0.143,1.79E+03,2.68,1.87,32.44,6,1.42,1,2.84,30.41,32.44,29.94,1999.72,1975.60,26.653,30.555,60.39,69.23,400.1,1750,3,98.85,-5.26,-0.36,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
88,13:53:15,9,shade,young,15,16396.0,0,10.7,0.141,1.79E+03,2.54,1.79,32.09,6,1.42,1,2.84,30.39,32.09,29.94,1999.86,1976.28,26.713,30.408,60.60,68.98,400.1,1501,3,98.84,-5.26,-0.36,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
89,13:54:46,9,shade,young,15,16487.0,0,10.3,0.14,1.8E+03,2.39,1.7,31.69,6,1.42,1,2.84,30.35,31.69,29.94,1999.70,1977.13,26.754,30.235,60.85,68.76,400.1,1250,3,98.84,-5.26,-0.36,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
90,13:56:17,9,shade,young,15,16578.0,0,9.81,0.139,1.81E+03,2.25,1.62,31.29,6,1.42,1,2.84,30.32,31.29,29.94,1999.49,1978.10,26.774,30.048,60.99,68.45,400.1,1001,3,98.84,-5.26,-0.36,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
91,13:57:48,9,shade,young,15,16669.0,0,9.38,0.137,1.82E+03,2.13,1.55,30.97,6,1.42,1,2.84,30.29,30.97,29.94,1999.64,1979.25,26.785,29.885,61.11,68.18,400.1,801,3,98.83,-5.26,-0.36,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
92,13:59:19,9,shade,young,15,16760.0,0,8.39,0.135,1.83E+03,1.97,1.45,30.51,6,1.42,1,2.84,30.26,30.51,29.94,1999.55,1981.12,26.791,29.659,61.22,67.78,400.1,501,4,98.83,-5.26,-0.36,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
93,14:00:50,9,shade,young,15,16851.5,0,7.58,0.139,1.85E+03,1.91,1.37,30.14,6,1.42,1,2.84,30.22,30.14,29.94,1999.43,1982.38,26.789,29.568,61.35,67.71,400.1,300,4,98.83,-5.26,-0.36,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
94,14:02:21,9,shade,young,15,16942.5,0,6.89,0.141,1.86E+03,1.85,1.31,29.85,6,1.42,1,2.84,30.17,29.85,29.94,1999.33,1983.50,26.779,29.466,61.52,67.70,400.1,199,4,98.83,-5.26,-0.36,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
95,14:03:52,9,shade,young,15,17033.5,0,4.73,0.137,1.89E+03,1.79,1.31,29.80,6,1.42,1,2.84,30.15,29.80,29.94,1999.29,1986.86,26.767,29.375,61.56,67.55,400.1,101,3,98.83,-5.26,-0.36,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
96,14:05:51,9,shade,young,15,17152.0,0,2.78,0.138,1.91E+03,1.78,1.29,29.73,6,1.42,1,2.84,30.13,29.73,29.94,1999.47,1989.99,26.756,29.348,61.58,67.55,400.1,51,4,98.82,-6.23,-0.324,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
