Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
36,07:32:08,504,sun,young,3,5732.5,0,17.2,0.16,1.73E+03,2.7,1.71,29.70,6,1.42,1,2.84,29.50,29.70,29.55,2000.76,1967.05,20.995,24.937,50.36,59.81,400.0,1499,15,99.32,-18.2,0.124,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
37,07:33:09,504,sun,young,3,5793.5,0,18.2,0.163,1.72E+03,2.88,1.79,30.12,6,1.42,1,2.84,29.52,30.12,29.55,2000.61,1964.90,21.017,25.223,50.38,60.46,400.0,2000,15,99.32,-18.2,0.124,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
38,07:34:10,504,sun,young,3,5854.5,0,17.5,0.151,1.72E+03,2.6,1.74,29.76,6,1.42,1,2.84,29.51,29.76,29.55,2000.57,1966.67,21.021,24.824,50.39,59.51,400.0,1500,12,99.31,-18.2,0.124,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
39,07:35:11,504,sun,young,3,5915.5,0,17.1,0.142,1.71E+03,2.41,1.71,29.55,6,1.42,1,2.84,29.50,29.55,29.55,2000.49,1967.69,21.026,24.561,50.45,58.93,399.9,1252,9,99.32,-18.2,0.124,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
40,07:36:12,504,sun,young,3,5976.5,0,16.3,0.134,1.72E+03,2.23,1.68,29.32,6,1.42,1,2.84,29.48,29.32,29.55,2000.19,1969.17,21.029,24.299,50.52,58.38,400.0,1002,8,99.32,-18.2,0.124,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
41,07:37:13,504,sun,young,3,6037.5,0,15.5,0.126,1.72E+03,2.07,1.65,29.06,6,1.42,1,2.84,29.44,29.06,29.55,2000.08,1970.66,21.034,24.068,50.65,57.95,399.9,799,6,99.32,-18.2,0.124,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
42,07:38:14,504,sun,young,3,6098.5,0,13.6,0.116,1.73E+03,1.86,1.61,28.78,6,1.42,1,2.84,29.42,28.78,29.55,2000.14,1974.21,21.046,23.777,50.72,57.30,399.9,501,7,99.31,-18.2,0.124,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
43,07:39:15,504,sun,young,3,6160.0,0,11.2,0.106,1.75E+03,1.7,1.61,28.66,6,1.42,1,2.84,29.41,28.66,29.54,2000.07,1978.23,21.041,23.529,50.74,56.74,399.9,300,8,99.32,-18.2,0.124,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
44,07:40:32,504,sun,young,3,6237.0,0,8.85,0.0936,1.78E+03,1.51,1.6,28.53,6,1.42,1,2.84,29.39,28.53,29.55,2000.07,1982.30,21.034,23.249,50.79,56.14,400.0,200,15,99.31,-18.2,0.124,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
45,07:41:33,504,sun,young,3,6298.0,0,4.46,0.0819,1.85E+03,1.33,1.61,28.43,6,1.42,1,2.84,29.37,28.43,29.55,2000.17,1989.51,21.024,22.974,50.81,55.52,400.0,100,11,99.31,-18.2,0.124,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
46,07:43:03,504,sun,young,3,6388.0,0,2.67,0.0651,1.87E+03,1.07,1.62,28.29,6,1.42,1,2.84,29.33,28.29,29.55,2000.21,1993.00,21.020,22.587,50.92,54.72,400.0,50,13,99.31,-19.8,0.175,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
47,07:44:38,504,sun,young,3,6483.0,0,-0.266,0.0445,1.95E+03,0.754,1.66,28.26,6,1.42,1,2.84,29.32,28.26,29.55,2000.37,1998.50,21.008,22.114,50.93,53.61,400.0,9,13,99.31,-20.1,0.177,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
48,07:46:28,504,sun,young,3,6593.0,0,-1.09,0.027,2.01E+03,0.472,1.7,28.28,6,1.42,1,2.84,29.34,28.28,29.55,2000.84,2001.06,21.016,21.709,50.89,52.56,400.0,0,9,99.3,-20.1,0.181,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
