Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
73,13:09:10,9,shade,y/m,12,13730.5,0,9.96,0.0231,1.21E+03,0.723,3.02,31.71,6,1.42,1,2.84,30.58,31.71,30.13,1998.43,1981.33,15.812,16.879,35.58,37.98,399.9,1999,19,99.09,-45.4,0.0334,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
74,13:10:41,9,shade,y/m,12,13821.5,0,10,0.0221,1.17E+03,0.682,2.98,31.65,6,1.42,1,2.84,30.61,31.65,30.13,1999.55,1982.46,16.160,17.165,36.30,38.56,399.9,1748,14,99.08,-45.4,0.0334,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
75,13:12:16,9,shade,y/m,12,13916.5,0,9.74,0.0212,1.16E+03,0.641,2.93,31.55,6,1.42,1,2.84,30.63,31.55,30.13,1998.29,1981.77,16.499,17.444,37.02,39.14,399.9,1500,17,99.08,-45.4,0.0334,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
76,13:13:57,9,shade,y/m,12,14017.5,0,9.82,0.0202,1.13E+03,0.596,2.85,31.35,6,1.42,1,2.84,30.61,31.35,30.13,2000.15,1983.65,16.843,17.721,37.82,39.79,400.1,1251,20,99.08,-45.4,0.0334,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
77,13:15:32,9,shade,y/m,12,14112.5,0,9.56,0.0192,1.11E+03,0.552,2.78,31.16,6,1.42,1,2.84,30.59,31.16,30.13,1999.82,1983.84,17.106,17.919,38.46,40.29,399.9,1001,12,99.07,-45.4,0.0334,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
78,13:17:03,9,shade,y/m,12,14203.5,0,9.03,0.0185,1.13E+03,0.522,2.72,31.01,6,1.42,1,2.84,30.57,31.01,30.13,1999.11,1984.01,17.327,18.097,38.99,40.72,399.9,801,6,99.07,-45.4,0.0334,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
79,13:18:34,9,shade,y/m,12,14295.0,0,8.43,0.0176,1.14E+03,0.483,2.66,30.82,6,1.42,1,2.84,30.55,30.82,30.12,1998.84,1984.75,17.521,18.232,39.47,41.07,399.9,501,6,99.07,-45.4,0.0334,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
80,13:20:05,9,shade,y/m,12,14386.0,0,7.57,0.0166,1.19E+03,0.446,2.59,30.59,6,1.42,1,2.84,30.52,30.59,30.12,1998.57,1985.90,17.699,18.355,39.95,41.44,400.2,302,6,99.07,-45.4,0.0334,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
81,13:21:39,9,shade,y/m,12,14480.0,0,6.65,0.0158,1.24E+03,0.416,2.54,30.46,6,1.42,1,2.84,30.49,30.46,30.12,2000.35,1989.13,17.867,18.480,40.40,41.78,399.8,200,6,99.06,-45.4,0.0334,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
82,13:23:40,9,shade,y/m,12,14600.5,0,4.49,0.0148,1.43E+03,0.387,2.51,30.41,6,1.42,1,2.84,30.48,30.41,30.13,2000.11,1992.21,18.069,18.639,40.87,42.16,399.9,101,54,99.06,-45.2,0.0405,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
83,13:25:38,9,shade,y/m,12,14718.0,0,2.53,0.0137,1.62E+03,0.352,2.47,30.30,6,1.42,1,2.84,30.46,30.30,30.13,1999.72,1994.87,18.272,18.790,41.38,42.56,399.9,49,12,99.05,-45.4,0.0344,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
84,13:27:36,9,shade,y/m,12,14836.0,0,0.724,0.0133,1.83E+03,0.336,2.44,30.23,6,1.42,1,2.84,30.44,30.23,30.13,1999.80,1997.71,18.476,18.971,41.87,42.99,399.9,11,10,99.05,-45.7,0.04,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
