Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
17,13:13:16,tower_macarunduba,more_shade,mature,2,3621.0,0,8.62,0.0122,794,0.307,2.41,31.33,6,1.42,1,2.84,29.93,31.33,29.95,2001.00,1987.16,21.769,22.218,50.57,51.61,400.0,2000,7,98.55,-5.06,-0.129,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
18,13:15:04,tower_macarunduba,more_shade,mature,2,3729.0,0,9.9,0.0119,601,0.29,2.33,30.99,6,1.42,1,2.84,29.88,30.99,29.95,2001.48,1985.77,21.701,22.126,50.54,51.53,400.0,1750,7,98.55,-5.06,-0.129,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
19,13:16:35,tower_macarunduba,more_shade,mature,2,3820.0,0,10.9,0.0122,500,0.286,2.23,30.59,6,1.42,1,2.84,29.80,30.59,29.95,2000.04,1982.78,21.658,22.076,50.66,51.64,400.0,1500,7,98.53,-5.06,-0.129,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
20,13:18:12,tower_macarunduba,more_shade,mature,2,3917.5,0,11.6,0.0127,482,0.284,2.13,30.18,6,1.42,1,2.84,29.76,30.18,29.94,2000.36,1982.18,21.629,22.046,50.71,51.68,400.1,1250,7,98.5,-5.06,-0.129,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
21,13:19:43,tower_macarunduba,more_shade,mature,2,4008.5,0,12,0.0129,438,0.277,2.06,29.88,6,1.42,1,2.84,29.72,29.88,29.94,2000.83,1981.98,21.641,22.047,50.82,51.78,400.0,1000,8,98.49,-5.06,-0.129,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
22,13:21:14,tower_macarunduba,more_shade,mature,2,4099.5,0,11.8,0.0126,441,0.262,1.99,29.58,6,1.42,1,2.84,29.69,29.58,29.94,2000.52,1982.06,21.664,22.048,50.99,51.90,400.0,801,8,98.48,-5.06,-0.129,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
23,13:22:46,tower_macarunduba,more_shade,mature,2,4191.5,0,11.1,0.0119,434,0.235,1.9,29.21,6,1.42,1,2.84,29.64,29.21,29.95,2000.55,1983.13,21.686,22.031,51.17,51.98,400.0,500,7,98.49,-5.06,-0.129,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
24,13:24:20,tower_macarunduba,more_shade,mature,2,4285.5,0,9.67,0.0111,543,0.212,1.84,28.93,6,1.42,1,2.84,29.61,28.93,29.94,2000.23,1985.09,21.678,21.990,51.26,51.99,400.0,301,7,98.5,-5.06,-0.129,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
25,13:25:56,tower_macarunduba,more_shade,mature,2,4381.5,0,7.92,0.0102,695,0.191,1.8,28.74,6,1.42,1,2.84,29.57,28.74,29.94,2000.09,1987.64,21.623,21.903,51.25,51.91,400.0,200,6,98.51,-5.06,-0.129,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
26,13:27:53,tower_macarunduba,more_shade,mature,2,4498.0,0,5.99,0.00909,891,0.169,1.78,28.56,6,1.42,1,2.84,29.53,28.56,29.94,2000.04,1990.55,21.538,21.785,51.15,51.74,400.0,100,5,98.51,-6.56,-0.125,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
27,13:29:50,tower_macarunduba,more_shade,mature,2,4614.5,0,3.78,0.00788,1.18E+03,0.144,1.75,28.40,6,1.42,1,2.84,29.49,28.40,29.95,2000.15,1994.06,21.450,21.661,51.07,51.58,400.0,50,5,98.5,-6.88,-0.123,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
28,13:31:47,tower_macarunduba,more_shade,mature,2,4732.0,0,1.36,0.00678,1.62E+03,0.122,1.73,28.25,6,1.42,1,2.84,29.48,28.25,29.95,2000.63,1998.22,21.368,21.547,50.88,51.31,400.0,10,5,98.49,-7.24,-0.123,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
