Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
3,13:10:24,caferana,shade,old,_last_season's_growth,5,837.0,0,9.84,0.0285,1.36E+03,0.697,2.36,30.67,6,1.42,1,2.84,30.30,30.67,30.13,2000.13,1983.31,19.797,20.821,45.24,47.58,400.1,1999,32,99.04,-46.5,0.182,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,13:11:55,caferana,shade,old,_last_season's_growth,5,928.0,0,9.43,0.0265,1.35E+03,0.645,2.35,30.58,6,1.42,1,2.84,30.30,30.58,30.13,2000.34,1984.28,19.764,20.711,45.16,47.33,400.0,1750,26,99.03,-46.5,0.182,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,13:13:26,caferana,shade,old,_last_season's_growth,5,1019.0,0,8.91,0.0248,1.34E+03,0.599,2.33,30.46,6,1.42,1,2.84,30.29,30.46,30.13,2000.45,1985.30,19.733,20.613,45.12,47.13,400.0,1501,31,99.03,-46.5,0.182,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,13:14:57,caferana,shade,old,_last_season's_growth,5,1110.0,0,8.41,0.0233,1.34E+03,0.557,2.31,30.34,6,1.42,1,2.84,30.27,30.34,30.13,2000.70,1986.42,19.710,20.528,45.11,46.98,400.0,1251,38,99.02,-46.5,0.182,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,13:16:28,caferana,shade,old,_last_season's_growth,5,1201.0,0,8.03,0.0221,1.34E+03,0.522,2.28,30.18,6,1.42,1,2.84,30.25,30.18,30.13,2001.18,1987.58,19.685,20.453,45.10,46.86,400.0,1001,51,99.01,-46.5,0.182,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,13:18:01,caferana,shade,old,_last_season's_growth,5,1294.0,0,7.51,0.0213,1.36E+03,0.496,2.25,30.03,6,1.42,1,2.84,30.23,30.03,30.13,2001.26,1988.51,19.676,20.406,45.14,46.81,400.0,799,51,99.01,-46.5,0.182,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,13:19:32,caferana,shade,old,_last_season's_growth,5,1385.5,0,6.81,0.0203,1.39E+03,0.466,2.21,29.88,6,1.42,1,2.84,30.21,29.88,30.13,2000.94,1989.34,19.692,20.376,45.22,46.79,400.0,501,45,99,-46.5,0.182,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,13:21:03,caferana,shade,old,_last_season's_growth,5,1476.5,0,6.13,0.0199,1.43E+03,0.451,2.19,29.76,6,1.42,1,2.84,30.19,29.76,30.13,2000.86,1990.32,19.703,20.365,45.29,46.81,400.0,301,44,99,-46.5,0.182,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,13:23:02,caferana,shade,old,_last_season's_growth,5,1595.5,0,6.27,0.0189,1.4E+03,0.426,2.17,29.71,6,1.42,1,2.84,30.19,29.71,30.13,2000.85,1990.17,19.747,20.373,45.39,46.83,400.1,201,43,99,-47.3,0.172,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,13:25:00,caferana,shade,old,_last_season's_growth,5,1713.5,0,5.03,0.0184,1.49E+03,0.411,2.16,29.66,6,1.42,1,2.84,30.18,29.66,30.13,2000.89,1992.11,19.816,20.420,45.56,46.95,400.0,100,42,98.99,-47.5,0.176,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,13:27:01,caferana,shade,old,_last_season's_growth,5,1834.5,0,3.38,0.0181,1.63E+03,0.404,2.15,29.67,6,1.42,1,2.84,30.19,29.67,30.13,2000.17,1993.89,19.872,20.466,45.67,47.03,400.0,51,42,98.99,-47.6,0.176,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
