Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
32,10:55:02,9,sun,y/m,5,5703.0,0,12.3,0.0339,1.3E+03,1.17,3.33,33.26,6,1.42,1,2.84,30.20,33.26,29.94,1999.07,1977.22,16.451,18.168,37.83,41.78,400.1,1999,1,99.09,-6.26,-0.0878,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
33,10:56:41,9,sun,y/m,5,5802.0,0,12.4,0.0337,1.3E+03,1.12,3.21,32.89,6,1.42,1,2.84,30.17,32.89,29.94,1998.78,1976.92,16.622,18.266,38.28,42.07,400.0,1751,1,99.09,-6.26,-0.0878,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
34,10:58:12,9,sun,y/m,5,5893.0,0,11.7,0.0331,1.32E+03,1.06,3.1,32.53,6,1.42,1,2.84,30.16,32.53,29.94,1998.44,1977.79,16.774,18.337,38.65,42.25,400.1,1501,2,99.09,-6.26,-0.0878,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
35,10:59:53,9,sun,y/m,5,5994.0,0,11.2,0.0325,1.34E+03,0.996,2.97,32.06,6,1.42,1,2.84,30.17,32.06,29.94,1999.89,1980.20,16.951,18.418,39.04,42.42,400.1,1250,1,99.09,-6.26,-0.0878,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
36,11:01:26,9,sun,y/m,5,6087.0,0,10.8,0.0321,1.36E+03,0.936,2.83,31.56,6,1.42,1,2.84,30.15,31.56,29.94,1999.90,1980.93,17.110,18.487,39.46,42.64,400.1,1000,1,99.09,-6.26,-0.0878,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
37,11:02:57,9,sun,y/m,5,6178.0,0,10.1,0.0317,1.39E+03,0.887,2.71,31.15,6,1.42,1,2.84,30.13,31.15,29.95,1999.71,1981.90,17.259,18.564,39.84,42.86,400.1,800,1,99.09,-6.26,-0.0878,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
38,11:04:28,9,sun,y/m,5,6269.0,0,8.74,0.0314,1.46E+03,0.822,2.54,30.50,6,1.42,1,2.84,30.07,30.50,29.94,1999.14,1983.59,17.400,18.609,40.31,43.11,400.0,501,1,99.09,-6.26,-0.0878,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
39,11:05:59,9,sun,y/m,5,6360.5,0,7.69,0.0309,1.51E+03,0.773,2.42,30.06,6,1.42,1,2.84,30.05,30.06,29.95,1999.19,1985.36,17.554,18.691,40.71,43.35,400.1,299,2,99.09,-6.26,-0.0878,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
40,11:07:30,9,sun,y/m,5,6451.5,0,6.33,0.0305,1.58E+03,0.741,2.36,29.84,6,1.42,1,2.84,30.02,29.84,29.94,1998.86,1987.16,17.709,18.800,41.13,43.67,400.1,200,1,99.08,-6.26,-0.0878,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
41,11:09:32,9,sun,y/m,5,6573.0,0,4.52,0.0291,1.67E+03,0.687,2.29,29.61,6,1.42,1,2.84,29.99,29.61,29.93,1998.59,1989.77,17.933,18.943,41.73,44.08,400.0,100,2,99.09,-7.63,-0.113,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
42,11:11:35,9,sun,y/m,5,6696.5,0,2.01,0.0287,1.81E+03,0.663,2.24,29.51,6,1.42,1,2.84,30.00,29.51,29.94,2000.14,1995.15,18.182,19.157,42.30,44.57,400.0,49,1,99.09,-7.31,-0.11,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
43,11:13:34,9,sun,y/m,5,6815.0,0,-0.718,0.0282,1.97E+03,0.636,2.19,29.37,6,1.42,1,2.84,30.01,29.37,29.96,2000.71,1999.88,18.433,19.368,42.85,45.02,400.1,10,1,99.09,-7.05,-0.114,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
