Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
104,11:44:01,500,shade,y2,6,17428.5,0,2.56,0.0119,1.59E+03,0.235,1.9,30.15,6,1.42,1,2.84,29.75,30.15,29.55,2000.99,1996.44,23.864,24.209,56.24,57.05,399.9,1999,2,99,-17.3,0.254,0.2,-0.22,2.74,1.00,0.00,0.16,111115,OK
105,11:45:28,500,shade,y2,6,17515.0,0,2.66,0.0101,1.52E+03,0.206,1.95,30.33,6,1.42,1,2.84,29.73,30.33,29.55,2001.04,1996.44,23.884,24.185,56.36,57.07,400.0,1501,2,98.99,-17.6,0.257,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
106,11:46:55,500,shade,y2,6,17602.0,0,2.74,0.0102,1.51E+03,0.201,1.89,30.09,6,1.42,1,2.84,29.73,30.09,29.54,2001.50,1996.78,23.861,24.155,56.32,57.01,400.0,1249,3,98.99,-17.5,0.255,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
107,11:48:22,500,shade,y2,6,17689.0,0,2.68,0.00991,1.51E+03,0.189,1.83,29.84,6,1.42,1,2.84,29.72,29.84,29.54,1999.84,1995.25,23.845,24.122,56.30,56.95,400.0,1000,3,98.99,-17.6,0.258,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
108,11:49:54,500,shade,y2,6,17781.0,0,2.84,0.00975,1.48E+03,0.181,1.78,29.61,6,1.42,1,2.84,29.68,29.61,29.55,1999.79,1994.98,23.815,24.080,56.36,56.99,399.6,799,3,98.99,-17.7,0.247,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
109,11:51:21,500,shade,y2,6,17868.0,0,2.98,0.00973,1.45E+03,0.173,1.71,29.30,6,1.42,1,2.84,29.66,29.30,29.54,1999.80,1994.81,23.809,24.062,56.40,57.00,400.0,500,2,98.99,-17.9,0.246,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
110,11:52:48,500,shade,y2,6,17955.5,0,2.81,0.00966,1.48E+03,0.166,1.66,29.06,6,1.42,1,2.84,29.64,29.06,29.55,1999.52,1994.81,23.802,24.045,56.45,57.03,400.1,300,2,98.98,-17.8,0.248,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
111,11:54:15,500,shade,y2,6,18042.5,0,2.63,0.00918,1.49E+03,0.155,1.63,28.92,6,1.42,1,2.84,29.62,28.92,29.55,1999.38,1994.97,23.790,24.017,56.50,57.04,399.9,200,2,98.98,-18,0.24,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
112,11:55:48,500,shade,y2,6,18135.0,0,2.42,0.00908,1.52E+03,0.151,1.6,28.81,6,1.42,1,2.84,29.61,28.81,29.55,1999.80,1995.72,23.777,23.999,56.49,57.02,400.0,101,1,98.98,-18.1,0.24,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
113,11:57:16,500,shade,y2,6,18223.0,0,1.78,0.00886,1.63E+03,0.146,1.59,28.73,6,1.42,1,2.84,29.60,28.73,29.54,1999.87,1996.76,23.764,23.978,56.50,57.01,400.0,50,1,98.98,-18.1,0.239,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
114,11:58:43,500,shade,y2,6,18310.0,0,0.905,0.00832,1.77E+03,0.136,1.57,28.64,6,1.42,1,2.84,29.57,28.64,29.55,2000.32,1998.55,23.744,23.943,56.54,57.01,400.0,10,1,98.97,-18.2,0.247,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
115,12:00:31,500,shade,y2,6,18418.5,0,0.561,0.0081,1.84E+03,0.131,1.55,28.55,6,1.42,1,2.84,29.56,28.55,29.55,2000.17,1998.94,23.706,23.898,56.47,56.92,400.0,-0,2,98.97,-18.2,0.243,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
$LIGHTCURVE_START,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
