Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
28,12:26:03,9,sun,young,6,7352.5,0,8.5,0.0935,1.78E+03,1.97,2.08,30.96,6,1.42,1,2.84,30.38,30.96,30.13,2017.10,1998.44,21.483,24.366,48.94,55.51,400.1,1999,36,99.19,-46.9,0.162,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
29,12:28:25,9,sun,young,6,7494.5,0,8.65,0.0901,1.78E+03,1.89,2.07,30.88,6,1.42,1,2.84,30.38,30.88,30.13,2018.66,2000.02,21.501,24.268,48.97,55.27,400.1,1750,40,99.19,-46.9,0.162,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
30,12:30:16,9,sun,young,6,7605.5,0,8.6,0.0867,1.77E+03,1.8,2.05,30.74,6,1.42,1,2.84,30.38,30.74,30.13,2019.04,2000.74,21.519,24.155,49.02,55.03,400.1,1499,42,99.18,-46.9,0.162,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
31,12:31:58,9,sun,young,6,7707.5,0,8.31,0.0836,1.77E+03,1.72,2.02,30.59,6,1.42,1,2.84,30.37,30.59,30.13,2018.17,2000.56,21.516,24.028,49.05,54.78,400.0,1250,47,99.18,-46.9,0.162,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
32,12:33:39,9,sun,young,6,7809.0,0,7.88,0.0802,1.78E+03,1.62,2,30.43,6,1.42,1,2.84,30.35,30.43,30.13,2018.20,2001.50,21.541,23.920,49.15,54.58,400.0,1000,51,99.18,-46.9,0.162,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
33,12:35:20,9,sun,young,6,7910.0,0,7.25,0.0794,1.79E+03,1.59,1.97,30.30,6,1.42,1,2.84,30.34,30.30,30.13,2017.04,2001.40,21.548,23.871,49.20,54.50,400.0,800,39,99.17,-46.9,0.162,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
34,12:37:05,9,sun,young,6,8015.0,0,6.99,0.0758,1.79E+03,1.49,1.93,30.11,6,1.42,1,2.84,30.32,30.11,30.13,2015.89,2000.94,21.564,23.744,49.29,54.27,400.0,500,32,99.17,-46.9,0.162,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
35,12:38:55,9,sun,young,6,8125.0,0,6.1,0.0728,1.8E+03,1.41,1.9,29.95,6,1.42,1,2.84,30.29,29.95,30.13,2014.02,2000.66,21.575,23.638,49.39,54.12,400.0,301,34,99.16,-46.9,0.162,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
36,12:40:38,9,sun,young,6,8228.0,0,5.53,0.0714,1.81E+03,1.37,1.88,29.84,6,1.42,1,2.84,30.26,29.84,30.13,2012.09,1999.69,21.566,23.571,49.44,54.04,400.0,201,40,99.16,-46.9,0.162,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
37,12:42:48,9,sun,young,6,8357.0,0,3.3,0.0684,1.86E+03,1.31,1.88,29.78,6,1.42,1,2.84,30.26,29.78,30.13,2006.97,1998.10,21.597,23.510,49.52,53.91,400.0,100,31,99.16,-47.4,0.136,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
38,12:45:01,9,sun,young,6,8490.0,0,0.903,0.0666,1.92E+03,1.27,1.87,29.73,6,1.42,1,2.84,30.25,29.73,30.13,2004.24,1999.07,21.576,23.438,49.50,53.77,400.1,49,36,99.15,-47.5,0.138,0.2,-0.22,2.74,1.00,0.00,0.16,111115,OK
39,12:47:13,9,sun,young,6,8622.0,0,-0.921,0.0652,1.96E+03,1.24,1.87,29.71,6,1.42,1,2.84,30.25,29.71,30.13,2001.83,1999.48,21.584,23.403,49.53,53.70,400.0,10,43,99.16,-47.5,0.136,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
$ACICURVE_START,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
