Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
37,15:11:43,tower_tachi,more_shade,old,lc3,7445.5,0,11.2,0.0148,662,0.667,4.31,34.41,6,1.42,1,2.84,30.86,34.41,29.94,2000.65,1981.83,10.733,11.721,23.58,25.75,400.1,2000,14,98.3,-1.97,-0.00968,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
38,15:13:19,tower_tachi,more_shade,old,lc3,7542.0,0,11.1,0.0149,691,0.615,3.94,33.13,6,1.42,1,2.84,30.83,33.13,29.94,2000.67,1982.13,10.728,11.638,23.61,25.61,400.1,1751,22,98.3,-1.97,-0.00968,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
39,15:15:01,tower_tachi,more_shade,old,lc3,7644.0,0,12,0.0149,596,0.645,4.12,33.76,6,1.42,1,2.84,30.87,33.76,29.94,2001.19,1981.21,10.715,11.671,23.52,25.62,400.1,1500,16,98.29,-1.97,-0.00968,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
40,15:16:32,tower_tachi,more_shade,old,lc3,7735.0,0,11.4,0.0143,609,0.599,4.01,33.35,6,1.42,1,2.84,30.81,33.35,29.93,2001.00,1982.11,10.715,11.602,23.60,25.55,400.1,1250,15,98.29,-1.97,-0.00968,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
41,15:18:05,tower_tachi,more_shade,old,lc3,7828.0,0,11.3,0.0139,589,0.566,3.89,32.89,6,1.42,1,2.84,30.77,32.89,29.93,2001.10,1982.41,10.703,11.541,23.63,25.48,400.1,1001,13,98.29,-1.97,-0.00968,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
42,15:19:36,tower_tachi,more_shade,old,lc3,7919.0,0,11,0.0137,609,0.544,3.8,32.57,6,1.42,1,2.84,30.75,32.57,29.93,2001.02,1982.88,10.691,11.498,23.63,25.42,400.1,801,13,98.29,-1.97,-0.00968,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
43,15:21:07,tower_tachi,more_shade,old,lc3,8010.0,0,9.87,0.0127,659,0.491,3.69,32.12,6,1.42,1,2.84,30.73,32.12,29.93,2001.00,1984.74,10.688,11.415,23.64,25.25,400.1,501,13,98.29,-1.97,-0.00968,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
44,15:22:47,tower_tachi,more_shade,old,lc3,8110.0,0,8.1,0.0112,747,0.423,3.6,31.78,6,1.42,1,2.84,30.71,31.78,29.93,2001.18,1987.77,10.680,11.306,23.66,25.05,400.1,299,13,98.29,-1.97,-0.00968,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
45,15:24:30,tower_tachi,more_shade,old,lc3,8213.0,0,6.71,0.0102,849,0.379,3.56,31.59,6,1.42,1,2.84,30.67,31.59,29.94,2001.13,1989.94,10.666,11.228,23.68,24.93,400.1,201,12,98.29,-1.97,-0.00968,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
46,15:26:27,tower_tachi,more_shade,old,lc3,8329.0,0,5.38,0.00979,1.02E+03,0.358,3.51,31.36,6,1.42,1,2.84,30.65,31.36,29.93,2000.92,1991.78,10.653,11.184,23.67,24.85,400.1,100,12,98.29,-2.58,0.00357,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
47,15:28:25,tower_tachi,more_shade,old,lc3,8447.5,0,3.6,0.00922,1.27E+03,0.335,3.48,31.25,6,1.42,1,2.84,30.62,31.25,29.92,2000.92,1994.52,10.645,11.142,23.70,24.81,400.1,51,14,98.29,-2.77,-0.00111,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
48,15:30:23,tower_tachi,more_shade,old,lc3,8565.0,0,0.887,0.00904,1.73E+03,0.326,3.45,31.14,6,1.42,1,2.84,30.63,31.14,29.94,2001.07,1998.76,10.632,11.115,23.66,24.74,400.1,10,14,98.29,-2.7,0.00537,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
