Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
1,15:18:59,504,sun,mature,10,1295.5,0,2.65,0.0319,227,2.17,6.49,40.50,6,1.42,1,2.84,43.15,40.50,44.95,400.48,395.22,8.202,11.417,9.25,12.88,400.0,1999,10,98.78,-3.1,0.0572,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
2,15:21:13,504,sun,mature,10,1437.0,0,-0.385,0.0313,108,2.13,6.49,40.55,6,1.42,1,2.84,43.17,40.55,44.95,99.39,99.65,8.463,11.616,9.54,13.09,400.0,1999,10,98.78,1.92,0.0551,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
3,15:23:19,504,sun,mature,10,1563.0,0,-0.77,0.0315,90.5,2.14,6.46,40.55,6,1.42,1,2.84,43.16,40.55,44.95,58.30,59.26,8.699,11.866,9.81,13.38,399.9,1999,8,98.77,2.3,0.0516,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,15:25:20,504,sun,mature,10,1684.5,0,-0.357,0.033,107,2.22,6.42,40.53,6,1.42,1,2.84,43.17,40.53,44.95,100.33,100.53,8.919,12.213,10.05,13.76,400.1,1999,6,98.76,1.93,0.0546,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,15:27:20,504,sun,mature,10,1804.5,0,0.157,0.035,127,2.34,6.38,40.53,6,1.42,1,2.84,43.17,40.53,44.95,150.09,149.33,9.123,12.593,10.28,14.19,400.0,2001,4,98.74,1.33,0.0492,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,15:29:20,504,sun,mature,10,1924.0,0,1.36,0.0378,168,2.52,6.35,40.56,6,1.42,1,2.84,43.19,40.56,44.95,251.91,248.93,9.325,13.048,10.49,14.68,400.1,2000,3,98.73,-0.215,0.0328,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,15:31:20,504,sun,mature,10,2044.0,0,2.22,0.0412,227,2.7,6.26,40.45,6,1.42,1,2.84,43.17,40.45,44.95,349.80,345.07,9.523,13.511,10.73,15.22,400.0,2000,7,98.74,-1.87,0.0244,0.2,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,15:33:35,504,sun,mature,10,2179.5,0,4.63,0.0433,323,2.81,6.22,40.44,6,1.42,1,2.84,43.17,40.44,44.95,550.89,541.66,9.725,13.884,10.95,15.64,400.0,2001,8,98.74,-6.13,0.0212,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,15:35:35,504,sun,mature,10,2299.0,0,6.93,0.0416,407,2.7,6.22,40.44,6,1.42,1,2.84,43.17,40.44,44.95,750.43,737.04,9.907,13.903,11.16,15.66,400.0,2000,6,98.74,-10.7,0.022,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,15:37:35,504,sun,mature,10,2419.5,0,9.34,0.0382,508,2.49,6.23,40.44,6,1.42,1,2.84,43.16,40.44,44.95,1000.00,982.32,10.094,13.782,11.37,15.53,400.0,2000,6,98.73,-16.9,0.0316,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,15:39:35,504,sun,mature,10,2539.5,0,11.4,0.0359,618,2.34,6.23,40.43,6,1.42,1,2.84,43.15,40.43,44.95,1250.35,1228.93,10.279,13.747,11.59,15.50,399.5,2001,5,98.72,-23.6,0.0358,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,15:41:36,504,sun,mature,10,2660.5,0,13.2,0.0344,741,2.24,6.23,40.44,6,1.42,1,2.84,43.15,40.44,44.95,1500.93,1476.23,10.459,13.779,11.79,15.53,400.0,2001,2,98.71,-30.6,0.0372,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,15:43:36,504,sun,mature,10,2780.5,0,14.8,0.0333,867,2.17,6.22,40.44,6,1.42,1,2.84,43.15,40.44,44.95,1750.10,1722.29,10.642,13.855,11.99,15.62,400.0,2001,2,98.7,-38,0.0381,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
14,15:45:35,504,sun,mature,10,2899.0,0,16,0.0325,1.01E+03,2.13,6.24,40.50,6,1.42,1,2.84,43.17,40.50,44.95,1999.82,1969.47,10.829,13.977,12.19,15.74,400.0,2001,1,98.7,-45.5,0.0388,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
