Obs,HHMMSS,leaf_age,tree_number,sun_or_shade,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,N_CO2S_,MN_CO2S_,SD_CO2S_,CV_CO2S_,SLP_CO2S_,N_H2OS_,MN_H2OS_,SD_H2OS_,CV_H2OS_,SLP_H2OS_,N_Flow_,MN_Flow_,SD_Flow_,CV_Flow_,SLP_Flow_,N_Photo_,MN_Photo_,SD_Photo_,CV_Photo_,SLP_Photo_,column_for_Exclude_pts
3,14:21:42,mature,500,sun,11,1066.5,0,-0.577,0.00431,258,0.116,2.56,32.58,6,1.42,1,2.84,30.24,32.58,29.94,49.22,50.08,23.910,24.080,54.68,55.07,400.0,1500,4,98.8,4.56,-0.234,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,50.1,6.3E-02,1.3E-01,6.5E-02,30,24.1,4.7E-03,2.0E-02,5.1E-02,30,400,3.6E-02,8.9E-03,-4.2E-01,40,-0.799,2.3E-01,2.8E+01,1.9E+00,OK
4,14:24:09,mature,500,sun,11,1214.0,0,-0.468,0.00423,269,0.113,2.54,32.55,6,1.42,1,2.84,30.24,32.55,29.94,99.30,99.99,24.026,24.191,54.95,55.32,400.1,1500,4,98.8,4.95,-0.232,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,99.9,2.6E-02,2.6E-02,2.7E-01,30,24.2,5.4E-03,2.2E-02,2.8E-02,30,400,1.6E-02,4.1E-03,-1.4E-01,40,-0.291,1.7E-01,5.9E+01,-1.5E+00,OK
5,14:26:36,mature,500,sun,11,1360.5,0,-0.325,0.00413,268,0.109,2.51,32.51,6,1.42,1,2.84,30.24,32.51,29.94,150.39,150.85,24.143,24.302,55.21,55.57,400.1,1500,3,98.8,5.28,-0.238,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,151,3.4E-02,2.3E-02,9.3E-02,30,24.3,5.7E-03,2.3E-02,5.9E-02,30,400,1.5E-02,3.6E-03,-6.0E-02,40,-0.268,7.8E-02,2.9E+01,-6.7E-01,OK
6,14:29:03,mature,500,sun,11,1508.0,0,-0.149,0.00407,297,0.107,2.51,32.54,6,1.42,1,2.84,30.24,32.54,29.94,250.20,250.38,24.236,24.393,55.44,55.80,400.0,1500,4,98.8,5.8,-0.236,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,250,5.5E-02,2.2E-02,-4.3E-02,30,24.4,2.8E-03,1.1E-02,1.9E-02,30,400,1.7E-02,4.3E-03,-7.8E-02,40,-0.0259,2.1E-01,8.1E+02,-1.7E+00,OK
7,14:31:30,mature,500,sun,11,1654.5,0,0.016,0.00429,330,0.112,2.49,32.51,6,1.42,1,2.84,30.23,32.51,29.94,350.48,350.40,24.338,24.502,55.69,56.06,400.1,1501,3,98.79,6.42,-0.232,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,350,5.8E-02,1.7E-02,-6.2E-02,30,24.5,2.8E-03,1.1E-02,8.0E-03,30,400,1.4E-02,3.4E-03,-4.8E-02,40,0.204,2.0E-01,9.9E+01,-1.8E+00,OK
8,14:33:57,mature,500,sun,11,1802.0,0,0.377,0.00438,393,0.114,2.48,32.47,6,1.42,1,2.84,30.22,32.47,29.94,550.79,550.13,24.422,24.588,55.90,56.28,400.0,1501,2,98.79,6.5,-0.233,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,550,5.2E-02,9.4E-03,-4.1E-01,30,24.6,4.1E-03,1.7E-02,4.4E-02,30,400,2.5E-02,6.3E-03,-2.7E-01,40,0.351,5.4E-02,1.6E+01,-2.1E-01,OK
9,14:36:24,mature,500,sun,11,1948.5,0,0.782,0.00492,469,0.127,2.46,32.46,6,1.42,1,2.84,30.23,32.46,29.94,750.15,748.83,24.503,24.689,56.07,56.49,400.1,1500,3,98.78,5.88,-0.234,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,749,4.7E-02,6.3E-03,-1.0E-02,30,24.7,4.3E-03,1.7E-02,3.5E-02,30,400,1.8E-02,4.4E-03,-1.5E-01,40,0.595,2.4E-01,4.0E+01,2.1E+00,OK
10,14:38:51,mature,500,sun,11,2096.0,0,1.59,0.00531,486,0.136,2.45,32.45,6,1.42,1,2.84,30.24,32.45,29.94,1000.61,998.01,24.587,24.786,56.24,56.69,400.0,1500,3,98.78,4.41,-0.235,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,998,1.1E-01,1.1E-02,-7.4E-01,30,24.8,3.5E-03,1.4E-02,3.8E-02,30,400,1.6E-02,4.1E-03,-1.1E-01,40,0.971,5.6E-01,5.8E+01,4.8E+00,OK
11,14:41:18,mature,500,sun,11,2242.5,0,2.15,0.00568,604,0.139,2.34,32.06,6,1.42,1,2.84,30.24,32.06,29.94,1250.45,1246.96,24.651,24.854,56.37,56.84,400.1,1500,3,98.78,2.09,-0.234,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,1.25e+03,7.9E-02,6.3E-03,5.9E-01,30,24.9,2.2E-03,8.7E-03,1.3E-02,30,400,2.3E-02,5.8E-03,-1.3E-01,40,1.32,7.7E-01,5.8E+01,6.7E+00,OK
12,14:43:47,mature,500,sun,11,2392.0,0,2.7,0.00565,684,0.145,2.45,32.50,6,1.42,1,2.84,30.25,32.50,29.94,1500.10,1495.72,24.730,24.943,56.52,57.00,400.1,1499,3,98.78,-0.732,-0.239,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,1.5e+03,6.4E-02,4.3E-03,4.2E-01,30,24.9,3.1E-03,1.2E-02,2.8E-02,30,400,1.8E-02,4.5E-03,-1.7E-01,40,1.89,9.6E-01,5.1E+01,8.3E+00,OK
