Obs,HHMMSS,leaf_age,tree_number,sun_or_shade,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,N_CO2S_,MN_CO2S_,SD_CO2S_,CV_CO2S_,SLP_CO2S_,N_H2OS_,MN_H2OS_,SD_H2OS_,CV_H2OS_,SLP_H2OS_,N_Flow_,MN_Flow_,SD_Flow_,CV_Flow_,SLP_Flow_,N_Photo_,MN_Photo_,SD_Photo_,CV_Photo_,SLP_Photo_,column_for_Exclude_pts
1,12:23:01,mature,tower_macarunduba,more_shade,1,560.0,0,9.5,0.1,218,2.08,2.03,32.43,6,1.42,1,2.84,30.39,32.43,29.94,400.15,384.71,26.071,29.095,58.97,65.81,400.1,2000,312,98.53,8.03,-0.31,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,385,1.0E-01,2.7E-02,5.6E-01,30,29.1,2.5E-03,8.7E-03,-7.8E-04,30,400,2.7E-02,6.8E-03,1.7E-03,40,15,4.5E+00,3.0E+01,-3.8E+01,OK
2,12:25:14,mature,tower_macarunduba,more_shade,1,739.0,0,0.491,0.105,88.5,2.22,2.07,32.63,6,1.42,1,2.84,30.47,32.63,29.94,100.48,99.41,26.019,29.245,58.57,65.83,400.1,1999,65,98.54,6.35,-0.307,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,99.5,5.8E-02,5.8E-02,-6.5E-01,30,29.2,1.2E-02,4.2E-02,1.6E-01,30,400,1.3E-02,3.3E-03,9.9E-03,40,-0.114,5.9E-01,5.2E+02,5.1E+00,OK
3,12:27:14,mature,tower_macarunduba,more_shade,1,858.5,0,-0.935,0.125,62.4,2.55,2.01,32.55,6,1.42,1,2.84,30.46,32.55,29.94,50.75,51.96,25.884,29.588,58.31,66.65,400.0,2000,63,98.54,5.73,-0.315,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,51.9,6.1E-02,1.2E-01,-5.8E-01,30,29.6,1.4E-02,4.8E-02,1.9E-01,30,400,3.2E-02,8.1E-03,-2.8E-01,40,-1.13,2.5E-01,2.2E+01,2.3E+00,OK
4,12:29:14,mature,tower_macarunduba,more_shade,1,978.5,0,0.839,0.142,84.7,2.79,1.96,32.43,6,1.42,1,2.84,30.42,32.43,29.94,99.29,97.62,25.710,29.774,58.03,67.21,400.1,2000,61,98.53,6.33,-0.317,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,97.6,3.8E-02,3.9E-02,-2.7E-01,30,29.8,8.1E-03,2.7E-02,1.1E-01,30,400,1.3E-02,3.3E-03,2.5E-02,40,0.996,1.5E-01,1.5E+01,-1.4E+00,OK
5,12:31:14,mature,tower_macarunduba,more_shade,1,1098.5,0,2.68,0.152,112,2.97,1.94,32.41,6,1.42,1,2.84,30.44,32.41,29.95,150.28,145.61,25.553,29.874,57.61,67.36,400.1,2000,57,98.52,6.99,-0.32,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,146,1.6E-02,1.1E-02,8.6E-02,30,29.9,5.3E-03,1.8E-02,2.8E-02,30,400,2.3E-02,5.9E-03,-2.2E-01,40,2.86,2.1E-01,7.4E+00,-1.9E+00,OK
6,12:33:14,mature,tower_macarunduba,more_shade,1,1218.5,0,6.45,0.158,165,3.03,1.92,32.30,6,1.42,1,2.84,30.40,32.30,29.94,250.66,239.89,25.342,29.758,57.27,67.24,400.1,2000,57,98.51,7.81,-0.321,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,240,4.6E-02,1.9E-02,3.2E-01,30,29.8,6.8E-03,2.3E-02,-8.4E-02,30,400,1.5E-02,3.8E-03,-8.8E-03,40,6.74,3.4E-01,5.0E+00,-2.8E+00,OK
7,12:35:14,mature,tower_macarunduba,more_shade,1,1338.5,0,10.1,0.156,216,3.01,1.93,32.24,6,1.42,1,2.84,30.38,32.24,29.94,351.19,334.49,25.146,29.528,56.88,66.79,400.0,2000,65,98.51,8.25,-0.318,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,335,3.7E-02,1.1E-02,-8.1E-02,30,29.5,1.0E-02,3.4E-02,-1.3E-01,30,400,1.9E-02,4.8E-03,-2.3E-01,40,10.3,1.4E-01,1.4E+00,-1.2E+00,OK
8,12:37:16,mature,tower_macarunduba,more_shade,1,1460.5,0,16.1,0.145,324,2.89,1.99,32.35,6,1.42,1,2.84,30.42,32.35,29.95,550.64,524.20,25.020,29.233,56.45,65.96,400.1,2000,60,98.5,8.86,-0.306,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,524,4.5E-02,8.6E-03,4.9E-01,30,29.2,1.4E-02,4.8E-02,-1.9E-01,30,400,1.4E-02,3.4E-03,-1.3E-01,40,16.4,2.6E-01,1.6E+00,-2.3E+00,OK
9,12:39:22,mature,tower_macarunduba,more_shade,1,1587.0,0,20.7,0.126,424,2.65,2.07,32.54,6,1.42,1,2.84,30.48,32.54,29.94,749.86,715.97,25.079,28.931,56.42,65.09,400.1,2000,51,98.5,8.94,-0.296,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,716,8.6E-02,1.2E-02,7.9E-01,30,28.9,1.1E-02,3.7E-02,-1.4E-01,30,400,1.4E-02,3.5E-03,-7.0E-02,40,20.8,8.5E-02,4.1E-01,-7.6E-01,OK
10,12:41:22,mature,tower_macarunduba,more_shade,1,1707.0,0,24.2,0.108,564,2.35,2.13,32.61,6,1.42,1,2.84,30.50,32.61,29.94,1001.18,961.47,25.121,28.538,56.43,64.11,400.1,2000,25,98.5,8.02,-0.277,0.5,-0.22,2.74,1.00,0.00,0.16,111115,30,961,1.3E-01,1.3E-02,1.4E+00,30,28.6,1.4E-02,5.0E-02,-1.8E-01,30,400,1.5E-02,3.7E-03,-4.3E-02,40,24,2.0E-01,8.4E-01,1.8E+00,OK
11,12:43:58,mature,tower_macarunduba,more_shade,1,1863.0,0,25.1,0.0843,685,1.89,2.19,32.60,6,1.42,1,2.84,30.43,32.60,29.94,1249.29,1208.27,25.142,27.902,56.71,62.93,400.1,2001,12,98.5,6.4,-0.255,0.5,-0.22,2.74,1.00,0.00,0.16,111115,30,1.21e+03,1.5E-01,1.2E-02,1.1E+00,30,27.9,2.1E-02,7.6E-02,-2.8E-01,30,400,2.0E-02,5.0E-03,-1.9E-01,40,25,3.4E-01,1.4E+00,2.9E+00,OK
12,12:46:57,mature,tower_macarunduba,more_shade,1,2041.5,0,24,0.0583,749,1.36,2.26,32.54,6,1.42,1,2.84,30.40,32.54,29.94,1499.88,1460.90,25.080,27.068,56.66,61.15,400.1,2000,8,98.5,3.79,-0.235,0.5,-0.22,2.74,1.00,0.00,0.16,111115,30,1.46e+03,2.2E-01,1.5E-02,2.7E+00,30,27.1,2.2E-02,8.0E-02,-2.9E-01,30,400,1.9E-02,4.6E-03,2.4E-02,40,23.5,5.8E-01,2.5E+00,5.1E+00,OK
13,12:49:56,mature,tower_macarunduba,more_shade,1,2220.5,0,21.9,0.0399,780,0.96,2.31,32.48,6,1.42,1,2.84,30.32,32.48,29.94,1750.51,1715.23,24.959,26.361,56.66,59.85,400.1,2000,5,98.5,0.225,-0.213,0.5,-0.22,2.74,1.00,0.00,0.16,111115,30,1.72e+03,1.7E-01,9.6E-03,1.4E+00,30,26.4,1.8E-02,6.8E-02,-2.3E-01,30,400,2.4E-02,6.0E-03,-2.3E-01,40,21.1,8.4E-01,4.0E+00,7.0E+00,OK
14,12:52:55,mature,tower_macarunduba,more_shade,1,2399.5,0,20,0.0295,822,0.713,2.32,32.24,6,1.42,1,2.84,30.25,32.24,29.94,2000.48,1968.44,24.568,25.610,55.98,58.36,400.1,2000,5,98.49,-4.37,-0.197,0.5,-0.22,2.74,1.00,0.00,0.16,111115,30,1.97e+03,2.9E-01,1.5E-02,3.8E+00,30,25.6,1.3E-02,5.2E-02,-1.8E-01,30,400,2.6E-02,6.5E-03,-3.2E-01,40,18.8,1.4E+00,7.2E+00,1.2E+01,OK
