Obs,HHMMSS,leaf_age,tree_number,sun_or_shade,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,N_CO2S_,MN_CO2S_,SD_CO2S_,CV_CO2S_,SLP_CO2S_,N_H2OS_,MN_H2OS_,SD_H2OS_,CV_H2OS_,SLP_H2OS_,N_Flow_,MN_Flow_,SD_Flow_,CV_Flow_,SLP_Flow_,N_Photo_,MN_Photo_,SD_Photo_,CV_Photo_,SLP_Photo_,column_for_Exclude_pts
16,14:53:00,old,33,shade,3,3836.5,0,-0.533,0.014,107,0.485,3.29,34.39,6,1.42,1,2.84,30.61,34.39,29.94,49.90,50.66,21.265,21.976,47.53,49.12,400.1,2000,4,98.61,6.27,-0.165,0.8,-0.22,2.74,1.00,0.00,0.16,111135,30,50.7,3.9E-02,7.6E-02,-3.4E-01,30,22,1.2E-02,5.3E-02,1.5E-01,30,400,2.6E-02,6.5E-03,-2.1E-01,40,-0.81,2.7E-01,3.4E+01,2.4E+00,OK
17,14:54:58,old,33,shade,3,3954.5,0,-0.197,0.0158,114,0.535,3.23,34.27,6,1.42,1,2.84,30.59,34.27,29.94,99.74,99.95,21.472,22.257,48.03,49.79,400.1,1999,4,98.6,6.9,-0.173,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,99.9,2.9E-02,2.9E-02,7.7E-03,30,22.2,1.6E-02,7.3E-02,2.3E-01,30,400,1.9E-02,4.8E-03,-1.0E-01,40,0.0405,2.0E-01,5.0E+02,-1.8E+00,OK
18,14:56:57,old,33,shade,3,4073.5,0,0.135,0.0178,130,0.6,3.22,34.33,6,1.42,1,2.84,30.60,34.33,29.94,150.48,150.15,21.662,22.541,48.44,50.41,400.1,2001,4,98.6,7.61,-0.175,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,150,6.1E-02,4.1E-02,6.6E-01,30,22.5,1.1E-02,4.7E-02,1.4E-01,30,400,2.0E-02,5.0E-03,-6.8E-02,40,0.475,2.6E-01,5.6E+01,-2.4E+00,OK
19,14:59:01,old,33,shade,3,4197.5,0,0.806,0.0199,172,0.66,3.17,34.24,6,1.42,1,2.84,30.59,34.24,29.94,250.39,248.94,21.826,22.793,48.83,50.99,400.1,2000,4,98.59,8.51,-0.183,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,249,6.9E-02,2.8E-02,-5.1E-01,30,22.8,9.6E-03,4.2E-02,1.2E-01,30,400,2.0E-02,5.0E-03,-1.3E-01,40,1.03,2.5E-01,2.4E+01,-2.2E+00,OK
20,15:01:00,old,33,shade,3,4316.5,0,1.42,0.0224,233,0.676,2.88,33.33,6,1.42,1,2.84,30.57,33.33,29.94,350.97,348.49,21.964,22.955,49.21,51.43,400.1,2001,4,98.59,9.23,-0.185,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,348,5.3E-02,1.5E-02,1.8E-01,30,22.9,6.2E-03,2.7E-02,7.1E-02,30,400,1.7E-02,4.2E-03,-8.2E-02,40,1.68,3.0E-01,1.8E+01,-2.4E+00,OK
21,15:02:59,old,33,shade,3,4435.5,0,2.77,0.023,329,0.748,3.1,34.15,6,1.42,1,2.84,30.58,34.15,29.95,550.48,545.71,22.067,23.162,49.41,51.86,400.1,2000,4,98.59,9.68,-0.188,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,546,3.1E-02,5.8E-03,-1.7E-01,30,23.1,6.8E-03,3.0E-02,8.9E-02,30,400,2.9E-02,7.2E-03,-2.7E-01,40,2.92,1.6E-01,5.6E+00,-1.4E+00,OK
22,15:04:58,old,33,shade,3,4555.0,0,3.77,0.0237,456,0.764,3.08,34.09,6,1.42,1,2.84,30.55,34.09,29.94,749.78,743.28,22.154,23.272,49.67,52.18,400.1,2000,4,98.59,9.5,-0.186,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,743,3.5E-02,4.8E-03,-2.5E-01,30,23.3,2.9E-03,1.2E-02,3.4E-02,30,400,2.3E-02,5.8E-03,-5.2E-02,40,3.71,3.4E-02,9.2E-01,2.7E-01,OK
23,15:07:10,old,33,shade,3,4686.5,0,4.59,0.0229,627,0.735,3.07,34.10,6,1.42,1,2.84,30.55,34.10,29.94,1000.18,992.21,22.240,23.317,49.85,52.27,400.1,2000,4,98.59,8.65,-0.19,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,992,6.7E-02,6.8E-03,-6.1E-01,30,23.3,2.1E-03,9.2E-03,-1.2E-02,30,400,3.9E-02,9.9E-03,-8.9E-03,40,4.15,4.0E-01,9.6E+00,3.6E+00,OK
24,15:09:09,old,33,shade,3,4805.5,0,5.15,0.0209,791,0.67,3.07,34.07,6,1.42,1,2.84,30.55,34.07,29.94,1249.36,1240.39,22.313,23.295,50.04,52.24,400.1,2000,4,98.58,7.01,-0.185,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,1.24e+03,1.2E-01,9.9E-03,2.2E-01,30,23.3,3.6E-03,1.6E-02,-3.1E-02,30,400,2.8E-02,6.9E-03,-1.8E-01,40,4.55,5.9E-01,1.3E+01,5.0E+00,OK
25,15:11:19,old,33,shade,3,4935.5,0,5.84,0.0183,915,0.593,3.09,34.13,6,1.42,1,2.84,30.55,34.13,29.94,1500.40,1490.32,22.386,23.255,50.21,52.15,400.1,2000,5,98.59,4.27,-0.176,0.5,-0.22,2.74,1.00,0.00,0.16,111115,30,1.49e+03,1.1E-01,7.3E-03,-1.0E+00,30,23.3,3.7E-03,1.6E-02,-3.3E-02,30,400,1.7E-02,4.3E-03,-9.0E-02,40,4.79,8.8E-01,1.8E+01,8.0E+00,OK
26,15:13:17,old,33,shade,3,5053.5,0,5.94,0.0172,1.12E+03,0.512,2.85,33.27,6,1.42,1,2.84,30.54,33.27,29.94,1750.58,1740.34,22.428,23.178,50.33,52.01,400.1,2000,5,98.59,1.37,-0.171,0.5,-0.22,2.74,1.00,0.00,0.16,111115,30,1.74e+03,1.5E-01,8.8E-03,1.4E+00,30,23.2,2.2E-03,9.5E-03,-1.1E-02,30,400,1.8E-02,4.5E-03,3.3E-02,40,4.96,9.4E-01,1.9E+01,8.3E+00,OK
27,15:15:27,old,33,shade,3,5183.5,0,6.24,0.0147,1.22E+03,0.479,3.11,34.19,6,1.42,1,2.84,30.55,34.19,29.94,2000.72,1989.93,22.490,23.192,50.42,51.99,400.1,1999,4,98.58,-2.11,-0.17,0.5,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,1.5E-01,7.5E-03,1.4E+00,30,23.2,2.0E-03,8.4E-03,1.8E-02,30,400,2.5E-02,6.2E-03,-2.3E-01,40,5.11,1.1E+00,2.2E+01,1.0E+01,OK
