Obs,HHMMSS,leaf_age,tree_number,sun_or_shade,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,N_CO2S_,MN_CO2S_,SD_CO2S_,CV_CO2S_,SLP_CO2S_,N_H2OS_,MN_H2OS_,SD_H2OS_,CV_H2OS_,SLP_H2OS_,N_Flow_,MN_Flow_,SD_Flow_,CV_Flow_,SLP_Flow_,N_Photo_,MN_Photo_,SD_Photo_,CV_Photo_,SLP_Photo_,column_for_Exclude_pts
16,10:13:10,y/m,9,sun,3,3168.0,0,3.27,0.0473,262,1.69,3.47,33.05,6,1.42,1,2.84,30.07,33.05,29.94,399.25,393.35,13.646,16.134,31.61,37.37,400.0,2000,1,99.08,7.43,-0.0628,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,393,2.8E-02,7.2E-03,8.3E-02,30,16.1,1.5E-03,9.4E-03,1.6E-02,30,400,1.2E-02,2.9E-03,-1.6E-02,40,3.18,4.4E-02,1.4E+00,6.1E-02,OK
17,10:16:04,y/m,9,sun,3,3365.5,0,-0.297,0.0472,104,1.68,3.46,33.03,6,1.42,1,2.84,30.04,33.03,29.95,99.97,100.16,13.699,16.175,31.79,37.54,400.1,1999,1,99.08,5.74,-0.072,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,100,5.5E-02,5.5E-02,-6.7E-01,30,16.2,3.5E-03,2.2E-02,-3.4E-02,30,400,1.1E-02,2.7E-03,4.9E-02,40,-0.909,5.8E-01,6.4E+01,5.1E+00,OK
18,10:18:04,y/m,9,sun,3,3485.5,0,-0.859,0.0473,76.8,1.68,3.45,33.03,6,1.42,1,2.84,30.06,33.03,29.94,49.86,51.02,13.744,16.219,31.86,37.59,400.0,2000,1,99.08,5.21,-0.068,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,51,3.0E-02,5.9E-02,-1.2E-01,30,16.2,4.4E-03,2.7E-02,4.5E-02,30,400,3.1E-02,7.7E-03,2.3E-02,40,-1.08,2.0E-01,1.8E+01,1.8E+00,OK
19,10:20:04,y/m,9,sun,3,3606.0,0,-0.193,0.0476,99.7,1.69,3.47,33.10,6,1.42,1,2.84,30.03,33.10,29.95,98.84,98.87,13.795,16.293,32.02,37.82,400.1,2000,1,99.09,5.78,-0.0764,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,98.9,5.2E-02,5.2E-02,-1.9E-01,30,16.3,5.9E-03,3.6E-02,-2.6E-02,30,400,9.8E-03,2.5E-03,-4.7E-02,40,-0.0375,1.4E-01,3.8E+02,-1.3E+00,OK
20,10:22:04,y/m,9,sun,3,3725.5,0,0.527,0.0475,123,1.69,3.47,33.14,6,1.42,1,2.84,30.05,33.14,29.94,150.03,148.86,13.864,16.363,32.16,37.95,400.1,1999,1,99.09,6.22,-0.0702,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,149,3.3E-02,2.2E-02,2.7E-01,30,16.4,4.6E-03,2.8E-02,-3.5E-02,30,400,1.3E-02,3.2E-03,-1.1E-01,40,0.644,1.4E-01,2.1E+01,-1.3E+00,OK
21,10:24:04,y/m,9,sun,3,3845.5,0,1.68,0.0471,178,1.68,3.48,33.18,6,1.42,1,2.84,30.06,33.18,29.94,250.88,247.74,13.937,16.417,32.30,38.05,400.1,1999,1,99.08,7,-0.0697,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,248,4.0E-02,1.6E-02,2.6E-01,30,16.4,4.5E-03,2.7E-02,-3.3E-02,30,400,1.9E-02,4.8E-03,-1.2E-01,40,1.94,2.5E-01,1.3E+01,-2.2E+00,OK
OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,10:26:08,y/m,9,sun,3,3969.5,0,2.82,0.0465,230,1.66,3.48,33.21,6,1.42,1,2.84,30.06,33.21,29.95,350.19,345.11,14.012,16.468,32.48,38.17,400.1,1999,4,99.08,7.36,-0.0705,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,345,4.1E-02,1.2E-02,1.5E-01,30,16.5,4.9E-03,3.0E-02,-2.8E-02,30,400,1.7E-02,4.3E-03,-1.4E-01,40,2.94,9.7E-02,3.3E+00,-8.5E-01,
23,10:28:08,y/m,9,sun,3,4089.5,0,4.75,0.0459,348,1.65,3.49,33.26,6,1.42,1,2.84,30.07,33.26,29.95,550.14,541.68,14.099,16.527,32.65,38.27,400.1,1999,1,99.08,7.82,-0.0696,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,542,4.5E-02,8.2E-03,-1.3E-01,30,16.5,4.0E-03,2.4E-02,-1.8E-02,30,400,2.0E-02,5.0E-03,-1.6E-01,40,4.95,2.1E-01,4.2E+00,-1.8E+00,OK
24,10:30:08,y/m,9,sun,3,4209.5,0,6.38,0.0456,477,1.62,3.46,33.16,6,1.42,1,2.84,30.05,33.16,29.94,749.83,738.47,14.194,16.585,32.91,38.46,400.0,1999,1,99.08,7.47,-0.0683,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,738,5.4E-02,7.3E-03,4.9E-02,30,16.6,5.3E-03,3.2E-02,6.3E-02,30,400,4.1E-02,1.0E-02,-4.3E-01,40,6.28,1.5E-01,2.3E+00,1.2E+00,OK
