Obs,HHMMSS,leaf_age,tree_number,sun_or_shade,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,N_CO2S_,MN_CO2S_,SD_CO2S_,CV_CO2S_,SLP_CO2S_,N_H2OS_,MN_H2OS_,SD_H2OS_,CV_H2OS_,SLP_H2OS_,N_Flow_,MN_Flow_,SD_Flow_,CV_Flow_,SLP_Flow_,N_Photo_,MN_Photo_,SD_Photo_,CV_Photo_,SLP_Photo_,column_for_Exclude_pts
17,12:23:22,old,caferana,shade,4,3236,0,-0.0667,0.047,97,1.27,2.61,32,6,1.42,1,2.84,30.27,32,29.94,99.03,98.94,20.003,21.861,45.75,50,400.1,1501,27,98.96,5.19,-0.232,0.8,-0.22,2.74,1,0,0.16,111115,30,99,4.80E-02,4.80E-02,-5.50E-01,30,21.9,1.60E-03,7.30E-03,-1.50E-02,30,400,1.70E-02,4.30E-03,-8.10E-02,40,-0.535,5.00E-01,9.30E+01,4.30E+00,OK
18,12:25:21,old,caferana,shade,4,3354.5,0,-0.525,0.0483,65.5,1.29,2.59,31.93,6,1.42,1,2.84,30.25,31.93,29.94,49.68,50.37,19.971,21.862,45.73,50.06,400.1,1501,21,98.96,4.62,-0.228,0.8,-0.22,2.74,1,0,0.16,111115,30,50.4,4.30E-02,8.50E-02,-4.90E-01,30,21.9,2.10E-03,9.40E-03,1.20E-02,30,400,2.30E-02,5.80E-03,-1.30E-01,40,-0.742,2.00E-01,2.70E+01,1.70E+00,OK
19,12:27:20,old,caferana,shade,4,3473.5,0,0.0693,0.0507,92.6,1.35,2.59,31.91,6,1.42,1,2.84,30.24,31.91,29.94,99.25,98.94,19.886,21.864,45.55,50.08,400.1,1500,26,98.96,5.22,-0.23,0.8,-0.22,2.74,1,0,0.16,111115,30,98.9,4.00E-02,4.10E-02,2.60E-01,30,21.9,1.70E-03,7.90E-03,-6.10E-03,30,400,1.70E-02,4.10E-03,-1.10E-01,40,0.283,1.70E-01,5.90E+01,-1.40E+00,OK
20,12:29:19,old,caferana,shade,4,3592.5,0,0.839,0.0526,117,1.4,2.58,31.89,6,1.42,1,2.84,30.23,31.89,29.94,150.43,148.86,19.807,21.855,45.4,50.1,400,1501,41,98.96,5.58,-0.236,0.8,-0.22,2.74,1,0,0.16,111115,30,149,2.80E-02,1.90E-02,2.20E-01,30,21.9,1.90E-03,8.70E-03,1.60E-02,30,400,2.60E-02,6.50E-03,-2.90E-01,40,0.945,1.10E-01,1.20E+01,-9.60E-01,OK
21,12:31:36,old,caferana,shade,4,3729.5,0,2.2,0.0558,174,1.47,2.57,31.88,6,1.42,1,2.84,30.25,31.88,29.94,250.68,246.84,19.767,21.928,45.27,50.22,400.1,1500,40,98.95,6.08,-0.231,0.8,-0.22,2.74,1,0,0.16,111115,30,247,3.30E-02,1.40E-02,1.10E-01,30,21.9,2.10E-03,9.60E-03,1.80E-02,30,400,1.20E-02,3.10E-03,-1.30E-01,40,2.35,1.80E-01,7.70E+00,-1.50E+00,OK
22,12:33:35,old,caferana,shade,4,3849,0,3.5,0.0579,234,1.53,2.58,31.9,6,1.42,1,2.84,30.25,31.9,29.94,350.57,344.53,19.709,21.956,45.12,50.27,400.1,1499,35,98.95,6.52,-0.232,0.8,-0.22,2.74,1,0,0.16,111115,30,344,3.00E-02,8.70E-03,3.60E-02,30,22,1.50E-03,6.90E-03,-9.70E-03,30,400,2.50E-02,6.10E-03,-1.20E-01,40,3.62,1.20E-01,3.40E+00,-1.00E+00,OK
23,12:35:34,old,caferana,shade,4,3967.5,0,6.08,0.0595,355,1.56,2.55,31.83,6,1.42,1,2.84,30.24,31.83,29.94,550.3,539.92,19.687,21.975,45.09,50.34,400,1500,18,98.95,6.57,-0.232,1,-0.22,2.74,1,0,0.16,111115,30,540,3.70E-02,6.80E-03,1.40E-01,30,22,1.30E-03,5.80E-03,7.20E-03,30,400,1.30E-02,3.30E-03,-1.20E-01,40,6.15,4.00E-02,6.40E-01,-2.90E-01,OK
24,12:37:33,old,caferana,shade,4,4086.5,0,8.29,0.0596,484,1.55,2.54,31.78,6,1.42,1,2.84,30.22,31.78,29.94,750.96,736.81,19.695,21.974,45.16,50.39,400.1,1500,23,98.95,6.1,-0.225,0.8,-0.22,2.74,1,0,0.16,111115,30,737,3.00E-02,4.10E-03,-3.80E-02,30,22,2.70E-03,1.20E-02,-1.70E-02,30,400,1.50E-02,3.80E-03,-1.10E-01,40,8.05,2.40E-01,2.90E+00,2.00E+00,OK
25,12:39:36,old,caferana,shade,4,4209.5,0,9.75,0.0571,670,1.5,2.55,31.78,6,1.42,1,2.84,30.22,31.78,29.94,1000.73,983.89,19.663,21.856,45.09,50.12,400.1,1500,46,98.94,4.55,-0.221,0.5,-0.22,2.74,1,0,0.16,111115,30,984,1.10E-01,1.10E-02,1.10E+00,30,21.9,5.20E-03,2.40E-02,-6.50E-02,30,400,1.60E-02,4.00E-03,-9.10E-02,40,9.28,5.50E-01,5.90E+00,4.50E+00,OK
26,12:41:43,old,caferana,shade,4,4336.5,0,10.1,0.0518,868,1.37,2.58,31.81,6,1.42,1,2.84,30.21,31.81,29.94,1249.69,1231.93,19.649,21.666,45.07,49.7,400.1,1501,27,98.94,2.22,-0.212,0.8,-0.22,2.74,1,0,0.16,111115,30,1.23E+03,7.00E-02,5.60E-03,6.70E-01,30,21.7,6.80E-03,3.10E-02,-9.00E-02,30,400,1.70E-02,4.30E-03,7.30E-02,40,9.36,7.70E-01,8.20E+00,6.80E+00,OK
