Obs,HHMMSS,leaf_age,tree_number,sun_or_shade,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,N_CO2S_,MN_CO2S_,SD_CO2S_,CV_CO2S_,SLP_CO2S_,N_H2OS_,MN_H2OS_,SD_H2OS_,CV_H2OS_,SLP_H2OS_,N_Flow_,MN_Flow_,SD_Flow_,CV_Flow_,SLP_Flow_,N_Photo_,MN_Photo_,SD_Photo_,CV_Photo_,SLP_Photo_,column_for_Exclude_pts
31,09:08:33,old1,caferana,shade,5,6240.5,0,-0.481,0.016,94.4,0.537,3.26,29.68,6,1.42,1,2.84,29.74,29.68,29.95,49.28,49.97,8.541,9.339,20.16,22.04,400.1,1000,24,99.09,4.96,0.0301,0.8,-0.22,2.74,1.00,0.00,0.16,111135,30,50,5.0E-02,9.9E-02,-6.5E-01,30,9.34,3.7E-03,4.0E-02,4.2E-02,30,400,1.7E-02,4.4E-03,-1.4E-01,40,-0.697,1.9E-01,2.7E+01,1.7E+00,OK
32,09:10:36,old1,caferana,shade,5,6363.5,0,-0.0454,0.0169,99.3,0.565,3.25,29.66,6,1.42,1,2.84,29.72,29.66,29.95,100.38,100.37,8.554,9.393,20.22,22.20,400.1,1000,22,99.09,5.48,0.0262,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,100,2.4E-02,2.4E-02,-2.3E-02,30,9.39,2.7E-03,2.9E-02,3.3E-02,30,400,1.5E-02,3.8E-03,-9.4E-02,40,0.0592,1.6E-01,2.7E+02,-1.3E+00,OK
33,09:12:35,old1,caferana,shade,5,6482.5,0,0.271,0.0182,118,0.61,3.25,29.71,6,1.42,1,2.84,29.75,29.71,29.95,149.72,149.18,8.569,9.474,20.22,22.35,400.0,1000,19,99.08,5.96,0.0261,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,149,2.3E-02,1.5E-02,1.9E-02,30,9.47,4.3E-03,4.6E-02,5.4E-02,30,400,1.4E-02,3.5E-03,7.2E-03,40,0.418,1.7E-01,4.0E+01,-1.5E+00,OK
34,09:14:34,old1,caferana,shade,5,6601.5,0,0.972,0.02,161,0.667,3.24,29.69,6,1.42,1,2.84,29.76,29.69,29.96,251.60,249.89,8.580,9.570,20.24,22.57,400.0,1000,13,99.08,6.68,0.0251,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,250,3.5E-02,1.4E-02,3.2E-01,30,9.56,3.9E-03,4.0E-02,4.9E-02,30,400,1.1E-02,2.8E-03,-1.1E-01,40,1.28,3.1E-01,2.4E+01,-2.7E+00,OK
35,09:16:33,old1,caferana,shade,5,6720.0,0,1.73,0.022,205,0.743,3.28,29.92,6,1.42,1,2.84,29.74,29.92,29.95,349.51,346.53,8.593,9.696,20.28,22.88,400.0,1000,17,99.08,7.14,0.0222,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,347,3.6E-02,1.0E-02,-2.2E-01,30,9.69,5.1E-03,5.3E-02,6.3E-02,30,400,1.8E-02,4.4E-03,-1.9E-01,40,1.86,1.5E-01,8.1E+00,-1.2E+00,OK
36,09:18:32,old1,caferana,shade,5,6839.5,0,3.37,0.0245,299,0.82,3.26,29.89,6,1.42,1,2.84,29.74,29.89,29.95,549.89,544.16,8.608,9.826,20.32,23.19,400.1,1000,16,99.08,7.28,0.0211,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,544,4.9E-02,9.1E-03,6.9E-02,30,9.82,5.7E-03,5.8E-02,7.3E-02,30,400,2.3E-02,5.8E-03,-1.8E-01,40,3.5,7.5E-02,2.1E+00,-6.9E-01,OK
37,09:20:31,old1,caferana,shade,5,6958.0,0,5.17,0.0267,399,0.892,3.25,29.88,6,1.42,1,2.84,29.75,29.88,29.95,750.34,741.60,8.621,9.945,20.34,23.46,400.0,1000,15,99.08,6.93,0.0236,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,742,6.3E-02,8.5E-03,-3.0E-01,30,9.94,3.0E-03,3.0E-02,3.9E-02,30,400,1.9E-02,4.9E-03,-9.0E-02,40,4.99,1.4E-01,2.9E+00,1.3E+00,OK
38,09:22:45,old1,caferana,shade,5,7092.5,0,6.65,0.0276,559,0.918,3.25,29.90,6,1.42,1,2.84,29.76,29.90,29.95,1001.04,989.70,8.640,10.003,20.37,23.59,400.0,1000,17,99.08,5.81,0.0234,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,990,4.7E-02,4.7E-03,3.5E-01,30,10,1.9E-03,1.9E-02,1.6E-03,30,400,1.8E-02,4.6E-03,-1.4E-01,40,6.29,4.2E-01,6.6E+00,3.6E+00,OK
39,09:24:44,old1,caferana,shade,5,7211.0,0,7.49,0.0257,717,0.861,3.25,29.91,6,1.42,1,2.84,29.77,29.91,29.94,1251.20,1238.37,8.654,9.932,20.40,23.41,400.0,1000,16,99.08,3.79,0.0236,0.8,-0.22,2.74,1.00,0.00,0.16,111125,30,1.24e+03,7.2E-02,5.8E-03,1.8E-01,30,9.94,5.7E-03,5.7E-02,-7.2E-02,30,400,1.5E-02,3.7E-03,-4.1E-02,40,6.96,6.5E-01,9.4E+00,5.6E+00,OK
40,09:27:03,old1,caferana,shade,5,7350.0,0,7.87,0.0222,853,0.75,3.28,29.95,6,1.42,1,2.84,29.77,29.95,29.95,1499.63,1486.15,8.677,9.790,20.45,23.07,400.1,1000,19,99.08,1.23,0.0299,0.8,-0.22,2.74,1.00,0.00,0.16,111125,30,1.49e+03,6.2E-02,4.2E-03,-1.0E-01,30,9.8,3.8E-03,3.9E-02,-4.1E-02,30,400,1.8E-02,4.5E-03,-1.9E-01,40,7.05,8.2E-01,1.2E+01,7.3E+00,OK
41,09:29:02,old1,caferana,shade,5,7469.0,0,7.92,0.0198,1.02E+03,0.673,3.3,30.02,6,1.42,1,2.84,29.77,30.02,29.94,1749.51,1735.87,8.701,9.701,20.50,22.85,400.0,999,24,99.08,-1.95,0.0362,0.8,-0.22,2.74,1.00,0.00,0.16,111125,30,1.74e+03,7.5E-02,4.3E-03,1.2E-01,30,9.71,4.4E-03,4.5E-02,-2.3E-02,30,400,2.1E-02,5.1E-03,-2.3E-01,40,6.85,1.1E+00,1.6E+01,9.4E+00,OK
42,09:31:05,old1,caferana,shade,5,7592.0,0,7.68,0.0181,1.22E+03,0.621,3.33,30.10,6,1.42,1,2.84,29.80,30.10,29.95,2000.93,1987.56,8.727,9.650,20.53,22.71,400.1,1000,26,99.08,-5.72,0.0354,0.8,-0.22,2.74,1.00,0.00,0.16,111125,30,1.99e+03,9.8E-02,4.9E-03,3.5E-01,30,9.65,1.4E-03,1.5E-02,-5.8E-03,30,400,2.4E-02,6.0E-03,-1.1E-01,40,6.36,1.3E+00,2.0E+01,1.1E+01,OK
43,09:33:15,old1,caferana,shade,5,7722.0,0,6.92,0.0171,1.48E+03,0.589,3.34,30.14,6,1.42,1,2.84,29.82,30.14,29.94,2250.17,2237.81,8.766,9.641,20.60,22.65,400.0,1001,26,99.08,-9.71,0.0382,0.8,-0.22,2.74,1.00,0.00,0.16,111125,30,2.24e+03,1.6E-01,7.0E-03,7.9E-01,30,9.64,1.2E-03,1.2E-02,7.4E-03,30,400,3.1E-02,7.7E-03,-3.4E-01,40,5.67,1.3E+00,2.2E+01,1.1E+01,OK
