Obs,HHMMSS,leaf_age,tree_number,sun_or_shade,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,N_CO2S_,MN_CO2S_,SD_CO2S_,CV_CO2S_,SLP_CO2S_,N_H2OS_,MN_H2OS_,SD_H2OS_,CV_H2OS_,SLP_H2OS_,N_Flow_,MN_Flow_,SD_Flow_,CV_Flow_,SLP_Flow_,N_CO2R_,MN_CO2R_,SD_CO2R_,CV_CO2R_,SLP_CO2R_,column_for_Exclude_pts
48,14:28:35,young,9,shade,7,13109.5,0,-0.798,0.0295,91.6,0.739,2.42,31.51,6,1.42,1,2.84,29.99,31.51,29.94,49.63,50.77,21.451,22.534,49.8,52.32,400,1499,10,98.85,3.99,-0.215,0.8,-0.22,2.74,1,0,0.16,111115,30,50.8,8.70E-02,1.70E-01,-8.80E-01,30,22.5,4.30E-03,1.90E-02,4.10E-02,30,400,2.00E-02,5.00E-03,-2.20E-01,40,-0.942,1.60E-01,1.70E+01,1.30E+00,OK
49,14:30:44,young,9,shade,7,13238.5,0,-0.388,0.0327,115,0.808,2.39,31.45,6,1.42,1,2.84,29.98,31.45,29.94,99.54,100.01,21.512,22.696,49.97,52.72,400,1500,8,98.85,4.56,-0.214,0.8,-0.22,2.74,1,0,0.16,111115,30,100,5.20E-02,5.20E-02,-4.60E-01,30,22.7,4.60E-03,2.00E-02,5.90E-02,30,400,1.30E-02,3.30E-03,1.60E-02,40,-0.184,1.80E-01,9.60E+01,-1.60E+00,OK
50,14:32:53,young,9,shade,7,13367.5,0,0.206,0.0363,135,0.886,2.36,31.42,6,1.42,1,2.84,29.97,31.42,29.95,150.32,149.81,21.573,22.872,50.14,53.16,400,1500,4,98.84,4.87,-0.221,0.8,-0.22,2.74,1,0,0.16,111115,30,150,3.90E-02,2.60E-02,-2.30E-01,30,22.9,4.40E-03,1.90E-02,5.50E-02,30,400,3.90E-02,9.80E-03,-4.50E-01,40,0.399,1.50E-01,3.90E+01,-1.40E+00,OK
51,14:35:02,young,9,shade,7,13496.5,0,1.34,0.0395,185,0.955,2.34,31.39,6,1.42,1,2.84,29.97,31.39,29.95,250.67,248.31,21.617,23.017,50.22,53.48,400,1499,4,98.84,5.39,-0.222,0.8,-0.22,2.74,1,0,0.16,111115,30,248,2.50E-02,1.00E-02,-9.00E-02,30,23,2.70E-03,1.20E-02,1.80E-02,30,400,1.70E-02,4.20E-03,-2.00E-01,40,1.53,1.90E-01,1.20E+01,-1.70E+00,OK
52,14:37:11,young,9,shade,7,13625.5,0,2.35,0.0403,241,0.97,2.33,31.37,6,1.42,1,2.84,29.97,31.37,29.94,350.77,346.75,21.64,23.061,50.3,53.61,400.1,1500,5,98.84,5.73,-0.213,0.8,-0.22,2.74,1,0,0.16,111115,30,347,2.40E-02,6.80E-03,-6.40E-02,30,23.1,5.70E-03,2.50E-02,-4.70E-02,30,400,1.60E-02,3.90E-03,-1.10E-01,40,2.53,1.10E-01,4.40E+00,-1.00E+00,OK
53,14:39:20,young,9,shade,7,13754.5,0,4.22,0.0379,345,0.916,2.33,31.36,6,1.42,1,2.84,29.96,31.36,29.95,549.75,542.67,21.647,22.989,50.32,53.44,400,1500,8,98.83,5.65,-0.219,1,-0.22,2.74,1,0,0.16,111115,30,543,3.00E-02,5.50E-03,-2.70E-02,30,23,6.80E-03,3.00E-02,-8.50E-02,30,400,1.70E-02,4.40E-03,-1.90E-01,40,4.19,5.40E-02,1.30E+00,4.50E-01,OK
54,14:41:29,young,9,shade,7,13883.5,0,5.59,0.0344,455,0.833,2.34,31.35,6,1.42,1,2.84,29.94,31.35,29.95,750.79,741.48,21.652,22.873,50.39,53.23,400,1500,7,98.83,4.99,-0.209,0.5,-0.22,2.74,1,0,0.16,111115,30,741,1.00E-01,1.40E-02,1.20E+00,30,22.9,5.30E-03,2.30E-02,-6.80E-02,30,400,2.80E-02,7.10E-03,-1.70E-01,40,5.38,1.80E-01,3.30E+00,1.60E+00,OK
55,14:43:44,young,9,shade,7,14018.5,0,6.98,0.0312,595,0.762,2.36,31.37,6,1.42,1,2.84,29.94,31.37,29.95,999.93,988.34,21.639,22.756,50.36,52.96,400.1,1500,5,98.83,3.26,-0.208,0.5,-0.22,2.74,1,0,0.16,111115,30,988,1.00E-01,1.00E-02,1.00E+00,30,22.8,6.40E-03,2.80E-02,-7.70E-02,30,400,2.30E-02,5.70E-03,-1.70E-01,40,6.47,5.60E-01,8.70E+00,4.90E+00,OK
56,14:45:53,young,9,shade,7,14147.5,0,7.87,0.0291,760,0.714,2.37,31.37,6,1.42,1,2.84,29.94,31.37,29.95,1249.79,1236.65,21.617,22.664,50.31,52.74,400,1500,6,98.83,1.24,-0.204,0.5,-0.22,2.74,1,0,0.16,111115,30,1.24E+03,1.40E-01,1.10E-02,1.60E+00,30,22.7,7.30E-03,3.20E-02,-9.30E-02,30,400,2.20E-02,5.50E-03,-2.00E-01,40,7.2,6.10E-01,8.50E+00,5.40E+00,OK
57,14:48:10,young,9,shade,7,14284.5,0,8.34,0.0295,985,0.662,2.17,30.56,6,1.42,1,2.84,29.94,30.56,29.95,1499.86,1485.88,21.618,22.588,50.32,52.58,400.1,1501,8,98.82,-1.71,-0.199,0.8,-0.22,2.74,1,0,0.16,111115,30,1.49E+03,8.30E-02,5.60E-03,9.70E-01,30,22.6,3.80E-03,1.70E-02,-4.30E-02,30,400,1.60E-02,3.90E-03,-1.60E-01,40,7.35,1.00E+00,1.40E+01,9.10E+00,OK
