Obs,HHMMSS,leaf_age,tree_number,sun_or_shade,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,N_CO2S_,MN_CO2S_,SD_CO2S_,CV_CO2S_,SLP_CO2S_,N_H2OS_,MN_H2OS_,SD_H2OS_,CV_H2OS_,SLP_H2OS_,N_Flow_,MN_Flow_,SD_Flow_,CV_Flow_,SLP_Flow_,N_Photo_,MN_Photo_,SD_Photo_,CV_Photo_,SLP_Photo_,column_for_Exclude_pts
47,13:56:08,old,_epi,9,shade,7,11071,0,4.75,0.0793,280,1.95,2.41,31.25,6,1.42,1,2.84,30.08,31.25,29.94,399.47,391.2,18.99,21.849,43.9,50.52,400,1499,76,98.98,6.08,-0.196,0.5,-0.22,2.74,1,0,0.16,111115,30,387,8.30E+00,2.10E+00,7.20E+01,30,21.9,4.10E-02,1.90E-01,-4.10E-01,30,400,1.80E-02,4.40E-03,-1.30E-02,40,16.4,3.90E+00,2.40E+01,-1.70E+01,OK
48,13:58:26,old,_epi,9,shade,7,11227,0,0.079,0.0749,94.1,1.77,2.33,30.81,6,1.42,1,2.84,30.09,30.81,29.95,100.01,99.62,19.002,21.605,43.92,49.93,400,1499,152,98.97,4.81,-0.195,0.8,-0.22,2.74,1,0,0.16,111115,30,99.7,8.00E-02,8.10E-02,-9.50E-01,30,21.6,7.40E-03,3.40E-02,-6.90E-02,30,400,1.30E-02,3.40E-03,-9.30E-02,40,-0.414,4.40E-01,1.10E+02,3.80E+00,OK
49,14:00:35,old,_epi,9,shade,7,11355.5,0,-0.755,0.0698,66,1.75,2.46,31.33,6,1.42,1,2.84,30.09,31.33,29.95,49.71,50.71,19.012,21.584,43.94,49.89,400.1,1499,88,98.98,4.27,-0.195,0.8,-0.22,2.74,1,0,0.16,111115,30,50.7,3.00E-02,6.00E-02,7.70E-02,30,21.6,2.70E-03,1.20E-02,2.50E-02,30,400,1.50E-02,3.70E-03,-3.30E-02,40,-0.92,1.60E-01,1.70E+01,1.40E+00,OK
50,14:02:44,old,_epi,9,shade,7,11484.5,0,0.121,0.0702,92.4,1.77,2.47,31.39,6,1.42,1,2.84,30.11,31.39,29.95,99.64,99.2,19.062,21.66,44,50,400.1,1500,81,98.97,4.73,-0.196,0.8,-0.22,2.74,1,0,0.16,111115,30,99.2,2.40E-02,2.40E-02,6.10E-02,30,21.7,4.70E-03,2.20E-02,4.90E-02,30,400,3.30E-02,8.30E-03,-2.60E-01,40,0.312,1.70E-01,5.30E+01,-1.50E+00,OK
51,14:04:53,old,_epi,9,shade,7,11613.5,0,0.957,0.0717,121,1.8,2.46,31.41,6,1.42,1,2.84,30.12,31.41,29.94,150.33,148.49,19.105,21.751,44.08,50.19,400,1500,78,98.96,5.17,-0.195,0.8,-0.22,2.74,1,0,0.16,111115,30,148,3.20E-02,2.10E-02,2.90E-01,30,21.7,2.90E-03,1.30E-02,2.10E-02,30,400,3.10E-02,7.70E-03,-2.80E-01,40,1.12,1.60E-01,1.40E+01,-1.30E+00,OK
52,14:07:02,old,_epi,9,shade,7,11742.5,0,2.53,0.0724,180,1.82,2.46,31.41,6,1.42,1,2.84,30.12,31.41,29.95,250.49,246.02,19.137,21.804,44.16,50.31,400.1,1501,76,98.96,5.71,-0.205,0.8,-0.22,2.74,1,0,0.16,111115,30,246,3.80E-02,1.60E-02,4.30E-01,30,21.8,2.70E-03,1.20E-02,2.90E-02,30,400,1.40E-02,3.40E-03,-8.00E-02,40,2.77,1.90E-01,6.80E+00,-1.70E+00,OK
53,14:09:11,old,_epi,9,shade,7,11871.5,0,4.05,0.0738,242,1.85,2.45,31.42,6,1.42,1,2.84,30.13,31.42,29.95,350.53,343.5,19.166,21.878,44.19,50.44,400.1,1500,75,98.95,6.05,-0.201,0.8,-0.22,2.74,1,0,0.16,111115,30,343,5.50E-02,1.60E-02,6.50E-01,30,21.9,1.70E-03,7.70E-03,1.30E-02,30,400,2.40E-02,5.90E-03,-2.80E-02,40,4.19,9.40E-02,2.20E+00,-8.60E-01,OK
54,14:11:20,old,_epi,9,shade,7,12000.5,0,6.64,0.0739,373,1.86,2.47,31.47,6,1.42,1,2.84,30.14,31.47,29.94,550.38,538.92,19.179,21.906,44.19,50.48,400.1,1500,76,98.95,6.06,-0.198,1,-0.22,2.74,1,0,0.16,111115,30,539,4.80E-02,8.90E-03,-1.50E-01,30,21.9,5.00E-03,2.30E-02,-2.40E-02,30,400,1.20E-02,3.00E-03,-7.30E-02,40,6.59,5.30E-02,8.00E-01,4.00E-01,OK
55,14:13:29,old,_epi,9,shade,7,12129.5,0,8.11,0.0726,527,1.82,2.46,31.41,6,1.42,1,2.84,30.12,31.41,29.95,750,735.82,19.16,21.829,44.18,50.34,400.1,1500,77,98.94,5.56,-0.194,0.8,-0.22,2.74,1,0,0.16,111115,30,736,5.20E-02,7.10E-03,7.50E-02,30,21.8,5.20E-03,2.40E-02,-5.90E-02,30,400,2.00E-02,5.00E-03,-9.20E-02,40,7.94,1.90E-01,2.40E+00,1.70E+00,OK
56,14:15:47,old,_epi,9,shade,7,12267.5,0,9.4,0.0675,722,1.71,2.47,31.4,6,1.42,1,2.84,30.12,31.4,29.95,1000.95,984.33,19.134,21.64,44.12,49.9,400.1,1500,77,98.94,4.2,-0.194,0.8,-0.22,2.74,1,0,0.16,111115,30,984,6.10E-02,6.20E-03,5.20E-01,30,21.7,9.00E-03,4.20E-02,-1.10E-01,30,400,1.70E-02,4.30E-03,-9.40E-02,40,8.84,5.00E-01,5.60E+00,4.40E+00,OK
