Obs,HHMMSS,leaf_age,tree_number,sun_or_shade,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,N_CO2S_,MN_CO2S_,SD_CO2S_,CV_CO2S_,SLP_CO2S_,N_H2OS_,MN_H2OS_,SD_H2OS_,CV_H2OS_,SLP_H2OS_,N_Flow_,MN_Flow_,SD_Flow_,CV_Flow_,SLP_Flow_,N_Photo_,MN_Photo_,SD_Photo_,CV_Photo_,SLP_Photo_,column_for_Exclude_pts
48,13:21:30,young,9,sun,9,8220.0,0,-1.04,0.0459,84.6,1.18,2.49,32.15,6,1.42,1,2.84,30.43,32.15,29.94,49.25,50.72,21.765,23.493,49.31,53.23,400.0,1501,35,98.95,4.38,-0.224,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,50.8,4.8E-02,9.4E-02,-5.2E-01,30,23.5,4.4E-03,1.9E-02,-5.1E-02,30,400,2.4E-02,6.0E-03,-2.4E-01,40,-1.35,2.8E-01,2.1E+01,2.4E+00,OK
49,13:23:39,young,9,sun,9,8348.5,0,-0.815,0.0453,125,1.16,2.49,32.14,6,1.42,1,2.84,30.42,32.14,29.94,99.40,100.45,21.794,23.497,49.40,53.26,400.0,1501,37,98.95,5.07,-0.222,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,100,3.3E-02,3.3E-02,4.7E-02,30,23.5,2.6E-03,1.1E-02,-1.7E-02,30,400,2.1E-02,5.2E-03,-1.9E-01,40,-0.608,2.5E-01,4.1E+01,-2.1E+00,OK
50,13:25:48,young,9,sun,9,8477.5,0,-0.53,0.0449,164,1.15,2.48,32.13,6,1.42,1,2.84,30.42,32.13,29.94,150.48,151.01,21.830,23.516,49.49,53.31,400.1,1501,32,98.94,5.52,-0.225,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,151,3.5E-02,2.3E-02,1.3E-01,30,23.5,2.5E-03,1.1E-02,2.6E-02,30,400,1.3E-02,3.2E-03,4.7E-02,40,-0.338,1.6E-01,4.7E+01,-1.4E+00,OK
51,13:27:57,young,9,sun,9,8606.5,0,0.169,0.0447,234,1.14,2.47,32.07,6,1.42,1,2.84,30.42,32.07,29.94,250.43,249.75,21.873,23.540,49.58,53.35,400.1,1500,32,98.94,6.05,-0.226,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,250,2.8E-02,1.1E-02,9.2E-02,30,23.5,1.9E-03,8.1E-03,-9.9E-03,30,400,1.4E-02,3.5E-03,5.6E-02,40,0.325,1.8E-01,5.6E+01,-1.6E+00,OK
52,13:30:06,young,9,sun,9,8736.0,0,0.736,0.0441,308,1.13,2.48,32.15,6,1.42,1,2.84,30.45,32.15,29.94,350.78,349.08,21.944,23.601,49.65,53.40,400.0,1499,35,98.93,6.33,-0.229,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,349,3.4E-02,9.8E-03,-1.4E-01,30,23.6,2.5E-03,1.1E-02,1.0E-02,30,400,3.2E-02,8.0E-03,-3.1E-01,40,0.838,8.3E-02,9.9E+00,-7.4E-01,OK
53,13:32:15,young,9,sun,9,8864.5,0,1.75,0.0437,461,1.13,2.5,32.25,6,1.42,1,2.84,30.46,32.25,29.94,550.17,546.62,22.010,23.664,49.78,53.52,400.0,1500,34,98.92,6.55,-0.221,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,547,2.4E-02,4.3E-03,1.4E-01,30,23.7,3.7E-03,1.6E-02,1.0E-02,30,400,1.7E-02,4.4E-03,-1.6E-01,40,1.83,3.8E-02,2.1E+00,-1.4E-01,OK
54,13:34:24,young,9,sun,9,8993.5,0,2.59,0.0437,621,1.13,2.5,32.23,6,1.42,1,2.84,30.46,32.23,29.94,750.17,745.03,22.026,23.676,49.81,53.54,400.0,1499,37,98.92,6.19,-0.22,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,745,5.2E-02,7.0E-03,3.0E-01,30,23.7,3.3E-03,1.4E-02,-1.2E-02,30,400,1.3E-02,3.2E-03,-1.1E-01,40,2.56,1.1E-01,4.4E+00,8.9E-01,OK
55,13:36:42,young,9,sun,9,9131.5,0,3.88,0.0433,810,1.11,2.48,32.13,6,1.42,1,2.84,30.42,32.13,29.94,1000.37,992.90,21.992,23.613,49.84,53.51,400.0,1500,18,98.92,4.65,-0.221,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,993,7.7E-02,7.7E-03,8.6E-01,30,23.6,6.2E-03,2.6E-02,-3.9E-02,30,400,1.5E-02,3.7E-03,-4.8E-02,40,3.33,5.0E-01,1.5E+01,4.4E+00,OK
56,13:38:51,young,9,sun,9,9260.5,0,5.05,0.0431,1E+03,1.09,2.46,32.05,6,1.42,1,2.84,30.39,32.05,29.94,1248.57,1238.96,21.952,23.554,49.84,53.47,400.0,1501,26,98.92,2.34,-0.215,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,1.24e+03,5.0E-02,4.0E-03,-2.5E-01,30,23.6,5.9E-03,2.5E-02,-7.5E-02,30,400,2.2E-02,5.5E-03,-2.4E-01,40,4.16,8.4E-01,2.0E+01,7.3E+00,OK
57,13:41:08,young,9,sun,9,9398.0,0,6.09,0.0441,1.21E+03,1.08,2.37,31.69,6,1.42,1,2.84,30.41,31.69,29.94,1500.83,1489.29,21.937,23.513,49.75,53.33,400.0,1501,39,98.91,-0.443,-0.219,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,1.49e+03,9.1E-02,6.1E-03,6.3E-01,30,23.5,1.1E-02,4.6E-02,-1.4E-01,30,400,8.0E-03,2.0E-03,-5.9E-02,40,5.07,9.0E-01,1.8E+01,8.1E+00,OK
