x_Obs_,x_HHMMSS_,x_treeNo__,x_sunOrShade_,x_leafAge_,x_leafNo__,x_FTime_,x_EBal__,x_Photo_,x_Cond_,x_Ci_,x_Trmmol_,x_VpdL_,x_CTleaf_,x_Area_,x_BLC_1_,x_StmRat_,x_BLCond_,x_Tair_,x_Tleaf_,x_TBlk_,x_CO2R_,x_CO2S_,x_H2OR_,x_H2OS_,x_RH_R_,x_RH_S_,x_Flow_,x_PARi_,x_PARo_,x_Press_,x_CsMch_,x_HsMch_,x_StableF_,x_BLCslope_,x_BLCoffst_,x_f_parin_,x_f_parout_,x_alphaK_,x_Status_,column_for_Exclude_pts
68,"10:07:11","500","sun","old","5",11611.5,0,10.3,0.143,254,2.4,1.69,30.44,6,1.42,1,2.84,29.80,30.44,29.55,400.27,383.39,23.505,27.015,55.32,63.59,400.0,2001,4,99.11,5.11,0.18,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
69,"10:08:50","500","sun","old","5",11717.5,0,10.1,0.135,251,2.23,1.66,30.21,6,1.42,1,2.84,29.79,30.21,29.55,400.15,383.77,23.500,26.758,55.34,63.01,400.1,2001,4,99.11,5.16,0.169,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
70,"10:10:33","500","sun","old","5",11820.5,0,0.562,0.122,88,2.12,1.74,30.47,6,1.42,1,2.84,29.78,30.47,29.55,99.51,98.36,23.510,26.609,55.37,62.67,400.0,1999,4,99.11,6.29,0.178,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
71,"10:12:06","500","sun","old","5",11913.5,0,-0.795,0.115,63,2.03,1.75,30.49,6,1.42,1,2.84,29.78,30.49,29.55,52.26,53.29,23.531,26.500,55.44,62.43,400.0,1999,4,99.1,6.3,0.19,1.0,-0.22,2.74,1.00,0.00,0.16,111135,OK
72,"10:13:36","500","sun","old","5",12003.5,0,0.654,0.112,85,1.98,1.76,30.49,6,1.42,1,2.84,29.79,30.49,29.55,98.61,97.34,23.550,26.439,55.46,62.26,400.0,1999,4,99.1,6.27,0.182,1.0,-0.22,2.74,1.00,0.00,0.16,111135,OK
73,"10:15:19","500","sun","old","5",12106.0,0,2.02,0.108,113,1.92,1.77,30.48,6,1.42,1,2.84,29.78,30.48,29.55,151.00,147.54,23.559,26.369,55.50,62.12,400.0,1999,4,99.1,6.24,0.176,1.0,-0.22,2.74,1.00,0.00,0.16,111135,OK
74,"10:17:03","500","sun","old","5",12210.5,0,4.84,0.107,163,1.91,1.77,30.48,6,1.42,1,2.84,29.78,30.48,29.55,251.91,243.95,23.582,26.366,55.54,62.10,400.0,2001,4,99.09,5.95,0.183,0.8,-0.22,2.74,1.00,0.00,0.16,111135,OK
75,"10:18:45","500","sun","old","5",12312.5,0,7.46,0.106,214,1.9,1.77,30.51,6,1.42,1,2.84,29.79,30.51,29.54,350.20,338.05,23.629,26.399,55.62,62.14,400.1,2000,4,99.09,5.43,0.185,0.5,-0.22,2.74,1.00,0.00,0.16,111135,OK
76,"10:20:37","500","sun","old","5",12424.5,0,12.6,0.106,322,1.88,1.75,30.44,6,1.42,1,2.84,29.79,30.44,29.55,550.60,530.15,23.664,26.410,55.71,62.18,400.0,2000,4,99.08,3.89,0.187,0.8,-0.22,2.74,1.00,0.00,0.16,111135,OK
77,"10:22:12","500","sun","old","5",12519.5,0,15.9,0.11,470,1.87,1.68,30.16,6,1.42,1,2.84,29.81,30.16,29.54,750.86,725.02,23.661,26.389,55.62,62.03,400.0,2000,2,99.08,3.89,0.187,1.0,-0.22,2.74,1.00,0.00,0.16,111135,OK
