x_Obs_,x_HHMMSS_,x_treeNo__,x_sunOrShade_,x_leafAge_,x_leafNo__,x_FTime_,x_EBal__,x_Photo_,x_Cond_,x_Ci_,x_Trmmol_,x_VpdL_,x_CTleaf_,x_Area_,x_BLC_1_,x_StmRat_,x_BLCond_,x_Tair_,x_Tleaf_,x_TBlk_,x_CO2R_,x_CO2S_,x_H2OR_,x_H2OS_,x_RH_R_,x_RH_S_,x_Flow_,x_PARi_,x_PARo_,x_Press_,x_CsMch_,x_HsMch_,x_StableF_,x_BLCslope_,x_BLCoffst_,x_f_parin_,x_f_parout_,x_alphaK_,x_Status_,column_for_Exclude_pts
48,"13:21:45","9","sun","mature","8",10694.5,0,-1.14,0.0293,108,1.61,5.22,40.48,6,1.42,1,2.84,43.29,40.48,44.95,51.18,52.76,21.769,24.119,24.45,27.09,400.1,1501,41,99.09,1.33,0.0142,1.0,-0.22,2.74,1.00,0.00,0.16,111135,OK
49,"13:23:58","9","sun","mature","8",10827.0,0,-0.272,0.0307,106,1.68,5.21,40.50,6,1.42,1,2.84,43.33,40.50,44.95,100.85,101.01,21.789,24.248,24.43,27.19,400.1,1500,40,99.09,0.815,0.0106,0.8,-0.22,2.74,1.00,0.00,0.16,111125,OK
50,"13:26:13","9","sun","mature","8",10962.5,0,0.639,0.0326,108,1.79,5.22,40.57,6,1.42,1,2.84,43.36,40.57,44.95,152.13,150.77,21.836,24.451,24.43,27.36,400.1,1499,40,99.08,0.174,0.0109,0.5,-0.22,2.74,1.00,0.00,0.16,111125,OK
51,"13:28:23","9","sun","mature","8",11092.5,0,1.58,0.0338,155,1.86,5.24,40.66,6,1.42,1,2.84,43.40,40.66,44.95,251.43,248.37,21.897,24.618,24.46,27.50,400.1,1500,46,99.07,-1.35,0.0164,0.8,-0.22,2.74,1.00,0.00,0.16,111125,OK
52,"13:30:44","9","sun","mature","8",11233.5,0,2.65,0.0327,191,1.8,5.24,40.67,6,1.42,1,2.84,43.41,40.67,44.95,350.61,345.70,21.959,24.596,24.52,27.46,400.1,1501,77,99.07,-3.09,0.0309,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
53,"13:32:54","9","sun","mature","8",11363.0,0,4.64,0.0303,259,1.67,5.24,40.60,6,1.42,1,2.84,43.37,40.60,44.95,550.80,542.48,21.948,24.393,24.55,27.28,399.8,1500,33,99.07,-7.14,0.0386,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
54,"13:35:07","9","sun","mature","8",11496.5,0,6.63,0.0275,304,1.52,5.23,40.53,6,1.42,1,2.84,43.35,40.53,44.95,750.85,739.22,21.908,24.129,24.52,27.01,400.1,1500,26,99.07,-11.8,0.0441,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
55,"13:37:34","9","sun","mature","8",11643.5,0,8.26,0.025,392,1.38,5.25,40.51,6,1.42,1,2.84,43.33,40.51,44.95,1000.80,986.37,21.875,23.898,24.51,26.78,400.1,1501,54,99.06,-18.2,0.0548,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
56,"13:40:02","9","sun","mature","8",11791.5,0,9.55,0.023,488,1.28,5.28,40.55,6,1.42,1,2.84,43.35,40.55,44.95,1250.85,1234.16,21.875,23.750,24.49,26.59,400.1,1500,166,99.05,-24.9,0.0621,0.2,-0.22,2.74,1.00,0.00,0.16,111115,OK
57,"13:42:24","9","sun","mature","8",11933.5,0,10.7,0.0215,589,1.21,5.33,40.65,6,1.42,1,2.84,43.38,40.65,44.95,1501.19,1482.46,21.858,23.632,24.43,26.41,400.1,1499,228,99.05,-31.4,0.0729,0.2,-0.22,2.74,1.00,0.00,0.16,111115,OK
58,"13:44:38","9","sun","mature","8",12067.5,0,11.6,0.0206,708,1.17,5.41,40.81,6,1.42,1,2.84,43.43,40.81,44.95,1751.56,1731.04,21.863,23.584,24.37,26.29,400.1,1501,910,99.05,-38.2,0.0253,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
59,"13:47:12","9","sun","mature","8",12221.5,0,12.2,0.0197,850,1.13,5.42,40.83,6,1.42,1,2.84,43.43,40.83,44.95,1999.39,1977.70,21.868,23.523,24.37,26.22,400.1,1500,454,99.03,-45.5,0.0303,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
