Obs,HHMMSS,leaf_age,tree_number,sun_or_shade,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,N_CO2S_,MN_CO2S_,SD_CO2S_,CV_CO2S_,SLP_CO2S_,N_H2OS_,MN_H2OS_,SD_H2OS_,CV_H2OS_,SLP_H2OS_,N_Flow_,MN_Flow_,SD_Flow_,CV_Flow_,SLP_Flow_,N_Photo_,MN_Photo_,SD_Photo_,CV_Photo_,SLP_Photo_,column_for_Exclude_pts
51,15:51:54,old,tower_tachi,more_shade,aci4,9857.0,0,-0.951,0.055,75.2,2.07,3.65,32.76,6,1.42,1,2.84,30.67,32.76,29.94,49.64,50.91,10.481,13.545,23.26,30.06,400.1,1499,17,98.28,5.72,-0.0639,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,50.9,5.3E-02,1.0E-01,-1.7E-01,30,13.5,1.5E-02,1.1E-01,1.8E-01,30,400,1.8E-02,4.5E-03,-1.0E-02,40,-1.06,1.8E-01,1.7E+01,1.4E+00,OK
52,15:53:53,old,tower_tachi,more_shade,aci4,9975.0,0,0.229,0.0608,88.6,2.26,3.61,32.69,6,1.42,1,2.84,30.66,32.69,29.94,101.19,100.51,10.476,13.815,23.26,30.68,400.1,1500,17,98.28,6.12,-0.0707,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,101,4.3E-02,4.3E-02,-3.2E-01,30,13.8,9.5E-03,6.9E-02,1.3E-01,30,400,2.6E-02,6.5E-03,-2.6E-01,40,0.424,1.4E-01,3.4E+01,-1.2E+00,OK
53,15:55:53,old,tower_tachi,more_shade,aci4,10095.5,0,1.43,0.0657,105,2.41,3.56,32.61,6,1.42,1,2.84,30.65,32.61,29.94,150.57,147.90,10.469,14.026,23.26,31.16,400.1,1500,16,98.28,6.58,-0.0758,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,148,4.0E-02,2.7E-02,2.0E-01,30,14,7.4E-03,5.3E-02,9.0E-02,30,400,1.9E-02,4.7E-03,-2.0E-01,40,1.6,1.4E-01,8.7E+00,-1.2E+00,OK
54,15:57:54,old,tower_tachi,more_shade,aci4,10216.0,0,3.58,0.0682,146,2.49,3.56,32.65,6,1.42,1,2.84,30.69,32.65,29.93,250.09,243.81,10.480,14.165,23.24,31.41,400.1,1500,16,98.27,7.54,-0.0745,0.5,-0.22,2.74,1.00,0.00,0.16,111115,30,244,9.4E-02,3.9E-02,-1.0E+00,30,14.2,2.8E-03,2.0E-02,-3.6E-02,30,400,2.7E-02,6.7E-03,-3.3E-01,40,3.95,3.8E-01,9.5E+00,-3.4E+00,OK
55,15:59:54,old,tower_tachi,more_shade,aci4,10336.5,0,5.8,0.0643,178,2.38,3.6,32.73,6,1.42,1,2.84,30.67,32.73,29.94,350.97,341.06,10.489,14.005,23.28,31.09,400.1,1499,16,98.27,7.89,-0.0708,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,341,5.9E-02,1.7E-02,5.7E-01,30,14,8.7E-03,6.2E-02,-1.1E-01,30,400,1.5E-02,3.8E-03,-1.5E-01,40,5.99,1.3E-01,2.2E+00,-1.0E+00,OK
56,16:02:22,old,tower_tachi,more_shade,aci4,10484.5,0,8.75,0.0514,236,1.97,3.7,32.88,6,1.42,1,2.84,30.66,32.88,29.94,551.08,536.38,10.475,13.382,23.26,29.72,400.1,1499,15,98.27,8.4,-0.0542,0.5,-0.22,2.74,1.00,0.00,0.16,111115,30,536,1.5E-01,2.8E-02,1.8E+00,30,13.4,3.0E-02,2.2E-01,-4.0E-01,30,400,1.2E-02,3.0E-03,1.1E-02,40,9.12,3.6E-01,3.9E+00,-3.0E+00,OK
57,16:04:31,old,tower_tachi,more_shade,aci4,10613.0,0,10.9,0.0418,279,1.63,3.77,32.94,6,1.42,1,2.84,30.64,32.94,29.94,750.82,732.74,10.450,12.866,23.23,28.61,400.1,1500,15,98.27,8.02,-0.0375,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,733,1.3E-01,1.7E-02,1.2E+00,30,12.9,1.7E-02,1.3E-01,-2.2E-01,30,400,2.3E-02,5.6E-03,-2.1E-01,40,10.9,9.1E-02,8.4E-01,-5.2E-01,OK
58,16:06:49,old,tower_tachi,more_shade,aci4,10751.0,0,12.7,0.0349,347,1.37,3.8,32.88,6,1.42,1,2.84,30.59,32.88,29.93,999.59,978.54,10.414,12.448,23.22,27.76,400.1,1501,15,98.26,7.01,-0.0297,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,978,5.1E-02,5.2E-03,3.6E-01,30,12.5,1.4E-02,1.1E-01,-1.9E-01,30,400,1.7E-02,4.2E-03,-1.9E-02,40,12.6,2.1E-01,1.7E+00,1.8E+00,OK
59,16:08:56,old,tower_tachi,more_shade,aci4,10878.0,0,14.3,0.0307,418,1.22,3.82,32.88,6,1.42,1,2.84,30.61,32.88,29.94,1250.33,1226.58,10.389,12.192,23.14,27.16,400.1,1501,15,98.26,5.11,-0.0194,0.5,-0.22,2.74,1.00,0.00,0.16,111115,30,1.23e+03,1.5E-01,1.2E-02,1.7E+00,30,12.2,7.7E-03,6.3E-02,-9.8E-02,30,400,1.7E-02,4.3E-03,-1.1E-01,40,13.9,4.6E-01,3.3E+00,4.2E+00,OK
60,16:10:58,old,tower_tachi,more_shade,aci4,11000.0,0,15.7,0.0269,474,1.08,3.85,32.93,6,1.42,1,2.84,30.64,32.93,29.94,1499.84,1473.98,10.400,12.002,23.12,26.68,400.1,1500,14,98.26,2.49,-0.0112,0.5,-0.22,2.74,1.00,0.00,0.16,111115,30,1.47e+03,1.3E-01,9.0E-03,1.6E+00,30,12,6.4E-03,5.3E-02,-8.4E-02,30,400,1.1E-02,2.8E-03,3.8E-02,40,15,6.3E-01,4.2E+00,5.6E+00,OK
61,16:13:28,old,tower_tachi,more_shade,aci4,11150.0,0,15.7,0.0224,526,0.909,3.89,32.97,6,1.42,1,2.84,30.62,32.97,29.94,1750.68,1724.82,10.437,11.784,23.23,26.23,400.1,1501,14,98.26,-0.897,-0.00777,0.5,-0.22,2.74,1.00,0.00,0.16,111115,30,1.72e+03,1.1E-01,6.3E-03,1.1E+00,30,11.8,7.2E-03,6.1E-02,-9.0E-02,30,400,1.8E-02,4.6E-03,-2.2E-01,40,14.9,8.4E-01,5.6E+00,7.4E+00,OK
62,16:15:29,old,tower_tachi,more_shade,aci4,11271.0,0,16.5,0.0205,596,0.831,3.89,32.94,6,1.42,1,2.84,30.59,32.94,29.94,2000.08,1972.92,10.448,11.681,23.30,26.05,400.1,1500,14,98.26,-4.59,-0.00447,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,1.97e+03,1.1E-01,5.4E-03,-2.1E-02,30,11.7,4.6E-03,3.9E-02,-3.8E-02,30,400,2.3E-02,5.6E-03,-2.6E-01,40,15.2,1.2E+00,7.6E+00,1.0E+01,OK
63,16:17:39,old,tower_tachi,more_shade,aci4,11401.0,0,16.7,0.0186,683,0.757,3.89,32.90,6,1.42,1,2.84,30.59,32.90,29.94,2249.42,2221.80,10.445,11.567,23.28,25.78,400.1,1500,11,98.26,-9.2,-0.00304,0.5,-0.22,2.74,1.00,0.00,0.16,111115,30,2.22e+03,2.1E-01,9.3E-03,2.5E+00,30,11.6,4.4E-03,3.8E-02,-5.5E-02,30,400,3.4E-02,8.6E-03,-3.4E-01,40,15.4,1.4E+00,9.3E+00,1.3E+01,OK
