Obs,HHMMSS,leaf_age,tree_number,sun_or_shade,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,N_CO2S_,MN_CO2S_,SD_CO2S_,CV_CO2S_,SLP_CO2S_,N_H2OS_,MN_H2OS_,SD_H2OS_,CV_H2OS_,SLP_H2OS_,N_Flow_,MN_Flow_,SD_Flow_,CV_Flow_,SLP_Flow_,N_Photo_,MN_Photo_,SD_Photo_,CV_Photo_,SLP_Photo_,column_for_Exclude_pts
73,13:09:36,y/m,9,shade,11,13777.5,0,8.86,0.0122,745,0.429,3.36,34.39,6,1.42,1,2.84,30.43,34.39,29.94,1999.88,1985.32,20.623,21.253,46.72,48.14,400.1,2000,9,98.94,-6.7,-0.22,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,1.3E-01,6.4E-03,7.4E-01,30,21.2,3.3E-02,1.5E-01,4.5E-01,30,400,1.6E-02,4.1E-03,-1.7E-01,40,9.05,2.4E-01,2.6E+00,5.9E-01,OK
74,13:11:10,y/m,9,shade,11,13871.5,0,8.91,0.0118,700,0.394,3.19,34.04,6,1.42,1,2.84,30.47,34.04,29.94,1999.51,1984.97,21.264,21.842,48.07,49.37,400.1,1750,9,98.93,-6.7,-0.22,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,7.4E-02,3.7E-03,-1.4E-01,30,21.8,2.9E-02,1.4E-01,4.0E-01,30,400,1.7E-02,4.2E-03,-2.7E-02,40,8.9,9.8E-02,1.1E+00,-5.2E-01,OK
75,13:12:41,y/m,9,shade,11,13962.5,0,9.1,0.0113,622,0.357,3.03,33.64,6,1.42,1,2.84,30.46,33.64,29.94,1999.17,1984.46,21.813,22.336,49.32,50.50,400.1,1500,9,98.93,-6.7,-0.22,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.98e+03,7.2E-02,3.6E-03,-4.0E-01,30,22.3,2.1E-02,9.5E-02,2.9E-01,30,400,8.1E-03,2.0E-03,-6.4E-02,40,8.88,1.1E-01,1.2E+00,-7.5E-02,OK
76,13:14:12,y/m,9,shade,11,14053.5,0,8.55,0.0109,658,0.321,2.83,33.11,6,1.42,1,2.84,30.46,33.11,29.94,1998.76,1984.98,22.305,22.776,50.44,51.50,400.1,1250,8,98.92,-6.7,-0.22,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.98e+03,5.8E-02,2.9E-03,5.6E-01,30,22.7,2.2E-02,9.7E-02,3.0E-01,30,400,1.5E-02,3.8E-03,1.4E-01,40,8.61,5.3E-02,6.1E-01,-1.4E-01,OK
77,13:15:52,y/m,9,shade,11,14153.5,0,8.72,0.0104,587,0.287,2.64,32.57,6,1.42,1,2.84,30.44,32.57,29.94,2000.29,1986.36,22.789,23.210,51.60,52.56,400.1,1000,6,98.92,-6.7,-0.22,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,2.3E-01,1.1E-02,-3.8E-01,30,23.2,1.7E-02,7.5E-02,2.4E-01,30,400,1.3E-02,3.3E-03,-6.2E-02,40,8.74,2.2E-01,2.5E+00,-6.6E-01,OK
78,13:17:23,y/m,9,shade,11,14244.5,0,8.02,0.0103,677,0.265,2.48,32.11,6,1.42,1,2.84,30.41,32.11,29.94,1999.72,1986.90,23.173,23.561,52.56,53.44,400.1,800,5,98.92,-6.7,-0.22,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,6.7E-02,3.4E-03,-1.3E-01,30,23.5,1.8E-02,7.6E-02,2.4E-01,30,400,1.3E-02,3.3E-03,1.4E-01,40,8.07,3.6E-02,4.4E-01,-2.5E-01,OK
79,13:18:54,y/m,9,shade,11,14336.0,0,7.6,0.00991,705,0.235,2.27,31.47,6,1.42,1,2.84,30.35,31.47,29.94,1999.59,1987.49,23.518,23.862,53.52,54.30,400.1,501,6,98.92,-6.7,-0.22,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,8.1E-02,4.1E-03,-7.8E-01,30,23.8,1.6E-02,6.6E-02,2.1E-01,30,400,1.4E-02,3.6E-03,1.7E-01,40,7.52,4.1E-02,5.4E-01,2.1E-01,OK
80,13:20:26,y/m,9,shade,11,14428.0,0,6.79,0.00977,823,0.216,2.12,30.97,6,1.42,1,2.84,30.31,30.97,29.95,1999.34,1988.52,23.823,24.139,54.32,55.04,400.1,301,6,98.91,-6.7,-0.22,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,1.0E-01,5.1E-03,-9.4E-01,30,24.1,1.3E-02,5.5E-02,1.8E-01,30,400,1.5E-02,3.7E-03,-1.0E-01,40,6.7,5.8E-02,8.7E-01,-9.6E-02,OK
81,13:22:23,y/m,9,shade,11,14544.0,0,5.39,0.00993,1.07E+03,0.207,2,30.64,6,1.42,1,2.84,30.27,30.64,29.94,1999.03,1990.32,24.170,24.473,55.25,55.95,400.1,200,9,98.91,-6.13,-0.203,0.5,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,1.1E-01,5.7E-03,1.2E+00,30,24.5,1.2E-02,4.9E-02,1.6E-01,30,400,1.4E-02,3.5E-03,-6.7E-03,40,5.75,3.2E-01,5.5E+00,-3.0E+00,OK
82,13:24:20,y/m,9,shade,11,14661.0,0,4.07,0.00897,1.21E+03,0.179,1.91,30.40,6,1.42,1,2.84,30.28,30.40,29.95,1999.21,1992.58,24.517,24.778,56.02,56.61,400.1,99,9,98.9,-6.32,-0.214,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,1.4E-01,7.1E-03,-3.0E-01,30,24.8,1.2E-02,4.9E-02,1.6E-01,30,400,1.7E-02,4.1E-03,-1.4E-01,40,4.02,5.0E-02,1.2E+00,3.7E-01,OK
