Obs,HHMMSS,leaf_age,tree_number,sun_or_shade,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,N_CO2S_,MN_CO2S_,SD_CO2S_,CV_CO2S_,SLP_CO2S_,N_H2OS_,MN_H2OS_,SD_H2OS_,CV_H2OS_,SLP_H2OS_,N_Flow_,MN_Flow_,SD_Flow_,CV_Flow_,SLP_Flow_,N_Photo_,MN_Photo_,SD_Photo_,CV_Photo_,SLP_Photo_,column_for_Exclude_pts
17,13:13:16,mature,tower_macarunduba,more_shade,2,3621.0,0,8.62,0.0122,794,0.307,2.41,31.33,6,1.42,1,2.84,29.93,31.33,29.95,2001.00,1987.16,21.769,22.218,50.57,51.61,400.0,2000,7,98.55,-5.06,-0.129,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,1.2E-01,6.0E-03,9.1E-01,30,22.2,4.2E-03,1.9E-02,-5.6E-02,30,400,2.1E-02,5.3E-03,4.4E-02,40,8.47,7.8E-02,9.3E-01,2.1E-01,OK
18,13:15:04,mature,tower_macarunduba,more_shade,2,3729.0,0,9.9,0.0119,601,0.29,2.33,30.99,6,1.42,1,2.84,29.88,30.99,29.95,2001.48,1985.77,21.701,22.126,50.54,51.53,400.0,1750,7,98.55,-5.06,-0.129,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,1.4E-01,6.8E-03,-4.4E-01,30,22.1,2.7E-03,1.2E-02,-2.4E-02,30,400,1.0E-02,2.6E-03,-4.1E-02,40,9.82,1.1E-01,1.1E+00,3.3E-01,OK
19,13:16:35,mature,tower_macarunduba,more_shade,2,3820.0,0,10.9,0.0122,500,0.286,2.23,30.59,6,1.42,1,2.84,29.80,30.59,29.95,2000.04,1982.78,21.658,22.076,50.66,51.64,400.0,1500,7,98.53,-5.06,-0.129,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.98e+03,1.1E-01,5.3E-03,4.6E-01,30,22.1,1.7E-03,7.5E-03,-8.4E-03,30,400,1.3E-02,3.4E-03,3.9E-02,40,10.9,8.6E-02,7.9E-01,1.5E-01,OK
20,13:18:12,mature,tower_macarunduba,more_shade,2,3917.5,0,11.6,0.0127,482,0.284,2.13,30.18,6,1.42,1,2.84,29.76,30.18,29.94,2000.36,1982.18,21.629,22.046,50.71,51.68,400.1,1250,7,98.5,-5.06,-0.129,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.98e+03,9.1E-02,4.6E-03,-6.7E-01,30,22,2.2E-03,1.0E-02,9.0E-03,30,400,2.1E-02,5.3E-03,1.4E-01,40,11.6,9.4E-02,8.1E-01,6.7E-01,OK
21,13:19:43,mature,tower_macarunduba,more_shade,2,4008.5,0,12,0.0129,438,0.277,2.06,29.88,6,1.42,1,2.84,29.72,29.88,29.94,2000.83,1981.98,21.641,22.047,50.82,51.78,400.0,1000,8,98.49,-5.06,-0.129,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.98e+03,1.2E-01,5.9E-03,5.5E-01,30,22,2.3E-03,1.0E-02,2.4E-02,30,400,1.1E-02,2.8E-03,-4.4E-02,40,12,8.1E-02,6.8E-01,-2.1E-01,OK
22,13:21:14,mature,tower_macarunduba,more_shade,2,4099.5,0,11.8,0.0126,441,0.262,1.99,29.58,6,1.42,1,2.84,29.69,29.58,29.94,2000.52,1982.06,21.664,22.048,50.99,51.90,400.0,801,8,98.48,-5.06,-0.129,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.98e+03,7.4E-02,3.7E-03,5.1E-01,30,22,2.1E-03,9.5E-03,-9.6E-04,30,400,1.8E-02,4.6E-03,-1.5E-01,40,11.8,7.6E-02,6.4E-01,-1.6E-01,OK
23,13:22:46,mature,tower_macarunduba,more_shade,2,4191.5,0,11.1,0.0119,434,0.235,1.9,29.21,6,1.42,1,2.84,29.64,29.21,29.95,2000.55,1983.13,21.686,22.031,51.17,51.98,400.0,500,7,98.49,-5.06,-0.129,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.98e+03,1.8E-01,8.9E-03,-2.5E-01,30,22,2.4E-03,1.1E-02,-2.2E-02,30,400,2.2E-02,5.6E-03,-1.7E-01,40,11.2,8.8E-02,7.9E-01,3.5E-01,OK
24,13:24:20,mature,tower_macarunduba,more_shade,2,4285.5,0,9.67,0.0111,543,0.212,1.84,28.93,6,1.42,1,2.84,29.61,28.93,29.94,2000.23,1985.09,21.678,21.990,51.26,51.99,400.0,301,7,98.5,-5.06,-0.129,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,8.7E-02,4.4E-03,7.0E-01,30,22,3.8E-03,1.7E-02,-4.9E-02,30,400,1.0E-02,2.6E-03,-7.9E-02,40,9.79,8.4E-02,8.6E-01,-6.4E-01,OK
25,13:25:56,mature,tower_macarunduba,more_shade,2,4381.5,0,7.92,0.0102,695,0.191,1.8,28.74,6,1.42,1,2.84,29.57,28.74,29.94,2000.09,1987.64,21.623,21.903,51.25,51.91,400.0,200,6,98.51,-5.06,-0.129,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,1.0E-01,5.2E-03,9.0E-01,30,21.9,3.8E-03,1.7E-02,-4.6E-02,30,400,1.4E-02,3.6E-03,8.3E-02,40,7.96,9.6E-02,1.2E+00,-6.8E-01,OK
26,13:27:53,mature,tower_macarunduba,more_shade,2,4498.0,0,5.99,0.00909,891,0.169,1.78,28.56,6,1.42,1,2.84,29.53,28.56,29.94,2000.04,1990.55,21.538,21.785,51.15,51.74,400.0,100,5,98.51,-6.56,-0.125,0.5,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,2.1E-01,1.1E-02,1.8E+00,30,21.8,5.8E-03,2.7E-02,-6.7E-02,30,400,1.6E-02,4.0E-03,-1.1E-01,40,5.57,4.0E-01,7.2E+00,3.5E+00,OK
