Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
15,11:51:30,9,sun,mature,4,5279.0,0,7.74,0.021,1.34E+03,0.548,2.51,31.69,6,1.42,1,2.84,30.27,31.69,30.13,2012.31,1999.06,21.123,21.927,48.45,50.29,400.0,1999,40,99.25,-47.6,0.15,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
16,11:53:22,9,sun,mature,4,5391.0,0,7.57,0.0203,1.33E+03,0.517,2.46,31.46,6,1.42,1,2.84,30.26,31.46,30.13,2011.89,1998.98,21.129,21.888,48.48,50.22,400.0,1750,37,99.25,-47.6,0.15,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
17,11:55:09,9,sun,mature,4,5498.0,0,7.79,0.0199,1.3E+03,0.493,2.39,31.19,6,1.42,1,2.84,30.26,31.19,30.13,2011.72,1998.56,21.118,21.841,48.48,50.14,400.0,1500,49,99.24,-47.6,0.15,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
18,11:56:50,9,sun,mature,4,5599.0,0,7.15,0.0193,1.34E+03,0.464,2.33,30.93,6,1.42,1,2.84,30.25,30.93,30.13,2011.53,1999.42,21.139,21.821,48.55,50.12,400.1,1250,30,99.24,-47.6,0.15,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
19,11:59:23,9,sun,mature,4,5752.5,0,7.15,0.0186,1.32E+03,0.433,2.25,30.59,6,1.42,1,2.84,30.21,30.59,30.13,2011.37,1999.34,21.112,21.747,48.58,50.04,400.0,1000,26,99.24,-47.6,0.15,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
20,12:01:04,9,sun,mature,4,5853.5,0,6.78,0.0183,1.34E+03,0.415,2.2,30.37,6,1.42,1,2.84,30.19,30.37,30.13,2011.55,2000.13,21.111,21.720,48.62,50.03,400.1,801,109,99.23,-47.6,0.15,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
21,12:03:03,9,sun,mature,4,5972.5,0,6.33,0.0178,1.37E+03,0.392,2.12,30.05,6,1.42,1,2.84,30.18,30.05,30.13,2011.24,2000.57,21.110,21.684,48.65,49.97,400.0,499,52,99.23,-47.6,0.15,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
22,12:05:12,9,sun,mature,4,6101.5,0,5.58,0.018,1.44E+03,0.386,2.07,29.84,6,1.42,1,2.84,30.17,29.84,30.13,2011.16,2001.64,21.105,21.672,48.67,49.98,400.0,299,77,99.23,-47.3,0.168,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
23,12:07:27,9,sun,mature,4,6236.0,0,5.38,0.0181,1.46E+03,0.383,2.05,29.74,6,1.42,1,2.84,30.17,29.74,30.13,2008.96,1999.74,21.130,21.691,48.73,50.02,400.0,199,33,99.22,-47.4,0.17,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
24,12:09:39,9,sun,mature,4,6368.0,0,4,0.0175,1.57E+03,0.368,2.03,29.68,6,1.42,1,2.84,30.18,29.68,30.13,2006.35,1999.24,21.168,21.708,48.79,50.04,400.0,99,38,99.22,-47.4,0.171,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
25,12:13:08,9,sun,mature,4,6577.0,0,2.51,0.0171,1.7E+03,0.356,2.01,29.63,6,1.42,1,2.84,30.18,29.63,30.13,2004.48,1999.64,21.232,21.755,48.94,50.14,400.0,49,42,99.22,-47.4,0.176,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
26,12:15:17,9,sun,mature,4,6706.5,0,0.639,0.0169,1.88E+03,0.349,2,29.59,6,1.42,1,2.84,30.18,29.59,30.13,2002.90,2000.90,21.287,21.799,49.06,50.24,400.0,10,45,99.22,-47.5,0.179,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
