Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
32,10:55:24,9,sun,old,6,5704.0,0,10.7,0.0563,1.59E+03,1.65,2.88,30.71,6,1.42,1,2.84,30.31,30.71,30.13,2000.29,1979.36,13.289,15.724,30.40,35.97,400.0,2000,4,99.23,-46.8,0.029,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
33,10:56:55,9,sun,old,6,5795.0,0,10.1,0.0537,1.59E+03,1.57,2.87,30.63,6,1.42,1,2.84,30.32,30.63,30.13,2000.24,1980.43,13.313,15.632,30.45,35.76,400.0,1749,5,99.23,-46.8,0.029,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
34,10:58:26,9,sun,old,6,5886.0,0,9.78,0.0518,1.59E+03,1.5,2.85,30.54,6,1.42,1,2.84,30.31,30.54,30.13,2000.17,1981.03,13.328,15.550,30.49,35.58,400.0,1500,5,99.24,-46.8,0.029,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
35,10:59:57,9,sun,old,6,5977.5,0,9.34,0.0493,1.59E+03,1.43,2.83,30.43,6,1.42,1,2.84,30.30,30.43,30.13,2000.00,1981.76,13.349,15.454,30.55,35.37,400.0,1249,4,99.24,-46.8,0.029,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
36,11:01:28,9,sun,old,6,6068.5,0,8.98,0.0472,1.59E+03,1.36,2.81,30.30,6,1.42,1,2.84,30.29,30.30,30.13,1999.99,1982.49,13.361,15.364,30.61,35.20,400.0,1000,3,99.24,-46.8,0.029,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
37,11:02:59,9,sun,old,6,6159.5,0,8.51,0.0454,1.6E+03,1.29,2.79,30.19,6,1.42,1,2.84,30.27,30.19,30.13,1999.93,1983.32,13.383,15.294,30.69,35.07,400.0,800,3,99.24,-46.8,0.029,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
38,11:04:30,9,sun,old,6,6250.5,0,7.52,0.0432,1.62E+03,1.22,2.76,30.01,6,1.42,1,2.84,30.24,30.01,30.13,1999.97,1985.08,13.403,15.198,30.78,34.91,400.1,499,5,99.23,-46.8,0.029,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
39,11:06:01,9,sun,old,6,6341.5,0,6.45,0.0416,1.65E+03,1.16,2.73,29.89,6,1.42,1,2.84,30.23,29.89,30.13,1999.87,1986.73,13.425,15.140,30.87,34.81,400.0,301,6,99.23,-46.8,0.029,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
40,11:07:32,9,sun,old,6,6432.5,0,5.59,0.0406,1.68E+03,1.13,2.72,29.83,6,1.42,1,2.84,30.22,29.83,30.13,1999.75,1987.99,13.457,15.124,30.96,34.79,399.9,201,6,99.23,-46.8,0.029,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
41,11:09:04,9,sun,old,6,6524.5,0,4.65,0.0417,1.73E+03,1.15,2.69,29.73,6,1.42,1,2.84,30.21,29.73,30.13,2000.98,1990.58,13.475,15.168,31.01,34.90,400.0,100,6,99.23,-46.8,0.029,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
42,11:11:40,9,sun,old,6,6681.0,0,2.88,0.0406,1.79E+03,1.12,2.69,29.74,6,1.42,1,2.84,30.22,29.74,30.13,2001.48,1993.83,13.523,15.175,31.11,34.91,400.2,49,5,99.23,-47.9,0.00265,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
43,11:13:42,9,sun,old,6,6802.5,0,0.855,0.0399,1.87E+03,1.1,2.69,29.72,6,1.42,1,2.84,30.21,29.72,30.13,1999.89,1995.33,13.556,15.176,31.19,34.92,399.9,11,5,99.23,-47.9,0.00249,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
