Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
99,10:11:27,504,sun,young,7,15292.0,0,16.9,0.227,1.78E+03,3.63,1.65,30.52,6,1.42,1,2.84,29.66,30.52,29.55,1999.99,1963.87,22.338,27.629,52.98,65.53,399.8,1999,20,99.12,-18.2,0.191,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
100,10:12:28,504,sun,young,7,15353.0,0,16.1,0.211,1.79E+03,3.29,1.6,30.12,6,1.42,1,2.84,29.65,30.12,29.55,1999.64,1965.73,22.373,27.167,53.11,64.49,400.0,1500,21,99.13,-18.2,0.191,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
101,10:13:29,504,sun,young,7,15414.0,0,15.6,0.2,1.79E+03,3.08,1.58,29.94,6,1.42,1,2.84,29.64,29.94,29.55,1999.51,1966.94,22.398,26.899,53.19,63.88,400.0,1250,16,99.13,-18.2,0.191,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
102,10:14:34,504,sun,young,7,15479.0,0,14.9,0.189,1.79E+03,2.88,1.56,29.73,6,1.42,1,2.84,29.63,29.73,29.55,1999.58,1968.68,22.426,26.630,53.29,63.29,399.7,1001,12,99.13,-18.2,0.191,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
103,10:15:35,504,sun,young,7,15540.0,0,14.3,0.181,1.79E+03,2.71,1.53,29.52,6,1.42,1,2.84,29.61,29.52,29.55,1999.40,1969.91,22.438,26.401,53.38,62.81,400.0,801,11,99.13,-18.2,0.191,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
104,10:16:36,504,sun,young,7,15601.0,0,12.6,0.168,1.8E+03,2.49,1.5,29.28,6,1.42,1,2.84,29.60,29.28,29.55,1999.21,1972.93,22.461,26.097,53.48,62.14,400.0,500,12,99.12,-18.2,0.191,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
105,10:17:37,504,sun,young,7,15662.0,0,10.8,0.159,1.82E+03,2.32,1.48,29.07,6,1.42,1,2.84,29.58,29.07,29.55,1999.16,1976.11,22.474,25.860,53.57,61.64,399.9,300,11,99.12,-18.2,0.191,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
106,10:18:38,504,sun,young,7,15723.0,0,8.86,0.15,1.83E+03,2.18,1.46,28.94,6,1.42,1,2.84,29.55,28.94,29.55,1998.71,1978.94,22.477,25.665,53.66,61.26,400.0,201,20,99.13,-18.2,0.191,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
107,10:19:39,504,sun,young,7,15784.0,0,4.99,0.139,1.88E+03,2.02,1.47,28.87,6,1.42,1,2.84,29.54,28.87,29.55,1998.68,1985.17,22.501,25.459,53.76,60.83,400.0,99,38,99.12,-18.2,0.191,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
108,10:21:08,504,sun,young,7,15872.5,0,3.11,0.123,1.9E+03,1.83,1.49,28.84,6,1.42,1,2.84,29.53,28.84,29.55,1998.32,1988.20,22.512,25.183,53.82,60.21,399.9,49,52,99.12,-19.6,0.226,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
109,10:22:47,504,sun,young,7,15971.5,0,0.198,0.0963,1.94E+03,1.49,1.53,28.83,6,1.42,1,2.84,29.52,28.83,29.55,1999.99,1995.24,22.544,24.720,53.93,59.14,400.0,9,13,99.12,-19.8,0.242,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
110,10:24:16,504,sun,young,7,16060.5,0,-0.652,0.0696,1.96E+03,1.14,1.6,28.92,6,1.42,1,2.84,29.52,28.92,29.55,1999.94,1997.52,22.556,24.218,53.94,57.91,400.0,0,9,99.11,-19.7,0.247,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
