Obs,HHMMSS,leaf_age,tree_number,sun_or_shade,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,N_CO2S_,MN_CO2S_,SD_CO2S_,CV_CO2S_,SLP_CO2S_,N_H2OS_,MN_H2OS_,SD_H2OS_,CV_H2OS_,SLP_H2OS_,N_Flow_,MN_Flow_,SD_Flow_,CV_Flow_,SLP_Flow_,N_Photo_,MN_Photo_,SD_Photo_,CV_Photo_,SLP_Photo_,column_for_Exclude_pts
58,10:13:08,old,caferana,shade,9,10115.5,0,6.89,0.0195,1.32E+03,0.756,3.75,32.04,6,1.42,1,2.84,30.06,32.04,29.95,1999.82,1987.23,9.325,10.447,21.61,24.21,400.1,2000,33,99.06,-3.87,0.031,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,8.5E-02,4.3E-03,8.5E-01,30,10.5,5.5E-03,5.3E-02,-6.9E-02,30,400,1.0E-02,2.5E-03,-5.7E-02,40,6.99,6.9E-02,9.8E-01,-5.7E-01,OK
59,10:14:39,old,caferana,shade,9,10206.5,0,6.37,0.0171,1.29E+03,0.653,3.69,31.77,6,1.42,1,2.84,30.10,31.77,29.95,1999.87,1988.37,9.339,10.308,21.59,23.83,400.1,1750,33,99.06,-3.87,0.031,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,6.1E-02,3.1E-03,5.1E-01,30,10.3,5.9E-03,5.7E-02,-7.9E-02,30,400,1.1E-02,2.7E-03,1.4E-02,40,6.42,6.6E-02,1.0E+00,-4.8E-01,OK
60,10:16:10,old,caferana,shade,9,10297.5,0,5.95,0.0158,1.29E+03,0.584,3.57,31.29,6,1.42,1,2.84,30.07,31.29,29.95,1999.70,1989.04,9.346,10.213,21.64,23.65,400.1,1501,36,99.06,-3.87,0.031,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,7.3E-02,3.7E-03,4.2E-01,30,10.2,2.5E-03,2.4E-02,-2.4E-02,30,400,1.1E-02,2.8E-03,1.3E-01,40,5.93,6.9E-02,1.2E+00,-3.9E-01,OK
61,10:18:09,old,caferana,shade,9,10416.5,0,5.24,0.0148,1.32E+03,0.538,3.52,31.05,6,1.42,1,2.84,30.08,31.05,29.94,1999.45,1989.99,9.368,10.167,21.68,23.53,400.1,1250,31,99.06,-3.95,0.0417,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,1.8E-01,8.9E-03,5.8E-02,30,10.2,2.8E-03,2.7E-02,-1.0E-02,30,400,1.6E-02,4.0E-03,-4.7E-02,40,5.39,8.0E-02,1.5E+00,4.9E-03,OK
62,10:20:07,old,caferana,shade,9,10534.5,0,4.92,0.0142,1.34E+03,0.492,3.35,30.38,6,1.42,1,2.84,30.07,30.38,29.94,1999.47,1990.63,9.384,10.114,21.73,23.42,400.1,999,27,99.06,-3.99,0.0416,0.5,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,1.6E-01,7.9E-03,1.5E+00,30,10.1,2.4E-03,2.4E-02,-7.7E-03,30,400,1.5E-02,3.7E-03,-1.6E-01,40,5.07,1.3E-01,2.5E+00,-7.8E-01,OK
63,10:22:05,old,caferana,shade,9,10652.0,0,4.91,0.0137,1.32E+03,0.47,3.33,30.31,6,1.42,1,2.84,30.03,30.31,29.94,1999.41,1990.64,9.417,10.115,21.85,23.47,400.1,801,32,99.06,-4.07,0.0396,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,1.1E-01,5.6E-03,7.9E-01,30,10.1,1.3E-03,1.3E-02,-1.0E-02,30,400,1.9E-02,4.8E-03,-1.6E-01,40,4.85,5.6E-02,1.1E+00,1.6E-01,OK
64,10:24:02,old,caferana,shade,9,10769.0,0,4.68,0.0133,1.34E+03,0.44,3.21,29.79,6,1.42,1,2.84,30.02,29.79,29.95,1999.14,1990.81,9.446,10.099,21.93,23.45,400.1,500,28,99.05,-4.28,0.0368,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,1.8E-01,8.9E-03,-1.4E+00,30,10.1,1.6E-03,1.5E-02,-6.0E-03,30,400,2.2E-02,5.5E-03,-5.4E-02,40,4.71,4.8E-02,1.0E+00,1.5E-01,OK
65,10:26:00,old,caferana,shade,9,10887.5,0,4.4,0.0132,1.37E+03,0.424,3.11,29.39,6,1.42,1,2.84,29.98,29.39,29.95,1998.98,1991.10,9.461,10.091,22.02,23.49,400.1,300,28,99.05,-4.41,0.0406,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,1.4E-01,6.9E-03,-8.0E-01,30,10.1,1.5E-03,1.5E-02,4.9E-03,30,400,1.7E-02,4.2E-03,1.6E-01,40,4.43,8.6E-02,1.9E+00,6.9E-01,OK
66,10:27:57,old,caferana,shade,9,11004.0,0,4.35,0.013,1.37E+03,0.409,3.06,29.16,6,1.42,1,2.84,29.95,29.16,29.95,1998.87,1991.13,9.470,10.078,22.08,23.49,400.1,201,24,99.05,-4.74,0.0382,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,6.5E-02,3.3E-03,-6.4E-01,30,10.1,1.2E-03,1.2E-02,-4.2E-03,30,400,1.6E-02,4.1E-03,8.8E-02,40,4.3,9.6E-02,2.2E+00,7.6E-01,OK
67,10:29:55,old,caferana,shade,9,11122.5,0,3.6,0.0129,1.46E+03,0.399,3.01,28.93,6,1.42,1,2.84,29.93,28.93,29.95,1998.91,1992.32,9.474,10.067,22.12,23.50,400.1,100,27,99.04,-4.72,0.0399,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,1.8E-01,9.3E-03,7.2E-01,30,10.1,1.2E-03,1.2E-02,4.0E-03,30,400,1.3E-02,3.2E-03,-9.8E-02,40,3.87,7.7E-02,2.0E+00,-4.6E-01,OK
