x_Obs_,x_HHMMSS_,x_treeNo__,x_sunOrShade_,x_leafAge_,x_leafNo__,x_FTime_,x_EBal__,x_Photo_,x_Cond_,x_Ci_,x_Trmmol_,x_VpdL_,x_CTleaf_,x_Area_,x_BLC_1_,x_StmRat_,x_BLCond_,x_Tair_,x_Tleaf_,x_TBlk_,x_CO2R_,x_CO2S_,x_H2OR_,x_H2OS_,x_RH_R_,x_RH_S_,x_Flow_,x_PARi_,x_PARo_,x_Press_,x_CsMch_,x_HsMch_,x_StableF_,x_BLCslope_,x_BLCoffst_,x_f_parin_,x_f_parout_,x_alphaK_,x_Status_,column_for_Exclude_pts
51,"08:02:10","504","sun","young","4",7535.0,0,3.33,0.0171,1.62E+03,0.354,2,29.58,6,1.42,1,2.84,29.56,29.58,29.55,1999.98,1993.93,21.193,21.713,50.67,51.91,399.9,2000,16,99.28,-19.5,0.208,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
52,"08:03:38","504","sun","young","4",7623.0,0,3.38,0.0164,1.6E+03,0.332,1.96,29.40,6,1.42,1,2.84,29.54,29.40,29.55,2000.13,1994.07,21.225,21.712,50.80,51.96,399.9,1500,554,99.28,-19.5,0.211,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
53,"08:05:05","504","sun","young","4",7709.5,0,3.46,0.0161,1.59E+03,0.326,1.96,29.42,6,1.42,1,2.84,29.56,29.42,29.55,2000.07,1993.90,21.255,21.734,50.79,51.94,400.0,1249,227,99.28,-19.6,0.21,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
54,"08:06:33","504","sun","young","4",7798.0,0,3.39,0.0158,1.59E+03,0.313,1.91,29.20,6,1.42,1,2.84,29.52,29.20,29.55,1999.58,1993.57,21.288,21.747,50.98,52.08,400.0,1001,79,99.28,-19.5,0.212,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
55,"08:08:01","504","sun","young","4",7886.0,0,3.67,0.0152,1.55E+03,0.3,1.9,29.17,6,1.42,1,2.84,29.51,29.17,29.55,1999.59,1993.19,21.318,21.758,51.10,52.15,400.0,801,26,99.28,-19.7,0.214,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
56,"08:09:29","504","sun","young","4",7974.0,0,3.38,0.0149,1.57E+03,0.288,1.86,29.02,6,1.42,1,2.84,29.49,29.02,29.55,1999.37,1993.44,21.346,21.769,51.23,52.25,400.1,500,67,99.28,-19.9,0.211,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
57,"08:10:56","504","sun","young","4",8060.5,0,3.3,0.0149,1.58E+03,0.282,1.83,28.89,6,1.42,1,2.84,29.46,28.89,29.55,1999.68,1993.89,21.385,21.800,51.39,52.38,400.0,300,28,99.27,-19.9,0.214,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
58,"08:12:24","504","sun","young","4",8148.5,0,3.11,0.0147,1.6E+03,0.276,1.82,28.84,6,1.42,1,2.84,29.46,28.84,29.55,1999.34,1993.85,21.398,21.803,51.45,52.42,400.0,199,23,99.28,-19.9,0.211,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
59,"08:13:51","504","sun","young","4",8235.5,0,2.25,0.0143,1.69E+03,0.267,1.81,28.80,6,1.42,1,2.84,29.44,28.80,29.55,1999.06,1994.89,21.432,21.823,51.57,52.51,400.0,101,22,99.28,-20,0.207,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
60,"08:15:18","504","sun","young","4",8322.5,0,1.16,0.0143,1.81E+03,0.264,1.79,28.74,6,1.42,1,2.84,29.43,28.74,29.55,1998.85,1996.31,21.460,21.848,51.66,52.59,400.0,49,23,99.27,-20,0.209,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
61,"08:16:46","504","sun","young","4",8410.5,0,-0.735,0.0141,2.02E+03,0.261,1.79,28.71,6,1.42,1,2.84,29.43,28.71,29.55,1999.13,1999.45,21.474,21.857,51.71,52.63,399.9,9,16,99.27,-20.1,0.209,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
62,"08:18:16","504","sun","young","4",8500.5,0,-1.57,0.0139,2.12E+03,0.257,1.78,28.69,6,1.42,1,2.84,29.43,28.69,29.55,1999.25,2000.84,21.475,21.852,51.70,52.61,400.0,0,14,99.27,-20.1,0.203,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
