x_Obs_,x_HHMMSS_,x_treeNo__,x_sunOrShade_,x_leafAge_,x_leafNo__,x_FTime_,x_EBal__,x_Photo_,x_Cond_,x_Ci_,x_Trmmol_,x_VpdL_,x_CTleaf_,x_Area_,x_BLC_1_,x_StmRat_,x_BLCond_,x_Tair_,x_Tleaf_,x_TBlk_,x_CO2R_,x_CO2S_,x_H2OR_,x_H2OS_,x_RH_R_,x_RH_S_,x_Flow_,x_PARi_,x_PARo_,x_Press_,x_CsMch_,x_HsMch_,x_StableF_,x_BLCslope_,x_BLCoffst_,x_f_parin_,x_f_parout_,x_alphaK_,x_Status_,column_for_Exclude_pts
55,"08:54:29","118","sun","y/m","4",9186.0,0,30.4,0.0895,1.34E+03,1.75,1.94,30.06,6,1.25,1,2.5,29.68,30.06,29.55,2000.66,1949.79,20.950,23.516,49.72,55.81,399.2,1501,10,99.28,-14.4,0.201,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
56,"08:55:30","118","sun","y/m","4",9247.0,0,33.3,0.0953,1.31E+03,1.92,2.01,30.44,6,1.25,1,2.5,29.68,30.44,29.54,2000.55,1944.88,20.944,23.764,49.71,56.40,399.1,1999,9,99.28,-14.4,0.201,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
57,"08:56:34","118","sun","y/m","4",9311.0,0,30.4,0.091,1.34E+03,1.77,1.93,30.03,6,1.25,1,2.5,29.67,30.03,29.55,2000.17,1949.23,20.939,23.533,49.74,55.90,399.0,1501,8,99.28,-14.4,0.201,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
58,"08:57:35","118","sun","y/m","4",9372.0,0,29,0.088,1.36E+03,1.67,1.89,29.80,6,1.25,1,2.5,29.65,29.80,29.55,2000.54,1952.00,20.933,23.388,49.76,55.60,399.2,1249,9,99.28,-14.4,0.201,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
59,"08:58:39","118","sun","y/m","4",9436.5,0,27.1,0.0851,1.38E+03,1.58,1.84,29.56,6,1.25,1,2.5,29.64,29.56,29.55,2000.64,1955.31,20.934,23.254,49.80,55.32,399.2,999,111,99.27,-14.4,0.201,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
60,"08:59:48","118","sun","y/m","4",9505.5,0,25.3,0.0826,1.4E+03,1.51,1.81,29.38,6,1.25,1,2.5,29.63,29.38,29.55,2000.56,1958.07,20.933,23.149,49.83,55.10,399.2,801,26,99.27,-14.4,0.201,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
61,"09:00:49","118","sun","y/m","4",9566.5,0,20.6,0.0791,1.49E+03,1.41,1.77,29.13,6,1.25,1,2.5,29.61,29.13,29.55,2000.49,1965.35,20.928,23.000,49.86,54.80,399.2,500,131,99.26,-14.4,0.201,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
62,"09:01:50","118","sun","y/m","4",9627.5,0,14.8,0.0765,1.6E+03,1.33,1.73,28.91,6,1.25,1,2.5,29.59,28.91,29.55,2000.18,1973.96,20.927,22.887,49.91,54.58,399.1,300,14,99.26,-14.4,0.201,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
63,"09:02:52","118","sun","y/m","4",9689.5,0,10.6,0.0746,1.69E+03,1.29,1.71,28.81,6,1.25,1,2.5,29.58,28.81,29.55,2000.16,1980.35,20.929,22.824,49.94,54.46,399.2,200,13,99.26,-14.4,0.201,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
64,"09:03:53","118","sun","y/m","4",9750.5,0,5.13,0.0721,1.82E+03,1.24,1.7,28.71,6,1.25,1,2.5,29.57,28.71,29.55,2000.11,1988.71,20.940,22.755,50.00,54.34,399.2,101,13,99.26,-14.4,0.201,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
65,"09:05:22","118","sun","y/m","4",9839.0,0,3.11,0.069,1.86E+03,1.18,1.69,28.64,6,1.25,1,2.5,29.56,28.64,29.55,1999.89,1991.69,20.950,22.679,50.07,54.20,399.2,50,9,99.26,-16.2,0.198,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
66,"09:06:56","118","sun","y/m","4",9933.0,0,0.393,0.0658,1.93E+03,1.12,1.68,28.57,6,1.25,1,2.5,29.55,28.57,29.55,1999.82,1995.87,20.964,22.609,50.13,54.07,399.2,10,8,99.26,-16.3,0.198,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
67,"09:08:25","118","sun","y/m","4",10022.0,0,-0.202,0.0631,1.95E+03,1.07,1.68,28.54,6,1.25,1,2.5,29.55,28.54,29.55,1999.80,1996.89,20.988,22.562,50.18,53.94,399.3,0,8,99.26,-16.6,0.201,0.5,-0.207,2.49,1.00,0.00,0.16,111114,OK
