Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
1,12:23:01,tower_macarunduba,more_shade,mature,1,560.0,0,9.5,0.1,218,2.08,2.03,32.43,6,1.42,1,2.84,30.39,32.43,29.94,400.15,384.71,26.071,29.095,58.97,65.81,400.1,2000,312,98.53,8.03,-0.31,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
2,12:25:14,tower_macarunduba,more_shade,mature,1,739.0,0,0.491,0.105,88.5,2.22,2.07,32.63,6,1.42,1,2.84,30.47,32.63,29.94,100.48,99.41,26.019,29.245,58.57,65.83,400.1,1999,65,98.54,6.35,-0.307,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
3,12:27:14,tower_macarunduba,more_shade,mature,1,858.5,0,-0.935,0.125,62.4,2.55,2.01,32.55,6,1.42,1,2.84,30.46,32.55,29.94,50.75,51.96,25.884,29.588,58.31,66.65,400.0,2000,63,98.54,5.73,-0.315,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,12:29:14,tower_macarunduba,more_shade,mature,1,978.5,0,0.839,0.142,84.7,2.79,1.96,32.43,6,1.42,1,2.84,30.42,32.43,29.94,99.29,97.62,25.710,29.774,58.03,67.21,400.1,2000,61,98.53,6.33,-0.317,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,12:31:14,tower_macarunduba,more_shade,mature,1,1098.5,0,2.68,0.152,112,2.97,1.94,32.41,6,1.42,1,2.84,30.44,32.41,29.95,150.28,145.61,25.553,29.874,57.61,67.36,400.1,2000,57,98.52,6.99,-0.32,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,12:33:14,tower_macarunduba,more_shade,mature,1,1218.5,0,6.45,0.158,165,3.03,1.92,32.30,6,1.42,1,2.84,30.40,32.30,29.94,250.66,239.89,25.342,29.758,57.27,67.24,400.1,2000,57,98.51,7.81,-0.321,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,12:35:14,tower_macarunduba,more_shade,mature,1,1338.5,0,10.1,0.156,216,3.01,1.93,32.24,6,1.42,1,2.84,30.38,32.24,29.94,351.19,334.49,25.146,29.528,56.88,66.79,400.0,2000,65,98.51,8.25,-0.318,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,12:37:16,tower_macarunduba,more_shade,mature,1,1460.5,0,16.1,0.145,324,2.89,1.99,32.35,6,1.42,1,2.84,30.42,32.35,29.95,550.64,524.20,25.020,29.233,56.45,65.96,400.1,2000,60,98.5,8.86,-0.306,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,12:39:22,tower_macarunduba,more_shade,mature,1,1587.0,0,20.7,0.126,424,2.65,2.07,32.54,6,1.42,1,2.84,30.48,32.54,29.94,749.86,715.97,25.079,28.931,56.42,65.09,400.1,2000,51,98.5,8.94,-0.296,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,12:41:22,tower_macarunduba,more_shade,mature,1,1707.0,0,24.2,0.108,564,2.35,2.13,32.61,6,1.42,1,2.84,30.50,32.61,29.94,1001.18,961.47,25.121,28.538,56.43,64.11,400.1,2000,25,98.5,8.02,-0.277,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,12:43:58,tower_macarunduba,more_shade,mature,1,1863.0,0,25.1,0.0843,685,1.89,2.19,32.60,6,1.42,1,2.84,30.43,32.60,29.94,1249.29,1208.27,25.142,27.902,56.71,62.93,400.1,2001,12,98.5,6.4,-0.255,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,12:46:57,tower_macarunduba,more_shade,mature,1,2041.5,0,24,0.0583,749,1.36,2.26,32.54,6,1.42,1,2.84,30.40,32.54,29.94,1499.88,1460.90,25.080,27.068,56.66,61.15,400.1,2000,8,98.5,3.79,-0.235,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,12:49:56,tower_macarunduba,more_shade,mature,1,2220.5,0,21.9,0.0399,780,0.96,2.31,32.48,6,1.42,1,2.84,30.32,32.48,29.94,1750.51,1715.23,24.959,26.361,56.66,59.85,400.1,2000,5,98.5,0.225,-0.213,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
14,12:52:55,tower_macarunduba,more_shade,mature,1,2399.5,0,20,0.0295,822,0.713,2.32,32.24,6,1.42,1,2.84,30.25,32.24,29.94,2000.48,1968.44,24.568,25.610,55.98,58.36,400.1,2000,5,98.49,-4.37,-0.197,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
15,12:55:00,tower_macarunduba,more_shade,mature,1,2525.0,0,19.8,0.0253,892,0.619,2.34,32.16,6,1.42,1,2.84,30.20,32.16,29.94,2249.08,2217.30,24.233,25.138,55.39,57.45,400.1,2000,6,98.49,-8.99,-0.191,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
