Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
16,12:17:23,9,shade,mature,3,5571,0,4.25,0.0364,181,1.81,4.77,39.2,6,1.42,1,2.84,42.9,39.2,44.95,400.39,392.95,20.878,23.532,23.99,27.04,400.1,1500,48,99.31,-4.61,-0.0385,0.5,-0.22,2.74,1,0,0.16,111115,OK
17,12:23:23,9,shade,mature,3,5941,0,-0.34,0.0374,106,1.86,4.77,39.23,6,1.42,1,2.84,42.91,39.23,44.95,99.57,99.8,20.9,23.624,24,27.13,400.1,1500,43,99.3,1.1,-0.0549,0.5,-0.22,2.74,1,0,0.16,111115,OK
18,12:25:39,9,shade,mature,3,6077.5,0,-1.33,0.0437,95,2.16,4.75,39.29,6,1.42,1,2.84,42.95,39.29,44.95,49.59,51.42,20.925,24.089,23.99,27.61,400.1,1500,38,99.3,1.58,-0.0722,0.5,-0.22,2.74,1,0,0.16,111115,OK
20,12:30:22,9,shade,mature,3,6360.5,0,0.658,0.0575,120,2.77,4.64,39.25,6,1.42,1,2.84,42.95,39.25,44.95,151.25,149.65,20.972,25.02,24.03,28.67,400.1,1500,47,99.3,0.434,-0.0917,0.5,-0.22,2.74,1,0,0.16,111115,OK
21,12:32:38,9,shade,mature,3,6496,0,2.71,0.0515,146,2.52,4.7,39.33,6,1.42,1,2.84,42.96,39.33,44.95,251.56,246.57,21.013,24.694,24.07,28.28,400,1499,53,99.29,-1.47,-0.0604,0.8,-0.22,2.74,1,0,0.16,111115,OK
22,12:34:57,9,shade,mature,3,6635.5,0,3.85,0.0425,176,2.11,4.77,39.35,6,1.42,1,2.84,42.96,39.35,44.95,350.7,343.83,21.047,24.136,24.1,27.64,400.1,1499,52,99.29,-3.23,-0.0398,0.5,-0.22,2.74,1,0,0.16,111115,OK
23,12:37:25,9,shade,mature,3,6783.5,0,6.09,0.0345,224,1.74,4.82,39.37,6,1.42,1,2.84,42.97,39.37,44.96,551.46,540.91,21.098,23.644,24.15,27.07,400,1499,53,99.28,-7.82,-0.0152,0.8,-0.22,2.74,1,0,0.16,111115,OK
24,12:40:03,9,shade,mature,3,6941,0,7.38,0.028,273,1.42,4.84,39.32,6,1.42,1,2.84,42.95,39.32,44.95,751.05,738.41,21.145,23.229,24.23,26.62,400,1499,51,99.28,-12.6,-0.00899,0.2,-0.22,2.74,1,0,0.16,111115,OK
25,12:42:18,9,shade,mature,3,7076,0,8.88,0.0249,356,1.27,4.86,39.3,6,1.42,1,2.84,42.93,39.3,44.95,1001.19,985.99,21.153,23.01,24.26,26.39,400,1499,28,99.27,-18.6,0.000334,0.2,-0.22,2.74,1,0,0.16,111115,OK
26,12:44:54,9,shade,mature,3,7232.5,0,9.31,0.0219,479,1.14,4.93,39.44,6,1.42,1,2.84,42.99,39.44,44.95,1250.12,1234.05,21.166,22.83,24.2,26.1,400.1,1499,26,99.27,-26,0.00634,0.8,-0.22,2.74,1,0,0.16,111115,OK
27,12:47:21,9,shade,mature,3,7379,0,10.3,0.0198,557,1.02,4.94,39.42,6,1.42,1,2.84,42.97,39.42,44.95,1500.63,1482.86,21.177,22.68,24.23,25.95,400.1,1499,33,99.26,-33.1,0.00984,0.8,-0.22,2.74,1,0,0.16,111115,OK
28,12:49:46,9,shade,mature,3,7524,0,10.7,0.0186,702,0.971,4.97,39.49,6,1.42,1,2.84,42.99,39.49,44.95,1750.16,1731.57,21.184,22.606,24.21,25.84,400.2,1500,59,99.26,-40.3,0.0174,0.8,-0.22,2.74,1,0,0.16,111115,OK
29,12:52:01,9,shade,mature,3,7659.5,0,11.5,0.0178,822,0.934,4.99,39.53,6,1.42,1,2.84,43,39.53,44.95,1999.81,1979.77,21.208,22.578,24.22,25.79,400,1499,60,99.25,-47.7,0.0138,0.5,-0.22,2.74,1,0,0.16,111115,OK
30,12:54:18,9,shade,mature,3,7796.5,0,12.2,0.0173,957,0.906,4.99,39.53,6,1.42,1,2.84,43,39.53,44.95,2249.64,2228.31,21.247,22.575,24.27,25.79,400.1,1499,60,99.24,-55.7,0.0203,0.8,-0.22,2.74,1,0,0.16,111115,OK
