Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
16,10:13:10,9,sun,y/m,3,3168.0,0,3.27,0.0473,262,1.69,3.47,33.05,6,1.42,1,2.84,30.07,33.05,29.94,399.25,393.35,13.646,16.134,31.61,37.37,400.0,2000,1,99.08,7.43,-0.0628,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
17,10:16:04,9,sun,y/m,3,3365.5,0,-0.297,0.0472,104,1.68,3.46,33.03,6,1.42,1,2.84,30.04,33.03,29.95,99.97,100.16,13.699,16.175,31.79,37.54,400.1,1999,1,99.08,5.74,-0.072,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
18,10:18:04,9,sun,y/m,3,3485.5,0,-0.859,0.0473,76.8,1.68,3.45,33.03,6,1.42,1,2.84,30.06,33.03,29.94,49.86,51.02,13.744,16.219,31.86,37.59,400.0,2000,1,99.08,5.21,-0.068,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
19,10:20:04,9,sun,y/m,3,3606.0,0,-0.193,0.0476,99.7,1.69,3.47,33.10,6,1.42,1,2.84,30.03,33.10,29.95,98.84,98.87,13.795,16.293,32.02,37.82,400.1,2000,1,99.09,5.78,-0.0764,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
20,10:22:04,9,sun,y/m,3,3725.5,0,0.527,0.0475,123,1.69,3.47,33.14,6,1.42,1,2.84,30.05,33.14,29.94,150.03,148.86,13.864,16.363,32.16,37.95,400.1,1999,1,99.09,6.22,-0.0702,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
21,10:24:04,9,sun,y/m,3,3845.5,0,1.68,0.0471,178,1.68,3.48,33.18,6,1.42,1,2.84,30.06,33.18,29.94,250.88,247.74,13.937,16.417,32.30,38.05,400.1,1999,1,99.08,7,-0.0697,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,10:26:08,9,sun,y/m,3,3969.5,0,2.82,0.0465,230,1.66,3.48,33.21,6,1.42,1,2.84,30.06,33.21,29.95,350.19,345.11,14.012,16.468,32.48,38.17,400.1,1999,4,99.08,7.36,-0.0705,0.8,-0.22,2.74,1.00,0.00,0.16,111115,
23,10:28:08,9,sun,y/m,3,4089.5,0,4.75,0.0459,348,1.65,3.49,33.26,6,1.42,1,2.84,30.07,33.26,29.95,550.14,541.68,14.099,16.527,32.65,38.27,400.1,1999,1,99.08,7.82,-0.0696,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
24,10:30:08,9,sun,y/m,3,4209.5,0,6.38,0.0456,477,1.62,3.46,33.16,6,1.42,1,2.84,30.05,33.16,29.94,749.83,738.47,14.194,16.585,32.91,38.46,400.0,1999,1,99.08,7.47,-0.0683,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
25,10:32:11,9,sun,y/m,3,4332.5,0,8.08,0.0451,649,1.61,3.46,33.22,6,1.42,1,2.84,30.09,33.22,29.95,1000.84,986.34,14.324,16.695,33.15,38.63,400.1,1999,1,99.08,6.14,-0.0717,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
26,10:34:11,9,sun,y/m,3,4452.5,0,9.41,0.0448,833,1.59,3.45,33.24,6,1.42,1,2.84,30.09,33.24,29.94,1250.33,1233.27,14.462,16.809,33.46,38.89,400.1,1999,1,99.08,4.35,-0.0678,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
27,10:36:19,9,sun,y/m,3,4580.5,0,10.7,0.0443,1.02E+03,1.57,3.45,33.27,6,1.42,1,2.84,30.06,33.27,29.95,1500.20,1480.66,14.627,16.945,33.90,39.27,400.0,2000,1,99.08,1.39,-0.0757,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
28,10:38:19,9,sun,y/m,3,4700.5,0,11.3,0.0442,1.23E+03,1.56,3.44,33.27,6,1.42,1,2.84,30.09,33.27,29.94,1750.40,1729.35,14.784,17.089,34.21,39.55,400.1,2000,1,99.08,-1.6,-0.0745,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
29,10:40:20,9,sun,y/m,3,4821.0,0,12,0.0461,1.46E+03,1.55,3.27,32.73,6,1.42,1,2.84,30.14,32.73,29.95,1999.10,1976.51,14.964,17.247,34.52,39.79,400.1,2000,1,99.08,-5.74,-0.0852,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
30,10:42:29,9,sun,y/m,3,4950.0,0,12.6,0.0433,1.64E+03,1.54,3.44,33.42,6,1.42,1,2.84,30.14,33.42,29.94,2249.27,2225.30,15.168,17.431,35.00,40.22,400.1,2001,1,99.09,-9.98,-0.0837,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
