Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
13,12:05:47,11,sun,mature,5,11125.0,0,-0.279,0.00494,224,0.282,5.41,39.96,6,1.42,1,2.84,42.89,39.96,44.95,150.72,151.08,19.657,20.070,22.59,23.06,400.2,2001,6,99.25,1.04,-0.0834,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
14,12:08:09,11,sun,mature,5,11267.5,0,-0.0563,0.00554,244,0.319,5.45,40.07,6,1.42,1,2.84,42.92,40.07,44.95,250.75,250.71,19.595,20.064,22.48,23.02,399.9,2001,10,99.24,-0.542,-0.0723,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
15,12:10:06,11,sun,mature,5,11384.0,0,0.261,0.006,252,0.344,5.44,40.04,6,1.42,1,2.84,42.92,40.04,44.95,350.63,350.05,19.530,20.036,22.40,22.98,399.9,2000,6,99.24,-2.44,-0.072,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
16,12:12:03,11,sun,mature,5,11501.0,0,0.846,0.00656,304,0.378,5.45,40.06,6,1.42,1,2.84,42.94,40.06,44.95,551.34,549.76,19.470,20.025,22.31,22.95,399.9,2001,24,99.24,-6.69,-0.068,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
17,12:14:01,11,sun,mature,5,11619.5,0,1.56,0.00716,346,0.414,5.48,40.16,6,1.42,1,2.84,42.97,40.16,44.95,750.31,747.50,19.461,20.070,22.26,22.96,400.2,2000,15,99.24,-11.5,-0.0633,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
18,12:15:59,11,sun,mature,5,11737.0,0,2.53,0.00801,425,0.46,5.44,40.06,6,1.42,1,2.84,42.97,40.06,44.95,1001.01,996.53,19.434,20.110,22.24,23.01,400.0,2000,15,99.23,-18,-0.057,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
19,12:18:21,11,sun,mature,5,11879.0,0,4.13,0.00905,435,0.519,5.44,40.08,6,1.42,1,2.84,42.95,40.08,44.95,1250.65,1243.50,19.480,20.242,22.30,23.18,400.1,1999,334,99.22,-25.1,-0.111,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
20,12:20:20,11,sun,mature,5,11998.5,0,5.49,0.00982,501,0.566,5.46,40.17,6,1.42,1,2.84,42.98,40.17,44.95,1501.15,1491.65,19.541,20.372,22.34,23.29,400.0,2000,276,99.21,-32.3,-0.123,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
21,12:22:19,11,sun,mature,5,12117.0,0,7.2,0.0109,573,0.623,5.42,40.10,6,1.42,1,2.84,42.98,40.10,44.95,1749.87,1737.44,19.626,20.542,22.43,23.48,399.9,1999,225,99.21,-39.6,-0.123,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
22,12:24:19,11,sun,mature,5,12237.0,0,8.86,0.012,676,0.687,5.43,40.20,6,1.42,1,2.84,43.02,40.20,44.95,2000.41,1985.08,19.739,20.748,22.52,23.67,400.1,1999,23,99.2,-47.2,-0.121,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
23,12:26:19,11,sun,mature,5,12357.5,0,10.8,0.013,769,0.745,5.42,40.19,6,1.42,1,2.84,43.01,40.19,44.95,2249.88,2231.25,19.821,20.915,22.62,23.86,400.0,2001,11,99.2,-55,-0.123,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
