Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
8,14:11:31,caferana,shade,mature,8,2170.5,0,2.8,0.0306,220,1.71,5.29,40.42,6,1.42,1,2.84,43.27,40.42,44.94,399.97,394.76,20.704,23.202,23.25,26.05,400.1,1501,63,98.93,-3.27,0.0872,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,14:16:01,caferana,shade,mature,8,2460.5,0,-0.794,0.0342,83.4,1.86,5.17,40.39,6,1.42,1,2.84,43.26,40.39,44.95,50.67,51.72,21.541,24.263,24.19,27.25,400.0,1500,39,98.92,1.85,0.0787,0.8,-0.22,2.74,1.00,0.00,0.16,111135,OK
11,14:18:00,caferana,shade,mature,8,2580.0,0,-0.229,0.0382,101,2.06,5.12,40.36,6,1.42,1,2.84,43.28,40.36,44.95,100.30,100.33,21.609,24.619,24.25,27.63,400.0,1500,23,98.92,1.42,0.0728,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,14:20:09,caferana,shade,mature,8,2709.5,0,0.344,0.0413,125,2.2,5.08,40.35,6,1.42,1,2.84,43.28,40.35,44.95,151.18,150.16,21.754,24.979,24.41,28.03,399.9,1500,58,98.91,0.802,0.0733,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,14:22:18,caferana,shade,mature,8,2838.0,0,1.51,0.0433,172,2.3,5.06,40.39,6,1.42,1,2.84,43.30,40.39,44.94,250.26,247.14,22.082,25.439,24.75,28.51,400.0,1501,60,98.9,-0.588,0.0686,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
14,14:24:18,caferana,shade,mature,8,2958.0,0,2.73,0.0431,219,2.29,5.06,40.48,6,1.42,1,2.84,43.33,40.48,44.95,350.86,345.58,22.421,25.766,25.09,28.84,400.0,1499,63,98.9,-2.25,0.0754,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
15,14:26:17,caferana,shade,mature,8,3076.5,0,4.9,0.042,316,2.24,5.07,40.53,6,1.42,1,2.84,43.34,40.53,44.94,551.05,541.88,22.590,25.857,25.27,28.92,400.0,1501,38,98.9,-5.99,0.0838,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
16,14:28:16,caferana,shade,mature,8,3195.5,0,6.73,0.0388,408,2.07,5.07,40.45,6,1.42,1,2.84,43.30,40.45,44.94,750.78,738.40,22.526,25.546,25.24,28.63,400.0,1500,46,98.89,-10.3,0.0938,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
17,14:30:25,caferana,shade,mature,8,3325.0,0,8.64,0.0352,523,1.89,5.09,40.41,6,1.42,1,2.84,43.28,40.41,44.94,1000.69,984.94,22.362,25.122,25.08,28.18,400.0,1501,24,98.89,-16.1,0.096,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
18,14:32:25,caferana,shade,mature,8,3445.0,0,10.1,0.0322,644,1.73,5.11,40.33,6,1.42,1,2.84,43.24,40.33,44.94,1251.50,1233.14,22.090,24.621,24.83,27.67,400.1,1499,27,98.89,-22.4,0.11,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
19,14:34:30,caferana,shade,mature,8,3569.5,0,11.3,0.0295,766,1.61,5.16,40.35,6,1.42,1,2.84,43.24,40.35,44.95,1501.24,1480.76,21.788,24.139,24.49,27.13,400.0,1500,217,98.89,-28.9,0.128,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
20,14:36:29,caferana,shade,mature,8,3688.5,0,12.3,0.0266,868,1.47,5.23,40.45,6,1.42,1,2.84,43.28,40.45,44.94,1751.03,1728.77,21.765,23.914,24.42,26.83,399.9,1500,160,98.89,-35.7,0.129,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
21,14:38:33,caferana,shade,mature,8,3812.5,0,12.8,0.0239,981,1.33,5.26,40.51,6,1.42,1,2.84,43.29,40.51,44.95,2000.19,1977.01,21.870,23.818,24.52,26.70,400.0,1500,57,98.89,-42.4,0.131,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
22,14:40:45,caferana,shade,mature,8,3944.5,0,13.3,0.0216,1.09E+03,1.21,5.29,40.54,6,1.42,1,2.84,43.29,40.54,44.95,2249.83,2225.87,21.879,23.650,24.53,26.52,400.1,1499,67,98.89,-49.7,0.135,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
