Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
4,07:45:30,caferana,shade,mature,2,1468.0,0,7,0.00916,691,0.308,3.26,29.97,6,1.42,1,2.84,29.84,29.97,30.14,2001.12,1989.69,9.572,10.030,22.49,23.56,399.7,1501,21,99.18,-49.2,0.101,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,07:47:22,caferana,shade,mature,2,1580.0,0,7.04,0.00974,757,0.322,3.2,29.74,6,1.42,1,2.84,29.83,29.74,30.14,2000.23,1988.71,9.574,10.052,22.50,23.63,399.9,1251,22,99.18,-49.2,0.101,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,07:49:53,caferana,shade,mature,2,1731.0,0,7.11,0.0105,828,0.338,3.13,29.44,6,1.42,1,2.84,29.80,29.44,30.14,1999.73,1988.06,9.576,10.079,22.55,23.74,399.9,1000,24,99.19,-49.2,0.101,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,07:51:24,caferana,shade,mature,2,1822.0,0,6.8,0.0107,899,0.341,3.08,29.26,6,1.42,1,2.84,29.79,29.26,30.14,2000.88,1989.66,9.603,10.110,22.63,23.82,399.7,801,24,99.19,-49.2,0.101,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,07:53:30,caferana,shade,mature,2,1948.5,0,6.59,0.0109,949,0.34,3.02,28.99,6,1.42,1,2.84,29.78,28.99,30.14,2000.79,1989.89,9.611,10.115,22.67,23.86,399.8,500,23,99.19,-49.2,0.101,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,07:55:28,caferana,shade,mature,2,2066.0,0,6.24,0.0107,976,0.326,2.97,28.78,6,1.42,1,2.84,29.76,28.78,30.14,2000.58,1990.24,9.627,10.110,22.73,23.87,399.8,300,24,99.19,-49.5,0.101,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,07:57:39,caferana,shade,mature,2,2197.5,0,5.66,0.01,1.01E+03,0.304,2.94,28.65,6,1.42,1,2.84,29.73,28.65,30.14,1999.73,1990.32,9.640,10.091,22.79,23.86,399.8,199,25,99.2,-49.7,0.0949,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,07:59:37,caferana,shade,mature,2,2315.5,0,4.38,0.00932,1.16E+03,0.281,2.92,28.56,6,1.42,1,2.84,29.73,28.56,30.14,1999.32,1991.91,9.654,10.071,22.83,23.81,399.8,99,27,99.2,-49.8,0.0997,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,08:01:34,caferana,shade,mature,2,2432.5,0,3.38,0.00893,1.31E+03,0.268,2.92,28.53,6,1.42,1,2.84,29.73,28.53,30.14,1999.80,1993.93,9.660,10.058,22.84,23.78,399.8,50,27,99.2,-49.8,0.1,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,08:03:39,caferana,shade,mature,2,2557.0,0,1.56,0.00829,1.61E+03,0.249,2.92,28.53,6,1.42,1,2.84,29.74,28.53,30.14,1999.77,1996.69,9.670,10.040,22.85,23.73,399.8,10,30,99.2,-50,0.0961,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
