Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
2,10:37:04,504,sun,mature,2,1589.0,0,12.9,0.0233,1.01E+03,0.731,3.06,30.62,6,1.42,1,2.84,30.03,30.62,30.13,2000.84,1979.39,12.612,13.693,29.33,31.85,400.2,1999,15,99.28,-50.1,0.0519,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
3,10:38:35,504,sun,mature,2,1680.0,0,13.3,0.0241,1.02E+03,0.745,3.01,30.45,6,1.42,1,2.84,30.03,30.45,30.13,2000.97,1978.82,12.640,13.743,29.40,31.96,400.0,1749,15,99.28,-50.1,0.0519,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,10:40:06,504,sun,mature,2,1771.0,0,13.7,0.0252,1.03E+03,0.764,2.95,30.24,6,1.42,1,2.84,30.03,30.24,30.13,2000.96,1978.13,12.672,13.803,29.48,32.11,400.1,1501,15,99.27,-50.1,0.0519,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,10:41:37,504,sun,mature,2,1862.0,0,14,0.0268,1.06E+03,0.794,2.88,30.01,6,1.42,1,2.84,30.02,30.01,30.13,2000.99,1977.63,12.711,13.886,29.59,32.32,400.1,1249,15,99.27,-50.1,0.0519,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,10:43:08,504,sun,mature,2,1953.0,0,13.8,0.0287,1.13E+03,0.83,2.81,29.75,6,1.42,1,2.84,29.99,29.75,30.13,2000.83,1977.65,12.737,13.964,29.69,32.55,400.1,999,16,99.27,-50.1,0.0519,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,10:44:42,504,sun,mature,2,2047.0,0,13.2,0.0316,1.23E+03,0.892,2.75,29.56,6,1.42,1,2.84,29.98,29.56,30.13,2000.83,1978.41,12.772,14.090,29.80,32.88,400.1,800,17,99.27,-50.1,0.0519,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,10:46:14,504,sun,mature,2,2139.5,0,11.9,0.034,1.34E+03,0.932,2.68,29.27,6,1.42,1,2.84,29.95,29.27,30.13,2000.80,1980.23,12.809,14.188,29.92,33.14,400.0,500,20,99.26,-50.1,0.0519,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,10:47:52,504,sun,mature,2,2237.5,0,10.4,0.0365,1.45E+03,0.977,2.62,29.06,6,1.42,1,2.84,29.93,29.06,30.13,2000.91,1982.47,12.857,14.302,30.07,33.45,400.1,301,21,99.26,-50.1,0.0519,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,10:49:23,504,sun,mature,2,2328.5,0,9.07,0.039,1.53E+03,1.02,2.57,28.91,6,1.42,1,2.84,29.92,28.91,30.13,2000.89,1984.23,12.907,14.422,30.22,33.76,400.1,200,24,99.26,-50.1,0.0519,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,10:50:54,504,sun,mature,2,2419.5,0,5.77,0.0414,1.69E+03,1.07,2.53,28.77,6,1.42,1,2.84,29.90,28.77,30.13,2000.87,1989.03,12.954,14.530,30.35,34.04,400.4,101,25,99.26,-50.1,0.0519,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,10:52:54,504,sun,mature,2,2538.5,0,3.73,0.0443,1.78E+03,1.13,2.49,28.69,6,1.42,1,2.84,29.90,28.69,30.13,2001.03,1992.07,12.995,14.659,30.45,34.35,400.0,50,25,99.25,-51.1,0.0315,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,10:54:55,504,sun,mature,2,2659.5,0,0.891,0.047,1.89E+03,1.18,2.46,28.59,6,1.42,1,2.84,29.89,28.59,30.13,2000.82,1995.96,13.042,14.783,30.57,34.65,400.0,11,24,99.25,-51.2,0.0261,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
