Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
45,09:46:26,caferana,shade,mature,7,8513.0,0,8.92,0.0223,1.24E+03,0.827,3.59,31.37,6,1.42,1,2.84,29.99,31.37,29.95,1999.54,1983.70,8.999,10.227,20.94,23.80,400.0,1998,29,99.07,-3.94,0.0336,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
46,09:47:57,caferana,shade,mature,7,8604.0,0,8.74,0.0207,1.21E+03,0.755,3.54,31.14,6,1.42,1,2.84,30.00,31.14,29.95,1999.47,1984.12,9.016,10.137,20.97,23.58,400.1,1751,30,99.07,-3.94,0.0336,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
47,09:49:33,caferana,shade,mature,7,8700.0,0,8.55,0.0192,1.18E+03,0.71,3.57,31.24,6,1.42,1,2.84,29.99,31.24,29.95,1999.48,1984.55,9.030,10.084,21.01,23.47,400.1,1501,31,99.07,-3.94,0.0336,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
48,09:51:04,caferana,shade,mature,7,8791.0,0,8.29,0.0185,1.17E+03,0.663,3.48,30.87,6,1.42,1,2.84,29.95,30.87,29.95,1999.19,1984.79,9.050,10.034,21.11,23.40,400.0,1251,31,99.07,-3.94,0.0336,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
49,09:52:35,caferana,shade,mature,7,8882.0,0,7.9,0.018,1.19E+03,0.627,3.39,30.47,6,1.42,1,2.84,29.96,30.47,29.95,1999.23,1985.51,9.071,10.001,21.14,23.31,400.1,1000,32,99.07,-3.94,0.0336,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
50,09:54:06,caferana,shade,mature,7,8973.0,0,7.54,0.0174,1.2E+03,0.592,3.31,30.13,6,1.42,1,2.84,29.93,30.13,29.95,1998.85,1985.79,9.091,9.971,21.23,23.28,400.0,801,36,99.07,-3.94,0.0336,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
51,09:55:38,caferana,shade,mature,7,9065.0,0,7.09,0.0169,1.23E+03,0.555,3.18,29.60,6,1.42,1,2.84,29.90,29.60,29.95,1998.87,1986.58,9.108,9.932,21.30,23.22,400.1,500,39,99.07,-3.94,0.0336,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
52,09:57:09,caferana,shade,mature,7,9156.0,0,6.21,0.0166,1.3E+03,0.527,3.09,29.20,6,1.42,1,2.84,29.86,29.20,29.94,1998.54,1987.66,9.118,9.901,21.38,23.21,400.0,301,40,99.06,-3.94,0.0336,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
53,09:58:56,caferana,shade,mature,7,9263.5,0,5.79,0.016,1.32E+03,0.501,3.05,29.01,6,1.42,1,2.84,29.84,29.01,29.94,2000.25,1990.06,9.137,9.881,21.44,23.18,400.0,200,39,99.06,-3.94,0.0336,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
54,10:00:55,caferana,shade,mature,7,9382.0,0,5.2,0.0156,1.37E+03,0.481,2.99,28.76,6,1.42,1,2.84,29.82,28.76,29.95,2000.17,1990.94,9.152,9.866,21.50,23.17,400.0,101,40,99.07,-4.44,0.0431,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
55,10:02:53,caferana,shade,mature,7,9500.5,0,3.67,0.0148,1.51E+03,0.455,2.98,28.72,6,1.42,1,2.84,29.83,28.72,29.94,1999.96,1993.09,9.177,9.853,21.55,23.13,400.0,50,43,99.07,-4.62,0.0446,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
56,10:04:50,caferana,shade,mature,7,9617.0,0,1.47,0.0139,1.74E+03,0.427,2.97,28.67,6,1.42,1,2.84,29.83,28.67,29.95,1999.81,1996.33,9.207,9.841,21.62,23.11,400.1,10,43,99.07,-4.82,0.0424,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
