Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
24,15:02:31,caferana,shade,old,9,5250.5,0,11.4,0.0257,1.2E+03,0.674,2.53,31.30,6,1.42,1,2.84,30.47,31.30,30.12,1999.31,1980.20,19.876,20.866,44.89,47.13,400.0,1999,9,98.87,-43.1,0.248,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
25,15:04:09,caferana,shade,old,9,5348.5,0,10.9,0.0231,1.16E+03,0.601,2.51,31.14,6,1.42,1,2.84,30.44,31.14,30.12,1999.64,1981.57,19.749,20.632,44.68,46.68,400.0,1750,11,98.87,-43.1,0.248,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
26,15:05:40,caferana,shade,old,9,5439.5,0,10.1,0.0212,1.15E+03,0.547,2.48,30.97,6,1.42,1,2.84,30.42,30.97,30.12,1999.78,1982.94,19.635,20.439,44.47,46.30,399.9,1500,25,98.87,-43.1,0.248,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
27,15:07:11,caferana,shade,old,9,5530.5,0,9.59,0.0198,1.14E+03,0.504,2.46,30.82,6,1.42,1,2.84,30.41,30.82,30.12,2000.10,1984.23,19.554,20.295,44.33,46.01,400.1,1250,31,98.86,-43.1,0.248,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
28,15:08:42,caferana,shade,old,9,5621.5,0,9,0.0188,1.15E+03,0.474,2.43,30.67,6,1.42,1,2.84,30.39,30.67,30.12,2000.11,1985.20,19.483,20.180,44.19,45.77,400.0,1001,29,98.86,-43.1,0.248,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
29,15:10:20,caferana,shade,old,9,5719.5,0,8.59,0.0179,1.15E+03,0.448,2.41,30.56,6,1.42,1,2.84,30.38,30.56,30.13,2000.40,1986.18,19.431,20.089,44.11,45.60,400.0,801,30,98.85,-43.1,0.248,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
30,15:11:51,caferana,shade,old,9,5811.0,0,7.95,0.0169,1.17E+03,0.419,2.38,30.40,6,1.42,1,2.84,30.36,30.40,30.12,2000.29,1987.12,19.402,20.017,44.08,45.48,400.0,500,30,98.85,-43.1,0.248,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
31,15:13:22,caferana,shade,old,9,5902.0,0,7.13,0.0165,1.23E+03,0.403,2.35,30.25,6,1.42,1,2.84,30.34,30.25,30.13,2000.48,1988.59,19.363,19.955,44.04,45.39,400.0,300,29,98.84,-43.1,0.248,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
32,15:14:53,caferana,shade,old,9,5993.0,0,6.38,0.0158,1.28E+03,0.383,2.33,30.15,6,1.42,1,2.84,30.33,30.15,30.12,2000.38,1989.67,19.348,19.912,44.06,45.34,399.9,201,29,98.84,-43.1,0.248,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
33,15:16:55,caferana,shade,old,9,6115.0,0,5.71,0.0155,1.33E+03,0.372,2.31,30.06,6,1.42,1,2.84,30.31,30.06,30.12,2000.29,1990.61,19.348,19.895,44.09,45.34,400.0,99,28,98.83,-44.7,0.258,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
34,15:18:53,caferana,shade,old,9,6233.0,0,3.95,0.0152,1.51E+03,0.363,2.3,30.04,6,1.42,1,2.84,30.30,30.04,30.12,2000.28,1993.27,19.352,19.886,44.11,45.33,400.0,49,28,98.83,-44.9,0.257,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
