Filename,Date,Curve_type,leaf_number,leaf_age,light_environment,tree_number,QC_code,QC_reason,general_licor_file_or_notebook_note,specific_licor_leaf_note,manual_or_automated_entry,JW.Age,JW.Comment,code_for_matching
,,,,,,,,,,,,,,
05052014_zf2_l9.txt,5/5/14 17:28,aci,n/a,y,pioneer:_sun,L9,,,,,automated,NaN,NaN,ACI_curven/a_05052014_zf2_l9.txt
05052014_zf2_l9.txt,5/5/14 17:28,LC,n/a,m,pioneer:_sun,L9,,,,,automated,NaN,NaN,LC_curven/a_05052014_zf2_l9.txt
05052014_zf2_l9.txt,5/5/14 17:28,LC,n/a,y,pioneer:_sun,L9,,,,,automated,NaN,NaN,LC_curven/a_05052014_zf2_l9.txt
05052014_zf2_l9.txt,5/5/14 17:28,LC,n/a,y,pioneer:_sun,L9,,,,,automated,NaN,NaN,LC_curven/a_05052014_zf2_l9.txt
05052014_zf2_v4_br2.txt,5/5/14 15:21,aci,14,young;_leaf14,pioneer:_sun,4,,,,,automated,NaN,NaN,ACI_curve14_05052014_zf2_v4_br2.txt
05052014_zf2_v4_br2.txt,5/5/14 15:21,aci,13,young/m,pioneer:_sun,4,,,,,automated,NaN,NaN,ACI_curve13_05052014_zf2_v4_br2.txt
05052014_zf2_v4_br2.txt,5/5/14 15:21,aci,11,m,pioneer:_sun,4,,,,,automated,NaN,NaN,ACI_curve11_05052014_zf2_v4_br2.txt
05052014_zf2_v4_br2.txt,5/5/14 15:21,aci,7,o,pioneer:_sun,4,,,,,automated,NaN,NaN,ACI_curve7_05052014_zf2_v4_br2.txt
05052014_zf2_v4_br2.txt,5/5/14 15:21,aci,,,,,,,,,automated,NaN,NaN,ACI_curve_05052014_zf2_v4_br2.txt
05052014_zf2_v4_br2.txt,5/5/14 15:21,aci,3,o,pioneer:_sun,4,,,,,automated,NaN,NaN,ACI_curve3_05052014_zf2_v4_br2.txt
05052014_zf2_v4_br2.txt,5/5/14 15:21,aci,2,o,pioneer:_sun,4,,,,,automated,NaN,NaN,ACI_curve2_05052014_zf2_v4_br2.txt
05062014_zf2_v5_br1.txt,5/6/14 18:43,aci,13,y,pioneer:_sun,v5,,,,,automated,NaN,NaN,ACI_curve13_05062014_zf2_v5_br1.txt
05062014_zf2_v5_br1.txt,5/6/14 18:43,aci,12,y/m,pioneer:_sun,v5,,,,,automated,NaN,NaN,ACI_curve12_05062014_zf2_v5_br1.txt
05062014_zf2_v5_br1.txt,5/6/14 18:43,aci,13,y,pioneer:_sun,v5,,,,,automated,NaN,NaN,ACI_curve13_05062014_zf2_v5_br1.txt
05062014_zf2_v5_br1.txt,5/6/14 18:43,aci,13,y,pioneer:_sun,v5,,,,,automated,NaN,NaN,ACI_curve13_05062014_zf2_v5_br1.txt
05062014_zf2_v5_br1.txt,5/6/14 18:43,aci,13,y,pioneer:_sun,v5,,,,,automated,NaN,NaN,ACI_curve13_05062014_zf2_v5_br1.txt
05062014_zf2_v5_br1.txt,5/6/14 18:43,aci,13,y,pioneer:_sun,v5,,,,,automated,NaN,NaN,ACI_curve13_05062014_zf2_v5_br1.txt
05062014_zf2_v5_br1.txt,5/6/14 18:43,aci,12,y,pioneer:_sun,v5,,,,,automated,NaN,NaN,ACI_curve12_05062014_zf2_v5_br1.txt
05062014_zf2_v5_br1.txt,5/6/14 18:43,aci,11,m,pioneer:_sun,v5,,,,,automated,NaN,NaN,ACI_curve11_05062014_zf2_v5_br1.txt
05062014_zf2_v5_br1.txt,5/6/14 18:43,aci,10,m,pioneer:_sun,v5,,,,,automated,NaN,NaN,ACI_curve10_05062014_zf2_v5_br1.txt
05062014_zf2_v5_br1.txt,5/6/14 18:43,aci,9,m,pioneer:_sun,v5,,,,,automated,NaN,NaN,ACI_curve9_05062014_zf2_v5_br1.txt
